pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,title_entity_in_ner,very_high_conf,baseline_entity_match,all_urls,resource_url,has_resource_url,url_context,article_count,in_baseline_pmid,in_baseline_entity,in_baseline
23193298,SecReT4: a web-based bacterial type IV secretion system resource.,"SecReT4 (http://db-mml.sjtu.edu.cn/SecReT4/) is an integrated database providing comprehensive information of type IV secretion systems (T4SSs) in bacteria. T4SSs are versatile assemblages that promote genetic exchange and/or effector translocation with consequent impacts on pathogenesis and genome plasticity. T4SSs have been implicated in conjugation, DNA uptake and release and effector translocation. The effectors injected into eukaryotic target cells can lead to alteration of host cellular processes during infection. SecReT4 offers a unique, highly organized, readily exploreable archive of known and putative T4SSs and cognate effectors in bacteria. It currently contains details of 10 752 core components mapping to 808 T4SSs and 1884 T4SS effectors found in representatives of 289 bacterial species, as well as a collection of more than 900 directly related references. A broad range of similarity search, sequence alignment, phylogenetic, primer design and other functional analysis tools are readily accessible via SecReT4. We propose that SecReT4 will facilitate efficient investigation of large numbers of these systems, recognition of diverse patterns of sequence-, gene- and/or functional conservation and an improved understanding of the biological roles and significance of these versatile molecular machines. SecReT4 will be regularly updated to ensure its ongoing maximum utility to the research community.",False,True,,0.7202759,secret4,,30.9990892,ok,,a web-based bacterial type iv secretion system resource,,spacy+v2,0.9990892,SecReT4,True,True,True,SecReT4,http://db-mml.sjtu.edu.cn/SecReT4/,http://db-mml.sjtu.edu.cn/SecReT4/,True,SecReT4 (http://db-mml.sjtu.edu.cn/SecReT4/) is an integrated database providing comprehensiv...,1,True,True,True
27742820,PIECE 2.0: an update for the plant gene structure comparison and evolution database.,"PIECE (Plant Intron Exon Comparison and Evolution) is a web-accessible database that houses intron and exon information of plant genes. PIECE serves as a resource for biologists interested in comparing intron-exon organization and provides valuable insights into the evolution of gene structure in plant genomes. Recently, we updated PIECE to a new version, PIECE 2.0 (http://probes.pw.usda.gov/piece or http://aegilops.wheat.ucdavis.edu/piece). PIECE 2.0 contains annotated genes from 49 sequenced plant species as compared to 25 species in the previous version. In the current version, we also added several new features: (i) a new viewer was developed to show phylogenetic trees displayed along with the structure of individual genes; (ii) genes in the phylogenetic tree can now be also grouped according to KOG (The annotation of Eukaryotic Orthologous Groups) and KO (KEGG Orthology) in addition to Pfam domains; (iii) information on intronless genes are now included in the database; (iv) a statistical summary of global gene structure information for each species and its comparison with other species was added; and (v) an improved GSDraw tool was implemented in the web server to enhance the analysis and display of gene structure. The updated PIECE 2.0 database will be a valuable resource for the plant research community for the study of gene structure and evolution.",False,True,,0.7203824,,piece,30.9990753,ok,,plant intron exon comparison and evolution,kegg | pfam | piece 2,spacy+v2,0.9990753,PIECE,True,True,True,PIECE,http://probes.pw.usda.gov/piece | http://aegilops.wheat.ucdavis.edu/piece,http://probes.pw.usda.gov/piece,True,"...ly, we updated PIECE to a new version, PIECE 2.0 (http://probes.pw.usda.gov/piece or http://aegilops.wheat.ucdavis.edu/piece). PIEC...",1,False,True,True
27819351,PEPlife: A Repository of the Half-life of Peptides.,"Short half-life is one of the key challenges in the field of therapeutic peptides. Various studies have reported enhancement in the stability of peptides using methods like chemical modifications, D-amino acid substitution, cyclization, replacement of labile aminos acids, etc. In order to study this scattered data, there is a pressing need for a repository dedicated to the half-life of peptides. To fill this lacuna, we have developed PEPlife (http://crdd.osdd.net/raghava/peplife), a manually curated resource of experimentally determined half-life of peptides. PEPlife contains 2229 entries covering 1193 unique peptides. Each entry provides detailed information of the peptide, like its name, sequence, half-life, modifications, the experimental assay for determining half-life, biological nature and activity of the peptide. We also maintain SMILES and structures of peptides. We have incorporated web-based modules to offer user-friendly data searching and browsing in the database. PEPlife integrates numerous tools to perform various types of analysis such as BLAST, Smith-Waterman algorithm, GGSEARCH, Jalview and MUSTANG. PEPlife would augment the understanding of different factors that affect the half-life of peptides like modifications, sequence, length, route of delivery of the peptide, etc. We anticipate that PEPlife will be useful for the researchers working in the area of peptide-based therapeutics.",False,True,,0.72506595,peplife,,30.99903524,ok,,a repository of the half-life of peptides,,spacy+v2,0.99903524,PEPlife,True,True,True,PEPlife,http://crdd.osdd.net/raghava/peplife,http://crdd.osdd.net/raghava/peplife,True,".... To fill this lacuna, we have developed PEPlife (http://crdd.osdd.net/raghava/peplife), a manually curated resource of experimentally d...",1,True,True,True
23087378,BioLiP: a semi-manually curated database for biologically relevant ligand-protein interactions.,"BioLiP (http://zhanglab.ccmb.med.umich.edu/BioLiP/) is a semi-manually curated database for biologically relevant ligand-protein interactions. Establishing interactions between protein and biologically relevant ligands is an important step toward understanding the protein functions. Most ligand-binding sites prediction methods use the protein structures from the Protein Data Bank (PDB) as templates. However, not all ligands present in the PDB are biologically relevant, as small molecules are often used as additives for solving the protein structures. To facilitate template-based ligand-protein docking, virtual ligand screening and protein function annotations, we develop a hierarchical procedure for assessing the biological relevance of ligands present in the PDB structures, which involves a four-step biological feature filtering followed by careful manual verifications. This procedure is used for BioLiP construction. Each entry in BioLiP contains annotations on: ligand-binding residues, ligand-binding affinity, catalytic sites, Enzyme Commission numbers, Gene Ontology terms and cross-links to the other databases. In addition, to facilitate the use of BioLiP for function annotation of uncharacterized proteins, a new consensus-based algorithm COACH is developed to predict ligand-binding sites from protein sequence or using 3D structure. The BioLiP database is updated weekly and the current release contains 204 223 entries.",False,True,,0.725528,,biolip,30.99902946,ok,,a semi-manually curated database for biologically relevant ligand-protein interactions,pdb,spacy+v2,0.99902946,BioLiP,True,True,True,BioLiP,http://zhanglab.ccmb.med.umich.edu/BioLiP/,http://zhanglab.ccmb.med.umich.edu/BioLiP/,True,BioLiP (http://zhanglab.ccmb.med.umich.edu/BioLiP/) is a semi-manually curated database for biologic...,1,True,True,True
31836896,The human DEPhOsphorylation Database DEPOD: 2019 update.,"The human Dephosphorylation Database (DEPOD) is a manually curated resource that harbors human phosphatases, their protein and non-protein substrates, dephosphorylation sites and the associated signaling pathways. We report here an update to DEPOD by integrating and/or linking to annotations from 69 other open access databases including disease associations, phosphorylating kinases, protein interactions, and also genome browsers. We also provide tools to visualize protein interactions, protein structures, phosphorylation networks, evolutionary conservation of proteins, dephosphorylation sites, and short linear motifs within various proteins. The updated version of DEPOD contains 254 human phosphatases, 336 protein and 83 non-protein substrates, and 1215 manually curated phosphatase-substrate relationships. In addition, we have improved the data access as all the data in DEPOD can now be easily downloaded in a user-friendly format. With multiple significant improvements, DEPOD continues serving as a key resource for research on phosphatase-kinase networks. Database URL: www.depod.org.",False,True,,0.71330875,,depod,30.99892676,ok,,human dephosphorylation database,,spacy+v2,0.99892676,human DEPhOsphorylation Database DEPOD,True,False,False,DEPOD,http://www.depod.org,http://www.depod.org,True,,1,False,True,True
30053265,"exoRBase: a database of circRNA, lncRNA and mRNA in human blood exosomes.","Exosomes, which are nanosized endocytic vesicles that are secreted by most cells, contain an abundant cargo of different RNA species that can modulate the behavior of recipient cells and may be used as circulating biomarkers for diseases. Here, we develop a web-accessible database (http://www.exoRBase.org), exoRBase, which is a repository of circular RNA (circRNA), long non-coding RNA (lncRNA) and messenger RNA (mRNA) derived from RNA-seq data analyses of human blood exosomes. Experimental validations from the published literature are also included. exoRBase features the integration and visualization of RNA expression profiles based on normalized RNA-seq data spanning both normal individuals and patients with different diseases. exoRBase aims to collect and characterize all long RNA species in human blood exosomes. The first release of exoRBase contains 58 330 circRNAs, 15 501 lncRNAs and 18 333 mRNAs. The annotation, expression level and possible original tissues are provided. exoRBase will aid researchers in identifying molecular signatures in blood exosomes and will trigger new exosomal biomarker discovery and functional implication for human diseases.",False,True,,0.71239555,exorbase,,30.998911,ok,,a database of circrna,,spacy+v2,0.998911,exoRBase,True,True,True,exoRBase,http://www.exoRBase.org,http://www.exoRBase.org,True,"...ases. Here, we develop a web-accessible database (http://www.exoRBase.org), exoRBase, which is a repository of circular RNA...",1,True,True,True
30048518,YARG: A repository for arsenic-related genes in yeast.,"Arsenic is a toxic metalloid. Moderate levels of arsenic exposure from drinking water can cause various human health problems such as skin lesions, circulatory disorders and cancers. Thus, arsenic toxicity is a key focus area for environmental and toxicological investigations. Many arsenic-related genes in yeast have been identified by experimental strategies such as phenotypic screening and transcriptional profiling. These identified arsenic-related genes are valuable information for studying arsenic toxicity. However, the literature about these identified arsenic-related genes is widely dispersed and cannot be easily acquired by researchers. This prompts us to develop YARG (Yeast Arsenic-Related Genes) database, which comprehensively collects 3396 arsenic-related genes in the literature. For each arsenic-related gene, the number and types of experimental evidence (phenotypic screening and/or transcriptional profiling) are provided. Users can use both search and browse modes to query arsenic-related genes in YARG. We used two case studies to show that YARG can return biologically meaningful arsenic-related information for the query gene(s). We believe that YARG is a useful resource for arsenic toxicity research. YARG is available at http://cosbi4.ee.ncku.edu.tw/YARG/.",False,True,,0.7057758,,yarg,30.99880743,ok,,yeast arsenic-related genes,,spacy+v2,0.99880743,YARG,True,True,True,YARG,http://cosbi4.ee.ncku.edu.tw/YARG/,http://cosbi4.ee.ncku.edu.tw/YARG/,True,...r arsenic toxicity research. YARG is available at http://cosbi4.ee.ncku.edu.tw/YARG/.,1,True,True,True
30893420,AYbRAH: a curated ortholog database for yeasts and fungi spanning 600 million years of evolution.,"Budding yeasts inhabit a range of environments by exploiting various metabolic traits. The genetic bases for these traits are mostly unknown, preventing their addition or removal in a chassis organism for metabolic engineering. Insight into the evolution of orthologs, paralogs and xenologs in the yeast pan-genome can help bridge these genotypes; however, existing phylogenomic databases do not span diverse yeasts, and sometimes cannot distinguish between these homologs. To help understand the molecular evolution of these traits in yeasts, we created Analyzing Yeasts by Reconstructing Ancestry of Homologs (AYbRAH), an open-source database of predicted and manually curated ortholog groups for 33 diverse fungi and yeasts in Dikarya, spanning 600 million years of evolution. OrthoMCL and OrthoDB were used to cluster protein sequence into ortholog and homolog groups, respectively; MAFFT and PhyML reconstructed the phylogeny of all homolog groups. Ortholog assignments for enzymes and small metabolite transporters were compared to their phylogenetic reconstruction, and curated to resolve any discrepancies. Information on homolog and ortholog groups can be viewed in the AYbRAH web portal (https://lmse.github.io/aybrah/), including functional annotations, predictions for mitochondrial localization and transmembrane domains, literature references and phylogenetic reconstructions. Ortholog assignments in AYbRAH were compared to HOGENOM, KEGG Orthology, OMA, eggNOG and PANTHER. PANTHER and OMA had the most congruent ortholog groups with AYbRAH, while the other phylogenomic databases had greater amounts of under-clustering, over-clustering or no ortholog annotations for proteins. Future plans are discussed for AYbRAH, and recommendations are made for other research communities seeking to create curated ortholog databases.",False,True,,0.7134255,,aybrah,30.99879473,ok,,analyzing yeasts by reconstructing ancestry of homologs | orthodb,kegg | oma | eggnog | panther,spacy+v2,0.99879473,AYbRAH,True,True,True,AYbRAH,https://lmse.github.io/aybrah/,https://lmse.github.io/aybrah/,True,"...og groups can be viewed in the AYbRAH web portal (https://lmse.github.io/aybrah/), including functional annotations, predictions f...",1,True,True,True
27899580,"OrthoDB v9.1: cataloging evolutionary and functional annotations for animal, fungal, plant, archaeal, bacterial and viral orthologs.","OrthoDB is a comprehensive catalog of orthologs, genes inherited by extant species from a single gene in their last common ancestor. In 2016 OrthoDB reached its 9th release, growing to over 22 million genes from over 5000 species, now adding plants, archaea and viruses. In this update we focused on usability of this fast-growing wealth of data: updating the user and programmatic interfaces to browse and query the data, and further enhancing the already extensive integration of available gene functional annotations. Collating functional annotations from over 100 resources, and enabled us to propose descriptive titles for 87% of ortholog groups. Additionally, OrthoDB continues to provide computed evolutionary annotations and to allow user queries by sequence homology. The OrthoDB resource now enables users to generate publication-quality comparative genomics charts, as well as to upload, analyze and interactively explore their own private data. OrthoDB is available from http://orthodb.org.",False,True,,0.7224124,orthodb,,30.99878484,ok,,,,spacy+v2,0.99878484,OrthoDB,True,True,True,OrthoDB,http://orthodb.org,http://orthodb.org,True,...their own private data. OrthoDB is available from http://orthodb.org.,1,False,True,True
25048123,Antigen-Antibody Interaction Database (AgAbDb): a compendium of antigen-antibody interactions.,"Antigen-Antibody Interaction Database (AgAbDb) is an immunoinformatics resource developed at the Bioinformatics Centre, University of Pune, and is available online at http://bioinfo.net.in/AgAbDb.htm. Antigen-antibody interactions are a special class of protein-protein interactions that are characterized by high affinity and strict specificity of antibodies towards their antigens. Several co-crystal structures of antigen-antibody complexes have been solved and are available in the Protein Data Bank (PDB). AgAbDb is a derived knowledgebase developed with an objective to compile, curate, and analyze determinants of interactions between the respective antigen-antibody molecules. AgAbDb lists not only the residues of binding sites of antigens and antibodies, but also interacting residue pairs. It also helps in the identification of interacting residues and buried residues that constitute antibody-binding sites of protein and peptide antigens. The Antigen-Antibody Interaction Finder (AAIF), a program developed in-house, is used to compile the molecular interactions, viz. van der Waals interactions, salt bridges, and hydrogen bonds. A module for curating water-mediated interactions has also been developed. In addition, various residue-level features, viz. accessible surface area, data on epitope segment, and secondary structural state of binding site residues, are also compiled. Apart from the PDB numbering, Wu-Kabat numbering and explicit definitions of complementarity-determining regions are provided for residues of antibodies. The molecular interactions can be visualized using the program Jmol. AgAbDb can be used as a benchmark dataset to validate algorithms for prediction of B-cell epitopes. It can as well be used to improve accuracy of existing algorithms and to design new algorithms. AgAbDb can also be used to design mimotopes representing antigens as well as aid in designing processes leading to humanization of antibodies.",False,True,,0.7217132,,agabdb,30.9987649,ok,,antigen-antibody interaction database | antigen-antibody interaction finder,pdb | aaif,spacy+v2,0.9987649,Antigen-Antibody Interaction Database,True,False,False,AgAbDb,http://bioinfo.net.in/AgAbDb.htm,http://bioinfo.net.in/AgAbDb.htm,True,"...e, University of Pune, and is available online at http://bioinfo.net.in/AgAbDb.htm. Antigen-antibody interactions are a special clas...",1,True,True,True
25332396,BCCTBbp: the Breast Cancer Campaign Tissue Bank bioinformatics portal.,"BCCTBbp (http://bioinformatics.breastcancertissue bank.org) was initially developed as the data-mining portal of the Breast Cancer Campaign Tissue Bank (BCCTB), a vital resource of breast cancer tissue for researchers to support and promote cutting-edge research. BCCTBbp is dedicated to maximising research on patient tissues by initially storing genomics, methylomics, transcriptomics, proteomics and microRNA data that has been mined from the literature and linking to pathways and mechanisms involved in breast cancer. Currently, the portal holds 146 datasets comprising over 227,795 expression/genomic measurements from various breast tissues (e.g. normal, malignant or benign lesions), cell lines and body fluids. BCCTBbp can be used to build on breast cancer knowledge and maximise the value of existing research. By recording a large number of annotations on samples and studies, and linking to other databases, such as NCBI, Ensembl and Reactome, a wide variety of different investigations can be carried out. Additionally, BCCTBbp has a dedicated analytical layer allowing researchers to further analyse stored datasets. A future important role for BCCTBbp is to make available all data generated on BCCTB tissues thus building a valuable resource of information on the tissues in BCCTB that will save repetition of experiments and expand scientific knowledge.",False,True,,0.6975621,bcctbbp,,30.99874717,ok,bcctb | breast cancer campaign tissue bank,breast cancer campaign tissue bank | ensembl | reactome | cancer campaign tissue bank,bcctb,spacy+v2,0.99874717,BCCTBbp,True,True,True,BCCTBbp,http://bioinformatics.breastcancertissue,http://bioinformatics.breastcancertissue,True,BCCTBbp (http://bioinformatics.breastcancertissue bank.org) was initially developed as the data-min...,1,True,True,True
27924022,Expanded national database collection and data coverage in the FINDbase worldwide database for clinically relevant genomic variation allele frequencies.,"FINDbase (http://www.findbase.org) is a comprehensive data repository that records the prevalence of clinically relevant genomic variants in various populations worldwide, such as pathogenic variants leading mostly to monogenic disorders and pharmacogenomics biomarkers. The database also records the incidence of rare genetic diseases in various populations, all in well-distinct data modules. Here, we report extensive data content updates in all data modules, with direct implications to clinical pharmacogenomics. Also, we report significant new developments in FINDbase, namely (i) the release of a new version of the ETHNOS software that catalyzes development curation of national/ethnic genetic databases, (ii) the migration of all FINDbase data content into 90 distinct national/ethnic mutation databases, all built around Microsoft's PivotViewer (http://www.getpivot.com) software (iii) new data visualization tools and (iv) the interrelation of FINDbase with DruGeVar database with direct implications in clinical pharmacogenomics. The abovementioned updates further enhance the impact of FINDbase, as a key resource for Genomic Medicine applications.",False,True,,0.7135215,findbase,,30.9986163,ok,,drugevar,,spacy+v2,0.9986163,,True,False,False,FINDbase,http://www.findbase.org | http://www.getpivot.com,http://www.findbase.org,True,FINDbase (http://www.findbase.org) is a comprehensive data repository that records...,1,False,True,True
33588073,ASDB: A comprehensive omics database for Anopheles sinensis.,"Anopheles sinensis is a key disease vector for human malaria and parasitic diseases such as malayan filariasis, and it is considered to be one of the most important malaria vectors in China and Southeast Asia. As high-throughput sequencing and assembly technology are widely used in An. sinensis, a lot of omics data have been generated, and abundant genome, mRNA transcriptome, miRNA transcriptome and resequencing results have been accumulated. In addition, lots of valuable morphological images and publications have been produced with the in-depth studies on An. sinensis. However, the increased quantity, variety, and structure complexity of the omics data create inconveniences for researchers to use and manage this information. We have built an An. sinensis omics database (ASDB, http://asdb.jungleran.com/) - a comprehensive and integrated database to promote scientific research on An. sinensis. Docker was used to deploy a development environment and Drupal to build ASDB. ASDB provides a Blast tool to do sequence alignment of genome sequence, gene sequence and protein sequence of An. sinensis. It also offers JBrowse (a next-generation genome visualization and analysis web platform) to facilitate researchers visualize the gene structure, non-coding RNA (include miRNA, snRNA, tRNA and so on) structure and genomic variation sites as desired. ASDB has integrated various latest omics data of An. Sinensis, including de novo genome and its annotation data, genome variation data (such as SNP and InDel), transcriptome and its expression value, miRNA expression value and miRNA-mRNA interaction, metagenomes. The database has also included the morphological images of different developmental stages and tissues, and important literatures associated with An. sinensis. ASDB provides a user-friendly search and displays pages. The integration of these resources will contribute to the study of basic biology and functional genome of An. sinensis.",False,True,,0.7189374,,asdb,30.9986046,ok,,sinensis omics database,an,spacy+v2,0.9986046,ASDB,True,True,True,ASDB,http://asdb.jungleran.com/,http://asdb.jungleran.com/,True,"...have built an An. sinensis omics database (ASDB, http://asdb.jungleran.com/) - a comprehensive and integrated database to pro...",1,True,True,True
33193550,MaizeMine: A Data Mining Warehouse for the Maize Genetics and Genomics Database.,"MaizeMine is the data mining resource of the Maize Genetics and Genome Database (MaizeGDB; http://maizemine.maizegdb.org). It enables researchers to create and export customized annotation datasets that can be merged with their own research data for use in downstream analyses. MaizeMine uses the InterMine data warehousing system to integrate genomic sequences and gene annotations from the <i>Zea mays</i> B73 RefGen_v3 and B73 RefGen_v4 genome assemblies, Gene Ontology annotations, single nucleotide polymorphisms, protein annotations, homologs, pathways, and precomputed gene expression levels based on RNA-seq data from the <i>Z. mays</i> B73 Gene Expression Atlas. MaizeMine also provides database cross references between genes of alternative gene sets from Gramene and NCBI RefSeq. MaizeMine includes several search tools, including a keyword search, built-in template queries with intuitive search menus, and a QueryBuilder tool for creating custom queries. The Genomic Regions search tool executes queries based on lists of genome coordinates, and supports both the B73 RefGen_v3 and B73 RefGen_v4 assemblies. The List tool allows you to upload identifiers to create custom lists, perform set operations such as unions and intersections, and execute template queries with lists. When used with gene identifiers, the List tool automatically provides gene set enrichment for Gene Ontology (GO) and pathways, with a choice of statistical parameters and background gene sets. With the ability to save query outputs as lists that can be input to new queries, MaizeMine provides limitless possibilities for data integration and meta-analysis.",False,True,,0.71626455,maizemine,,30.99857986,ok,,maize genetics and genome database | maizegdb | gramene,refseq,spacy+v2,0.99857986,MaizeMine,True,True,True,MaizeMine,http://maizemine.maizegdb.org,http://maizemine.maizegdb.org,True,...the Maize Genetics and Genome Database (MaizeGDB; http://maizemine.maizegdb.org). It enables researchers to create and export cus...,1,True,True,True
25931458,NeuroPep: a comprehensive resource of neuropeptides.,"Neuropeptides play a variety of roles in many physiological processes and serve as potential therapeutic targets for the treatment of some nervous-system disorders. In recent years, there has been a tremendous increase in the number of identified neuropeptides. Therefore, we have developed NeuroPep, a comprehensive resource of neuropeptides, which holds 5949 non-redundant neuropeptide entries originating from 493 organisms belonging to 65 neuropeptide families. In NeuroPep, the number of neuropeptides in invertebrates and vertebrates is 3455 and 2406, respectively. It is currently the most complete neuropeptide database. We extracted entries deposited in UniProt, the database (www.neuropeptides.nl) and NeuroPedia, and used text mining methods to retrieve entries from the MEDLINE abstracts and full text articles. All the entries in NeuroPep have been manually checked. 2069 of the 5949 (35%) neuropeptide sequences were collected from the scientific literature. Moreover, NeuroPep contains detailed annotations for each entry, including source organisms, tissue specificity, families, names, post-translational modifications, 3D structures (if available) and literature references. Information derived from these peptide sequences such as amino acid compositions, isoelectric points, molecular weight and other physicochemical properties of peptides are also provided. A quick search feature allows users to search the database with keywords such as sequence, name, family, etc., and an advanced search page helps users to combine queries with logical operators like AND/OR. In addition, user-friendly web tools like browsing, sequence alignment and mapping are also integrated into the NeuroPep database. Database URL: http://isyslab.info/NeuroPep",False,True,,0.71326065,neuropep,,30.99856985,ok,,a comprehensive resource of neuropeptides | uniprot | neuropedia,,spacy+v2,0.99856985,NeuroPep,True,True,True,NeuroPep,http://isyslab.info/NeuroPep | http://www.neuropeptides.nl,http://www.neuropeptides.nl,True,,1,True,True,True
24007337,GRASP [Genomic Resource Access for Stoichioproteomics]: comparative explorations of the atomic content of 12 Drosophila proteomes.,"<h4>Background</h4>""Stoichioproteomics"" relates the elemental composition of proteins and proteomes to variation in the physiological and ecological environment. To help harness and explore the wealth of hypotheses made possible under this framework, we introduce GRASP (http://www.graspdb.net), a public bioinformatic knowledgebase containing information on the frequencies of 20 amino acids and atomic composition of their side chains. GRASP integrates comparative protein composition data with annotation data from multiple public databases. Currently, GRASP includes information on proteins of 12 sequenced Drosophila (fruit fly) proteomes, which will be expanded to include increasingly diverse organisms over time. In this paper we illustrate the potential of GRASP for testing stoichioproteomic hypotheses by conducting an exploratory investigation into the composition of 12 Drosophila proteomes, testing the prediction that protein atomic content is associated with species ecology and with protein expression levels.<h4>Results</h4>Elements varied predictably along multivariate axes. Species were broadly similar, with the D. willistoni proteome a clear outlier. As expected, individual protein atomic content within proteomes was influenced by protein function and amino acid biochemistry. Evolution in elemental composition across the phylogeny followed less predictable patterns, but was associated with broad ecological variation in diet. Using expression data available for D. melanogaster, we found evidence consistent with selection for efficient usage of elements within the proteome: as expected, nitrogen content was reduced in highly expressed proteins in most tissues, most strongly in the gut, where nutrients are assimilated, and least strongly in the germline.<h4>Conclusions</h4>The patterns identified here using GRASP provide a foundation on which to base future research into the evolution of atomic composition in Drosophila and other taxa.",False,True,,0.7160359,,grasp,30.99851197,ok,,genomic resource access for stoichioproteomics,,spacy+v2,0.99851197,GRASP [Genomic Resource Access for Stoichioproteomics],True,False,False,GRASP,http://www.graspdb.net,http://www.graspdb.net,True,"...ossible under this framework, we introduce GRASP (http://www.graspdb.net), a public bioinformatic knowledgebase containing...",1,True,True,True
24030781,IQdb: an intelligence quotient score-associated gene resource for human intelligence.,"Intelligence quotient (IQ) is the most widely used phenotype to characterize human cognitive abilities. Recent advances in studies on human intelligence have identified many new susceptibility genes. However, the genetic mechanisms involved in IQ score and the relationship between IQ score and the risk of mental disorders have won little attention. To address the genetic complexity of IQ score, we have developed IQdb (http://IQdb.cbi.pku.edu.cn), a publicly available database for exploring IQ-associated human genes. In total, we collected 158 experimental verified genes from literature as a core dataset in IQdb. In addition, 46 genomic regions related to IQ score have been curated from literature. Based on the core dataset and 46 confirmed linked genomic regions, more than 6932 potential IQ-related genes are expanded using data of protein-protein interactions. A systematic gene ranking approach was applied to all the collected and expanded genes to represent the relative importance of all the 7090 genes in IQdb. Our further systematic pathway analysis reveals that IQ-associated genes are significantly enriched in multiple signal events, especially related to cognitive systems. Of the 158 genes in the core dataset, 81 are involved in various psychotic and mental disorders. This comprehensive gene resource illustrates the importance of IQdb to our understanding on human intelligence, and highlights the utility of IQdb for elucidating the functions of IQ-associated genes and the cross-talk mechanisms among cognition-related pathways in some mental disorders for community. Database URL: http://IQdb.cbi.pku.edu.cn.",False,True,,0.69848,,iqdb,30.9984753,ok,,an intelligence quotient score-associated gene resource for human intelligence,,spacy+v2,0.9984753,IQdb,True,True,True,IQdb,http://IQdb.cbi.pku.edu.cn,http://IQdb.cbi.pku.edu.cn,True,"...c complexity of IQ score, we have developed IQdb (http://IQdb.cbi.pku.edu.cn), a publicly available database for exploring IQ-...",1,True,True,True
22102583,Mouse Phenome Database (MPD).,"The Mouse Phenome Project was launched a decade ago to complement mouse genome sequencing efforts by promoting new phenotyping initiatives under standardized conditions and collecting the data in a central public database, the Mouse Phenome Database (MPD; http://phenome.jax.org). MPD houses a wealth of strain characteristics data to facilitate the use of the laboratory mouse in translational research for human health and disease, helping alleviate problems involving experimentation in humans that cannot be done practically or ethically. Data sets are voluntarily contributed by researchers from a variety of institutions and settings, or in some cases, retrieved by MPD staff from public sources. MPD maintains a growing collection of standardized reference data that assists investigators in selecting mouse strains for research applications; houses treatment/control data for drug studies and other interventions; offers a standardized platform for discovering genotype-phenotype relationships; and provides tools for hypothesis testing. MPD improvements and updates since our last NAR report are presented, including the addition of new tools and features to facilitate navigation and data mining as well as the acquisition of new data (phenotypic, genotypic and gene expression).",False,True,,0.7032349,,mpd,30.99840015,ok,mpd | mouse phenome database,mouse phenome database,,spacy+v2,0.99840015,,True,False,False,MPD,http://phenome.jax.org,http://phenome.jax.org,True,"...public database, the Mouse Phenome Database (MPD; http://phenome.jax.org). MPD houses a wealth of strain characteristics d...",1,False,True,True
22064857,FungiDB: an integrated functional genomics database for fungi.,"FungiDB (http://FungiDB.org) is a functional genomic resource for pan-fungal genomes that was developed in partnership with the Eukaryotic Pathogen Bioinformatic resource center (http://EuPathDB.org). FungiDB uses the same infrastructure and user interface as EuPathDB, which allows for sophisticated and integrated searches to be performed using an intuitive graphical system. The current release of FungiDB contains genome sequence and annotation from 18 species spanning several fungal classes, including the Ascomycota classes, Eurotiomycetes, Sordariomycetes, Saccharomycetes and the Basidiomycota orders, Pucciniomycetes and Tremellomycetes, and the basal 'Zygomycete' lineage Mucormycotina. Additionally, FungiDB contains cell cycle microarray data, hyphal growth RNA-sequence data and yeast two hybrid interaction data. The underlying genomic sequence and annotation combined with functional data, additional data from the FungiDB standard analysis pipeline and the ability to leverage orthology provides a powerful resource for in silico experimentation.",False,True,,0.7213322,fungidb,,30.99831414,ok,,an integrated functional genomics database for fungi | eupathdb,,spacy+v2,0.99831414,FungiDB,True,True,True,FungiDB,http://FungiDB.org | http://EuPathDB.org,http://FungiDB.org,True,FungiDB (http://FungiDB.org) is a functional genomic resource for pan-fungal...,1,True,True,True
30689843,ccPDB 2.0: an updated version of datasets created and compiled from Protein Data Bank.,"ccPDB 2.0 (http://webs.iiitd.edu.in/raghava/ccpdb) is an updated version of the manually curated database ccPDB that maintains datasets required for developing methods to predict the structure and function of proteins. The number of datasets compiled from literature increased from 45 to 141 in ccPDB 2.0. Similarly, the number of protein structures used for creating datasets also increased from ~74 000 to ~137 000 (PDB March 2018 release). ccPDB 2.0 provides the same web services and flexible tools which were present in the previous version of the database. In the updated version, links of the number of methods developed in the past few years have also been incorporated. This updated resource is built on responsive templates which is compatible with smartphones (mobile, iPhone, iPad, tablets etc.) and large screen gadgets. In summary, ccPDB 2.0 is a user-friendly web-based platform that provides comprehensive as well as updated information about datasets.",False,True,,0.7089792,,ccpdb,30.9982213,ok,,,pdb,spacy+v2,0.9982213,ccPDB,True,True,True,ccPDB,http://webs.iiitd.edu.in/raghava/ccpdb,http://webs.iiitd.edu.in/raghava/ccpdb,True,ccPDB 2.0 (http://webs.iiitd.edu.in/raghava/ccpdb) is an updated version of the manually curated da...,1,False,True,True
