name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,source_batch
TITLE_CAPITALIZED,27154270,Synteny Portal,0.988628,,0.988628,synteny portal,0.988628,1,http://bioinfo.konkuk.ac.kr/synteny_portal,200,"Korea, Republic of","(37.5660,126.9784)",,2016-05-06,"Department of Animal Biotechnology, Konkuk University, Seoul 05029, South Korea.","Cho M, Hong WY, Kim J, Ko Y, Lee D, Lee J, Sim M",,,38.0,,synteny portal,ok,Synteny Portal: a web-based application portal for synteny block analysis.,2010-2022
TITLE_CAPITALIZED,24312246,PIIKA 2,0.98596793,piika 2,0.98596793,,0.98596793,1,http://saphire.usask.ca,200,Canada,"(52.1324,-106.6689)",,2013-11-29,"Department of Computer Science, University of Saskatchewan, Saskatoon, Saskatchewan, Canada ; Emerging Viral Pathogens Section, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Frederick, Maryland, United States of America.","Kindrachuk J, Kusalik A, Määttänen P, Napper S, Trost B",,Intramural NIH HHS,56.0,"Andorra, Canada, United States",piika 2,ok,"PIIKA 2: an expanded, web-based platform for analysis of kinome microarray data.",2010-2022
"CAPITALIZED,TITLE_CAPITALIZED",26869702,expVIP,0.98570395,expvip,0.98570395,,0.98570395,1,http://www.wheat-expression.com,200,United Kingdom,"(51.8168,-0.3571)",,2016-02-11,"John Innes Centre, Norwich NR4 7UH, United Kingdom (P.B., C.U.); andGenome Analysis Centre, Norwich NR4 7UH, United Kingdom (R.R.-G.).","Borrill P, Ramirez-Gonzalez R, Uauy C","BB/J003557/1, BB/J003743/1, BB/M014045/1, BB/N020413/1, BBS/E/J/000C0628, BBS/E/J/000CA530",Biotechnology and Biological Sciences Research Council,273.0,United Kingdom,expvip,ok,expVIP: a Customizable RNA-seq Data Analysis and Visualization Platform.,2010-2022
CAPITALIZED,33289511,AVIA,0.9810557,avia,0.9810557,,0.9810557,1,https://avia-abcc.ncifcrf.gov,200,United States,"(39.4926,-77.4612)",,2021-08-01,"Advanced Biomedical Computational Science, Biomedical Informatics & Data Science, Frederick National Laboratory for Cancer Research, Frederick, MD 21702, USA.","Che A, Collins JR, Luke BT, Mudunuri US, Ravichandran S, Reardon HV","75N91019D00024, HHSN261201800001C, HHSN261201800001I","Department of Health and Human Services, NCI NIH HHS, NIH HHS, National Cancer Institute, National Institutes of Health, U.S. Government",1.0,United States,avia,ok,AVIA 3.0: interactive portal for genomic variant and sample level analysis.,2010-2022
TITLE_CAPITALIZED,29848362,PanDrugs,0.98063815,,0.98063815,pandrugs,0.98063815,1,http://www.pandrugs.org,200,Spain,"(42.3367,-7.8641)",,2018-05-31,"Spanish National Cancer Research Centre (CNIO), 3rd Melchor Fernandez Almagro st., E-28029, Madrid, Spain.","Al-Shahrour F, Carretero J, Glez-Peña D, Gómez-López G, Hidalgo M, López-Casas PP, Perales-Patón J, Piñeiro-Yáñez E, Reboiro-Jato M, Rodríguez JM, Shimamura T, Tejero H, Troulé K, Valencia A","CIG334361, R01 CA230778","Centro Singular de Galicia, FP7 People: Marie-Curie Actions, Ministerio de Economía y Competitividad, NCI NIH HHS",55.0,Spain,pandrugs,ok,PanDrugs: a novel method to prioritize anticancer drug treatments according to individual genomic data.,2010-2022
TITLE_CAPITALIZED,29618898,Molecular Database on Indian Insects,0.9755394,,0.9755394,molecular database on indian insects,0.9755394,1,http://cib.res.in,200,United States,"(37.7621,-122.3971)",,2018-02-28,"ICAR-National Bureau of Agricultural Insect Resources, H.A. Farm Post, P.Bag No: 2491, Bellary Road, Hebbal, Bengaluru - 560 024. India.","Antony JC, Gracy G, Jalali SK, Pratheepa M, Rai A, Rangheswaran R, Venkatesan T",,,1.0,India,molecular database on indian insects,ok,An Integrated Molecular Database on Indian Insects.,2010-2022
TITLE_CAPITALIZED,34748989,COVID-ONE-hi,0.9752719,,0.9752719,covid-one-hi,0.9752719,1,http://www.COVID-ONE.cn,200,China,"(30.2936,120.1614)",,2021-10-01,"Shanghai Center for Systems Biomedicine, Key Laboratory of Systems Biomedicine (Ministry of Education), Shanghai Jiao Tong University, Shanghai 200240, China; Key Laboratory of Gastrointestinal Cancer (Fujian Medical University), Ministry of Education, School of Basic Medical Sciences, Fujian Medical University, Fuzhou 350122, China.","Chen H, Fan X, Guo SJ, Hou H, Huang L, Jiang HW, Lai DY, Lei Q, Li Y, Lin M, Lin X, Ma ML, Qi H, Sheng H, Sun Z, Tao SC, Wang F, Wang XN, Wu J, Xu Z, Xue JB, Yao Z, Yu C, Yu S, Zhang B, Zhang HN, Zhang Y, Zheng YX","2016YFA0500600, 21907065, 31600672, 31900112, 31970130, 32000027","Ministry of Science and Technology of the People&amp;apos;s Republic of China, National Key R&amp;D Program of China Grant, National Key Research and Development Program of China, National Natural Science Foundation of China",9.0,China,covid-one-hi,ok,COVID-ONE-hi: The One-stop Database for COVID-19-specific Humoral Immunity and Clinical Parameters.,2010-2022
TITLE_CAPITALIZED,26627443,GigaTON,0.9644093,,0.9644093,gigaton,0.9644093,1,http://gigaton.sigenae.org,200,France,"(43.6043,1.4437)",,2015-12-02,"Institute for fundamental and applied biology, University of Caen Basse-Normandie, Caen, France. guillaume.riviere@unicaen.fr.","Boudry P, Favrel P, Huvet A, Ibouniyamine N, Klopp C, Riviere G",ANR-08-GENM-04,Agence Nationale de la Recherche,22.0,"Andorra, France",gigaton,ok,GigaTON: an extensive publicly searchable database providing a new reference transcriptome in the pacific oyster Crassostrea gigas.,2010-2022
TITLE_CAPITALIZED,33875000,Pathogenwatch,0.95615596,,0.95615596,pathogenwatch,0.95615596,1,https://pathogen.watch/ngonorrhoeae,200,Netherlands,"(52.3740,4.8897)",,2021-04-19,"Centre for Genomic Pathogen Surveillance, Big Data Institute, Nuffield Department of Medicine, University of Oxford, Oxford, Oxfordshire, UK. leo.sanchez-buso@cgps.group.","Aanensen DM, Abudahab K, Argimón S, Cole MJ, Goater RJ, Golparian D, Grad YH, Harris SR, Ma KC, Martin I, Mortimer TD, Raphael BH, Shafer WM, Sánchez-Busó L, Taylor B, Town K, Underwood A, Unemo M, Wi T, Yeats CA","001, 1 F32 AI145157-01, 16/136/111, 16_136_111, DGE1745303, F32 AI145157, IK6 BX005390, Plan GenT CDEI-06/20-B, R01 AI-147609, R01 AI021150, R01 AI132606, R01 AI147609, R01 AI153521, R37 AI-021150, R37 AI021150","BLRD VA, Conselleria de Sanitat Universal i Salut Pública, European Centre for Disease Prevention and Control, Li Ka Shing Foundation, NIAID NIH HHS, National Institute for Health Research (NIHR), National Institute of Allergy and Infectious Diseases, National Institutes of Health, National Science Foundation, Wellcome Trust, World Health Organization",81.0,United Kingdom,pathogenwatch,ok,A community-driven resource for genomic epidemiology and antimicrobial resistance prediction of Neisseria gonorrhoeae at Pathogenwatch.,2010-2022
TITLE_CAPITALIZED,31343797,Iranome,0.9516674,,0.9516674,iranome,0.9516674,1,http://www.iranome.com,200,Germany,"(50.4779,12.3713)",,2019-08-17,"Genetics Research Center, University of Social Welfare and Rehabilitation Sciences, Tehran, Iran.","Akbari MR, Amini A, Arzhangi S, Bagherzadeh M, Beheshtian M, Börno S, Davarnia B, Fattahi Z, Haghdoost A, Jalalvand K, Jamali P, Kahrizi K, Khorram Khorshid HR, Malekzadeh R, Mohammadi Z, Mohammadzadeh A, Mohseni M, Najafipour R, Najmabadi H, Nejatizadeh A, Nezhadi SH, Nikuei P, Oladnabi M, Poustchi H, Sellars E, Shamsi-Gooshki E, Shekari M, Timmermann B, Zohrehvand E","11/66100, 700/150","Iran Vice-President office for Science and Technology, Vice deputy for research and technology at Iran Ministry of Health and Medical Education",122.0,Andorra,iranome,ok,Iranome: A catalog of genomic variations in the Iranian population.,2010-2022
TITLE_CAPITALIZED,22802077,CellMiner,0.9472672,,0.9472672,cellminer,0.9472672,1,http://discover.nci.nih.gov/cellminer/,200,United States,"(39.4926,-77.4612)",,2012-07-01,"Laboratory of Molecular Pharmacology, CCR, National Cancer Institute, NIH, Bethesda, Maryland, USA. wcr@mail.nih.gov","Doroshow J, Kohn KW, Liu H, Morris J, Pommier Y, Reinhold WC, Sunshine M, Varma S","R01 LM009959, Y99 CA999999, Z99 CA999999","Intramural NIH HHS, NCI NIH HHS, NLM NIH HHS",687.0,United States,cellminer,ok,CellMiner: a web-based suite of genomic and pharmacologic tools to explore transcript and drug patterns in the NCI-60 cell line set.,2010-2022
TITLE_CAPITALIZED,26546515,Legume information system,0.9391605,,0.9391605,legume information system,0.9391605,1,http://legumeinfo.org,200,United States,"(37.7621,-122.3971)",,2015-11-05,"National Center for Genome Resources, Santa Fe, NM 87505, USA.","Campbell JD, Cannon EK, Cannon SB, Cleary AM, Dash S, Farmer AD, Huang W, Kalberer SR, Karingula V, Rice AG, Singh J, Umale PE, Weeks NT, Wilkey AP",,,89.0,United States,legume information system,ok,Legume information system (LegumeInfo.org): a key component of a set of federated data resources for the legume family.,2010-2022
"CHARS_SANITIZED,SMART_CAPITALIZED",32611314,Glutantase,0.9290254,,0.9290254,glutantβase,0.9290254,1,http://bioinfo.dcc.ufmg.br/glutantbase,200,Brazil,"(-19.9208,-43.9378)",,2020-07-01,"Laboratory of Bioinformatics and Systems. Department of Computer Science, Universidade Federal de Minas Gerais, Belo Horizonte, 31270-901, Brazil. diegomariano@ufmg.br.","Bleicher L, Mariano D, Pantuza N, Rocha REO, Santos LH, de Lima LHF, de Melo-Minardi RC",51/2013 - 23038.004007/2014-82.,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,7.0,"Andorra, Brazil",glutantβase,ok,Glutantβase: a database for improving the rational design of glucose-tolerant β-glucosidases.,2010-2022
TITLE_CAPITALIZED,24217915,WormQTL,0.9183029,,0.9183029,wormqtl,0.9183029,1,http://www.wormqtl-hd.org,200,Netherlands,"(53.2192,6.5667)",,2013-11-11,"Genomics Coordination Center, University of Groningen, University Medical Center Groningen, P.O. Box 30001, 9700 RB Groningen, The Netherlands, Groningen Bioinformatics Center, University of Groningen, P.O. Box 11103, 9700 CC Groningen, The Netherlands, Department of Genetics, University of Groningen, University Medical Center Groningen, P.O. Box 30001, 9700 RB Groningen, The Netherlands, Department of Bioinformatics, Hanze University of Applied Sciences, Groningen, Zernikeplein 11, 9747 AS, The Netherlands and Laboratory of Nematology, Wageningen University, 6708 PB Wageningen, The Netherlands.","Arends D, Jansen RC, Kammenga JE, Li Y, Snoek LB, Swertz MA, Zych K, de Haan M, van der Velde KJ",863.13.011,Dutch Research Council (NWO),17.0,"Andorra, Netherlands",wormqtl,ok,WormQTLHD--a web database for linking human disease to natural variation data in C. elegans.,2010-2022
TITLE_CAPITALIZED,25100685,BioTextQuest,0.8780178,,0.8780178,biotextquest,0.8780178,1,http://bioinformatics.med.uoc.gr/biotextquest,200,Greece,"(35.3655,24.4823)",,2014-08-06,"Division of Basic Sciences, University of Crete, Medical School, Heraklion 71110, Greece, Institute of Marine Biology, Biotechnology and Aquaculture (IMBBC), Hellenic Centre for Marine Research (HCMR), Heraklion, Greece, Luxembourg Centre for Systems Biomedicine (LCSB), University of Luxembourg, Campus Belval, 7, avenue des Hauts-Fourneaux, L-4362 Esch sur Alzette, Luxembourg, Biological Computation & Process Laboratory (BCPL), Chemical Process & Energy Resources Institute (CPERI), Centre for Research & Technology Hellas (CERTH), PO Box 361, GR-57001 Thessalonica, Greece, Donnelly Centre for Cellular & Biomolecular Research, University of Toronto, Toronto, Ontario, Canada, Institute of Molecular Biology and Biotechnology, Foundation for Research and Technology Hellas, 70013 Heraklion, Crete, Greece and Department of Biological Sciences, Bioinformatics Research Laboratory, University of Cyprus, PO Box 20537, CY 1678, Nicosia, Cyprus.","Eliopoulos AG, Iliopoulos I, Ouzounis CA, Pafilis E, Papanikolaou N, Pavlopoulos GA, Promponas VJ, Satagopam VP, Schneider R, Theodosiou T",,,17.0,"Andorra, Canada, Cyprus, Greece, Luxembourg, Suriname",biotextquest,ok,BioTextQuest(+): a knowledge integration platform for literature mining and concept discovery.,2010-2022
,27374120,harmonizome,0.8702323,,0.8702323,harmonizome,0.8702323,1,http://amp.pharm.mssm.edu/Harmonizome,200,United States,"(39.0437,-77.4875)",,2016-07-03,"Department of Pharmacology and Systems Therapeutics, Department of Genetics and Genomic Sciences, BD2K-LINCS Data Coordination and Integration Center (DCIC), Mount Sinai's Knowledge Management Center for Illuminating the Druggable Genome (KMC-IDG), Icahn School of Medicine at Mount Sinai, New York, NY, USA.","Fernandez NF, Gundersen GW, Ma'ayan A, McDermott MG, Monteiro CD, Rouillard AD, Wang Z","R01 GM098316, T32 HL007824, U54 CA189201, U54 HL127624","NCI NIH HHS, NHLBI NIH HHS, NIGMS NIH HHS",1177.0,"Andorra, United States",harmonizome,ok,The harmonizome: a collection of processed datasets gathered to serve and mine knowledge about genes and proteins.,2010-2022
CAPITALIZED,34405124,COSMOS,0.8686675,cosmos,0.8686675,,0.8686675,1,https://cosmosdb.eu/cosmosdb.v2/,200,Netherlands,"(52.3740,4.8897)",,2021-08-01,"MN-AM, Columbus, OH, USA.","Arvidson KB, Bienfait B, Cronin MTD, Enoch SJ, Heldreth B, Hobocienski B, Lan Y, Madden JC, Magdziarz T, Marusczyk J, Mostrag A, Muldoon-Jacobs K, Neagu D, Nelms M, Park J, Przybylak K, Rathman JF, Ribeiro JV, Richard AM, Richarz AN, Sacher O, Schwab C, Vitcheva V, Volarath P, Worth AP, Yang C",,European Commission Joint Research Centre,8.0,United States,cosmos,ok,COSMOS next generation - A public knowledge base leveraging chemical and biological data to support the regulatory assessment of chemicals.,2010-2022
"CAPITALIZED,TITLE_CAPITALIZED",30467516,Bgee,0.7128115,bgee,0.7128115,,0.7128115,1,https://www.bioconductor.org/packages/BgeeDB/,200,United Kingdom,"(51.5085,-0.1257)",,2016-11-23,"Department of Ecology and Evolution, University of Lausanne, Lausanne, Switzerland.","Bastian FB, Komljenovic A, Robinson-Rechavi M, Roux J, Wollbrett J","153341, 31003A",Swiss National Science Foundation,23.0,"Andorra, Switzerland",bgee,ok,"BgeeDB, an R package for retrieval of curated expression datasets and for gene list expression localization enrichment tests.",2010-2022
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",22776072,DMD,0.0,dmd,0.0,,0.0,1,http://edystrophin.genouest.org/,200,France,"(48.1111,-1.6743)",,2012-07-09,"Université de Rennes, Rennes, France.","Barloy-Hubler F, Chelly J, Kaplan JC, Le Rumeur E, Leturcq F, Lucchetti-Miganeh C, Nicolas A, Yaou RB",,,42.0,France,dmd,ok,"Assessment of the structural and functional impact of in-frame mutations of the DMD gene, using the tools included in the eDystrophin online database.",2010-2022
CAPITALIZED,24906883,LINCS,0.0,lincs,0.0,,0.0,1,http://www.maayanlab.net/LINCS/LCB,200,United States,"(34.0522,-118.2437)",,2014-06-06,"Department of Pharmacology and Systems Therapeutics, Icahn School of Medicine at Mount Sinai, Systems Biology Center New York (SBCNY), One Gustave L. Levy Place, New York, NY 10029, USA.","Chen EY, Duan Q, Fernandez NF, Flynn C, Golub TR, Hafner M, Ma'ayan A, Muhlich JL, Niepel M, Rouillard AD, Sorger PK, Subramanian A, Tan CM","P50 GM071558, P50GM071558, R01 GM098316, R01DK088541-01A1, R01GM098316-01A1, T32 HL007824, U54 CA189201, U54 HG006097, U54HG006093, U54HG006097, U54HG006097-S1","NCI NIH HHS, NHGRI NIH HHS, NHLBI NIH HHS, NIDDK NIH HHS, NIGMS NIH HHS",210.0,"Andorra, United States",lincs,ok,"LINCS Canvas Browser: interactive web app to query, browse and interrogate LINCS L1000 gene expression signatures.",2010-2022
CAPITALIZED,25604253,DMD,0.0,dmd,0.0,,0.0,1,http://umd.be/TREAT_DMD/,200,France,"(44.5586,6.0787)",,2015-03-17,"The John Walton Muscular Dystrophy Research Centre, MRC Centre for Neuromuscular Diseases Institute of Genetic Medicine, University of Newcastle, Central Parkway, Newcastle upon Tyne, UK.","Aartsma-Rus A, Artemieva S, Barišić N, Bayat F, Bellgard MI, Bladen CL, Bloetzer C, Brabec P, Buccella F, Bushby K, Béroud C, Campbell C, Chamova T, Chan S, Dai Y, Dawkins H, Díaz-Manera J, El Sherif R, Flanigan KM, Foncuberta ME, Gallardo E, Garami M, Guergueltcheva V, Jeannet PY, Joncourt F, Karaduman AA, Karcagi V, Kekou K, Kimura E, Kirschner J, Koeks Z, Korngut L, Kosma K, Kostera-Pruszczyk A, Lahdetie J, Lamont L, Lochmüller H, Lusakowska A, Martin AS, Monges S, Neagu E, Peay HL, Posada M, Rasic VM, Rodrigues M, Roxburgh R, Roy AJ, Salgado D, Santos R, Schreiber-Katz O, Shatillo AV, Straub V, Stringer A, Topaloğlu H, Verschuuren J, Viswanathan V, Vojinovic D, Walter MC, Wang J, Zimowski J, van den Bergen JC","20123307 UNEW_FY2013, AFM 16104, FP6LSHM-CT-2006-036825, FP7/2007-2013, MR/K000608/1, NF-SI-0512-10036","European Union Seventh Framework Programme, Medical Research Council, National Institute for Health Research (NIHR), TREAT-NM",497.0,United Kingdom,dmd,ok,"The TREAT-NMD DMD Global Database: analysis of more than 7,000 Duchenne muscular dystrophy mutations.",2010-2022
TITLE_CAPITALIZED,31113817,NCI-60,0.0,nci-60,0.0,,0.0,1,https://discover.nci.nih.gov/cellminercdb/,200,United States,"(39.4926,-77.4612)",,2019-05-21,"Developmental Therapeutic Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, Maryland. wcr@mail.nih.gov pommier@nih.gov.","Doroshow JH, Elloumi F, Lee S, Meltzer PS, Ofori-Atta K, Pommier Y, Reinhold WC, Sunshine M, Trepel JB, Varma S","Z01 BC 011497, ZIC BC011475","HHS | NIH | National Cancer InstituteHHS | NIH | National Cancer Institute (NCI), Intramural NIH HHS",56.0,,nci-60,ok,RNA Sequencing of the NCI-60: Integration into CellMiner and CellMiner CDB.,2010-2022
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH",26602693,TCGA,0.0,tcga,0.0,,0.0,1,http://bioinformatics.mdanderson.org/TCGASpliceSeq,200,United States,"(29.7633,-95.3633)",,2015-11-23,"Department of Bioinformatics and Computational Biology, The University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA In Silico Solutions, Falls Church, VA 22043, USA mryan@insilico.us.com.","Akbani R, Broom B, Brown R, Melott J, Ryan M, Su X, Weinstein J, Wong WC","CA016672, CA083639, CA143883, P30 CA016672",NCI NIH HHS,274.0,"Andorra, Comoros, United States",tcga,ok,TCGASpliceSeq a compendium of alternative mRNA splicing in cancer.,2010-2022
,31506471,prokaryotes,0.0,,0.0,prokaryotes,0.0,1,https://www.pubapps.vcu.edu/epath/,200,United States,"(37.5538,-77.4603)",,2019-09-10,"Philips Institute for Oral Health Research, Virginia Commonwealth University, Richmond, Virginia, 23298, United States of America.","Donghai H, El-Rami FE, Ge X, Kong X, Stone VN, Xu P, Zhu B","R01 DE018138, R01 DE023078, R01DE018138, R01DE023078","NIDCR NIH HHS, U.S. Department of Health &amp; Human Services | NIH | National Institute of Dental and Craniofacial Research (NIDCR), U.S. Department of Health &amp;amp; Human Services | NIH | National Institute of Dental and Craniofacial Research",9.0,United States,prokaryotes,ok,ePath: an online database towards comprehensive essential gene annotation for prokaryotes.,2010-2022
"CAPITALIZED,TITLE_CAPITALIZED",33927717,NEPdb,0.99939024,nepdb,0.99939024,,0.99939024,1,http://nep.whu.edu.cn/,200,China,"(30.5833,114.2667)",,2021-04-13,"State Key Laboratory of Virology, Hubei Key Laboratory of Cell Homeostasis, College of Life Sciences, Wuhan University, Wuhan, China.","Bai P, Fan W, Li Q, Li Y, Wang D, Xia J, Yin L, Zhou Y",,,41.0,China,nepdb,ok,NEPdb: A Database of T-Cell Experimentally-Validated Neoantigens and Pan-Cancer Predicted Neoepitopes for Cancer Immunotherapy.,2010-2022
TITLE_CAPITALIZED,32047873,ClinEpiDB,0.99927807,,0.99927807,clinepidb,0.99927807,1,https://clinepidb.org,200,United States,"(31.9349,-81.0470)",,2019-01-01,"Infectious Diseases Research Collaboration, Kampala, Uganda.","Brunk BP, Dorsey G, Harb OS, Helb DA, Judkins J, Kissinger JC, Lindsay B, Roos DS, Ruhamyankaka E, San EJ, Stoeckert CJ, Tomko SS, Zheng J","HHSN272201400030C, OPP1169785, U19 AI089674, U19AI089674","Bill and Melinda Gates Foundation, NIAID NIH HHS, National Institutes of Health",27.0,Uganda,clinepidb,ok,ClinEpiDB: an open-access clinical epidemiology database resource encouraging online exploration of complex studies.,2010-2022
"CAPITALIZED,TITLE_CAPITALIZED",31414702,IRNdb,0.9992505,irndb,0.9992505,,0.9992505,1,http://irndb.org,200,United States,"(37.7621,-122.3971)",,2016-10-25,,"Brombacher F, Denisenko E, Guler R, Ho D, Ozturk M, Schmeier S, Suzuki H, Tamgue O",,,5.0,,irndb,ok,IRNdb: the database of immunologically relevant non-coding RNAs.,2010-2022
TITLE_CAPITALIZED,31665505,BacFITBase,0.99924505,,0.99924505,bacfitbase,0.99924505,1,http://www.tartaglialab.com/bacfitbase,200,Ireland,"(53.3331,-6.2489)",,2020-01-01,"Systems Biology of Infection Lab, Department of Biochemistry and Molecular Biology, Biosciences Faculty, Universitat Autònoma de Barcelona, 08193 Cerdanyola del Vallès, Spain.","Burgas MT, Lang B, Rendón JM, Tartaglia GG","309545, 727658, 793135, BFU2014-55054-P, BFU2017-86970-P, IASIS, RIBOMYLOME_309545, RYC-2012-09999, SAF2015-72518-EXP, SAF2017-82158-R","European Research Council, European Society of Clinical Microbiology and Infectious Diseases, European Union&apos;s Horizon 2020 Research and Innovation Programme, Innovación y Universidades, Marie Sklodowska-Curie Individual Fellowship, Ministerio de Ciencia, Ministry of Economy and Competitiveness",11.0,"Andorra, Spain",bacfitbase,ok,BacFITBase: a database to assess the relevance of bacterial genes during host infection.,2010-2022
TITLE_CAPITALIZED,33179738,OncoVar,0.999163,,0.999163,oncovar,0.999163,1,https://oncovar.org/,200,United States,"(37.7621,-122.3971)",,2021-01-01,"Center for Medical Genetics & Hunan Key Laboratory of Medical Genetics, School of Life Sciences, Central South University, Changsha, Hunan 410083, China.","Mao F, Ruan S, Shi X, Sun Z, Teng H, Wang T, Xia K, You M, Zhao X, Zhong J","2012AA02A210, 2016YFC0900400, 31872237, 81525007, 81730036","National High-tech Research and Development Program, National Key Research and Development Program of China, National Natural Science Foundation of China",73.0,China,oncovar,ok,OncoVar: an integrated database and analysis platform for oncogenic driver variants in cancers.,2010-2022
TITLE_CAPITALIZED,29028907,OncomiR,0.9991589,,0.9991589,oncomir,0.9991589,1,http://www.oncomir.org,200,United States,"(41.8500,-87.6500)",,2018-02-01,"Department of Biomedical Engineering, Washington University in St. Louis, St. Louis, MO 63130, USA.","Chen S, Chen Y, Wang X, Wong NW","R01 DE026471, R01 GM089784, R01DE026471, R01GM089784","NIDCR NIH HHS, NIGMS NIH HHS, National Institutes of Health",134.0,United States,oncomir,ok,OncomiR: an online resource for exploring pan-cancer microRNA dysregulation.,2010-2022
"CAPITALIZED,TITLE_CAPITALIZED",34887386,dbTMM,0.9991565,dbtmm,0.9991565,,0.9991565,1,http://www.megabank.tohoku.ac.jp/english/a201201/,200,Japan,"(38.2667,140.8667)",,2021-12-10,"Tohoku Medical Megabank Organization, Tohoku University, Sendai, Japan. ogishima@megabank.tohoku.ac.jp.","Aoki Y, Asahi K, Danjoh I, Fuse N, Hozawa A, Iida K, Ishikuro M, Ishiwata R, Katsuoka F, Kinoshita K, Kobayashi T, Koshiba S, Kumada K, Kure S, Kuriyama S, Makino S, Minegishi N, Mizuno S, Motoike IN, Mugikura S, Murakami K, Nagaie S, Nagami F, Nagase S, Nakamura N, Nakamura T, Nakaya N, Narita A, Nobukuni T, Obara T, Ogishima S, Ohmomo H, Onuma T, Sakurai M, Sasaki M, Shimizu A, Shimizu R, Shimokawa K, Suzuki K, Tadaka S, Takai-Igarashi T, Tamiya G, Tanaka H, Tanno K, Tominaga T, Tomita H, Tsuboi A, Tsuchiya N, Ueno F, Uruno A, Yaegashi N, Yamamoto M","JP20km0105001,JP20km0105002,JP20km0405001","Japan Agency for Medical Research and Development, Japan Agency for Medical Research and Development (AMED)",13.0,Japan,dbtmm,ok,"dbTMM: an integrated database of large-scale cohort, genome and clinical data for the Tohoku Medical Megabank Project.",2010-2022
TITLE_CAPITALIZED,29237557,eRepo-ORP,0.99914247,,0.99914247,erepo-orp,0.99914247,1,https://osf.io/qdjup/,200,United States,"(39.0997,-94.5786)",,2017-12-10,"Department of Biological Sciences, Louisiana State University, Baton Rouge, LA 70803, USA; Center for Computation & Technology, Louisiana State University, Baton Rouge, LA 70803, USA. Electronic address: michal@brylinski.org.","Brylinski M, Govindaraj RG, Lemoine J, Naderi M","R35 GM119524, R35GM119524","NIGMS NIH HHS, National Institute of General Medical Sciences, National Institutes of Health",8.0,United States,erepo-orp,ok,eRepo-ORP: Exploring the Opportunity Space to Combat Orphan Diseases with Existing Drugs.,2010-2022
TITLE_CAPITALIZED,30053268,ADReCS-Target,0.9991417,,0.9991417,adrecs-target,0.9991417,1,http://bioinf.xmu.edu.cn/ADReCS-Target,200,China,"(22.5455,114.0683)",,2018-01-01,"State Key Laboratory of Stress Cell Biology, School of Life Sciences, Xiamen University, Xiamen, Fujian 361102, PR China.","Chen LS, Cheng J, He QS, Huang LH, Ji ZL, Liu K, Yao LX, Zhong MD",,,28.0,China,adrecs-target,ok,ADReCS-Target: target profiles for aiding drug safety research and application.,2010-2022
CAPITALIZED,34254996,ADEIP,0.99912715,adeip,0.99912715,,0.99912715,1,http://geneyun.net/ADEIP,200,China,"(31.2222,121.4581)",,2021-11-01,"College of Biomedicine and Health, Huazhong Agricultural University, Wuhan 430070, China.","Chang L, Chen W, Chen X, Dong Z, Fang Y, Han L, He C, Liu X, Tang X, Yang S, Ye H, Zhang W, Zhong S","2018ZX10733403, 81870129","China National Grand S&amp;T Special Project, National Natural Foundation of China",16.0,"Andorra, China",adeip,ok,ADEIP: an integrated platform of age-dependent expression and immune profiles across human tissues.,2010-2022
TITLE_CAPITALIZED,32977531,FuncPEP,0.9991068,,0.9991068,funcpep,0.9991068,1,https://bioinformatics.mdanderson.org/Supplements/FuncPEP/,200,United States,"(29.7633,-95.3633)",,2020-09-23,"Department of Translational Molecular Pathology, The University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA.","Berland L, Broom BM, Calin GA, Dragomir MP, Ivan C, Knutsen E, Lipovich L, Manyam GC, Ott LF","#CA096297/CA096300, 1R01 CA182905-01, 1R01CA222007-01A1, 1R01GM122775-01, CA160445P1, UH3TR00943-01","NCI NIH HHS, NIGMS NIH HHS, NIH HHS, National Cancer Institute, National Institute of General Medical Sciences, National Institutes of Health, U.S. Department of Defense, UPR/MDACC",48.0,United States,funcpep,ok,FuncPEP: A Database of Functional Peptides Encoded by Non-Coding RNAs.,2010-2022
TITLE_CAPITALIZED,33151297,PK-DB,0.9990788,pk-db,0.9990788,,0.9990788,1,https://pk-db.com,200,Germany,"(50.5873,8.6755)",,2021-01-01,"Institute for Theoretical Biology, Humboldt-University Berlin, Invalidenstraße 110, Berlin 10115, Germany.","Barthorscht F, Brandhorst J, De Angelis S, Duport Y, Eleftheriadou D, Green K, Grzegorzewski J, Ke DYJ, Köller A, König M","031A532B, 031A533A, 031A533B, 031A534A, 031A535A, 031A537B, 031A537C, 031A538A, 031L0054",Federal Ministry of Education and Research,34.0,Germany,pk-db,ok,PK-DB: pharmacokinetics database for individualized and stratified computational modeling.,2010-2022
