"row_num","best_name","paper_titles","best_name_updated","full_name_updated","confidence","notes"
"184","KinomeMETA","KinomeMETA: a web platform for kinome-wide polypharmacology profiling with meta-learning.","KinomeMETA","KinomeMETA","HIGH","No expansion in title"
"185","PhyloString","PhyloString: A web server designed to identify, visualize, and evaluate functional relationships between orthologous protein groups across different phylogenetic lineages.","PhyloString","PhyloString","HIGH","No expansion in title"
"186","UVREK","UVREK: Development and Analysis of an Expression Profile Knowledgebase of Biomolecules Induced by Ultraviolet Radiation Exposure.","UVREK","UVREK","HIGH","No expansion in title"
"187","REMEMProt","REMEMProt: a resource of membrane-enriched proteome profiles, their disease associations, and biomarker status.","REMEMProt","REMEMProt","HIGH","No expansion in title"
"188","MosaiCatcher","MosaiCatcher v2: a single-cell structural variations detection and analysis reference framework based on Strand-seq.","MosaiCatcher","MosaiCatcher","HIGH","No expansion in title"
"189","SpadaHC","SpadaHC: a database to improve the classification of variants in hereditary cancer genes in the Spanish population.","SpadaHC","SpadaHC","HIGH","No expansion in title"
"190","PeakCNV","PeakCNV: A multi-feature ranking algorithm-based tool for genome-wide copy number variation-association study.","PeakCNV","PeakCNV","HIGH","No expansion in title"
"191","PLANTdataHUB","PLANTdataHUB: a collaborative platform for continuous FAIR data sharing in plant research.","PLANTdataHUB","PLANTdataHUB","HIGH","No expansion in title"
"192","DSCI","DSCI: a database of synthetic biology components for innate immunity and cell engineering decision-making processes.","DSCI","DSCI","HIGH","No expansion in title"
"193","RAIChU","RAIChU: automating the visualisation of natural product biosynthesis.","RAIChU","RAIChU","HIGH","No expansion in title"
"194","DenovoProfiling","DenovoProfiling: A webserver for de novo generated molecule library profiling.","DenovoProfiling","DenovoProfiling","HIGH","No expansion in title"
"195","scPlantDB","scPlantDB: a comprehensive database for exploring cell types and markers of plant cell atlases.","scPlantDB","scPlantDB","HIGH","No expansion in title"
"196","Multioviz","Multioviz: an interactive platform for in silico perturbation and interrogation of gene regulatory networks.","Multioviz","Multioviz","HIGH","No expansion in title"
"197","LM-DTI","LM-DTI: a tool of predicting drug-target interactions using the node2vec and network path score methods.","LM-DTI","LM-DTI","HIGH","No expansion in title"
"198","ViTaFa","Vienna Talking Faces (ViTaFa): A multimodal person database with synchronized videos, images, and voices.","ViTaFa","Vienna Talking Faces","HIGH","Expansion explicit before acronym in parentheses"
"199","Cell Mapping Toolkit","Cell Mapping Toolkit: an end-to-end pipeline for mapping subcellular organization.","Cell Mapping Toolkit","Cell Mapping Toolkit","HIGH","Already descriptive name"
"200","GeNeo","GeNeo: A Bioinformatics Toolbox for Genomics-Guided Neoepitope Prediction.","GeNeo","GeNeo","HIGH","No expansion in title"
