global_row,chunk,best_name,paper_titles,best_name_updated,full_name_updated,confidence,notes
290,2,DVH Analytics,DVH Analytics: A DVH database for clinicians and researchers.,DVH Analytics,DVH Analytics,HIGH,No explicit expansion in title
291,2,PepBind,PepBind: a comprehensive database and computational tool for analysis of protein-peptide interactions.,PepBind,PepBind,HIGH,No explicit expansion in title
292,2,scRNA-tools,Exploring the single-cell RNA-seq analysis landscape with the scRNA-tools database.,scRNA-tools,scRNA-tools,HIGH,No explicit expansion in title
293,2,Ligandbook,Ligandbook: an online repository for small and drug-like molecule force field parameters.,Ligandbook,Ligandbook,HIGH,No explicit expansion in title
294,2,ImmtorLig_DB,ImmtorLig_DB: repertoire of virtually screened small molecules against immune receptors to bolster host immunity.,ImmtorLig_DB,ImmtorLig_DB,HIGH,No explicit expansion in title
295,2,Cpf1-Database,Cpf1-Database: web-based genome-wide guide RNA library design for gene knockout screens using CRISPR-Cpf1.,Cpf1-Database,Cpf1-Database,HIGH,No explicit expansion in title
296,2,MorphDB,MorphDB: Prioritizing Genes for Specialized Metabolism Pathways and Gene Ontology Categories in Plants.,MorphDB,MorphDB,HIGH,No explicit expansion in title
297,2,IrGO,IrGO: Iranian traditional medicine General Ontology and knowledge base.,IrGO,Iranian traditional medicine General Ontology and knowledge base,HIGH,Explicit expansion: 'IrGO: Iranian traditional medicine General Ontology and knowledge base'
298,2,ANDI,Advanced Neuropsychological Diagnostics Infrastructure (ANDI): A Normative Database Created from Control Datasets.,ANDI,Advanced Neuropsychological Diagnostics Infrastructure,HIGH,Explicit expansion: 'Advanced Neuropsychological Diagnostics Infrastructure (ANDI)'
299,2,LexiRumah,LexiRumah: An online lexical database of the Lesser Sunda Islands.,LexiRumah,LexiRumah,HIGH,No explicit expansion in title
300,2,Oncopression,Oncopression: gene expression compendium for cancer with matched normal tissues.,Oncopression,Oncopression,HIGH,No explicit expansion in title
301,2,STRidER,Recommendations of the DNA Commission of the International Society for Forensic Genetics (ISFG) on quality control of autosomal Short Tandem Repeat allele frequency databasing (STRidER).,STRidER,STRidER,HIGH,No explicit expansion in title
302,2,CiteAb,CiteAb: a searchable antibody database that ranks antibodies by the number of times they have been cited.,CiteAb,CiteAb,HIGH,No explicit expansion in title
303,2,GenColors,GenColors-based comparative genome databases for small eukaryotic genomes.,GenColors,GenColors,HIGH,No explicit expansion in title
304,2,PlanNET,PlanNET: homology-based predicted interactome for multiple planarian transcriptomes.,PlanNET,PlanNET,HIGH,No explicit expansion in title
305,2,HPVomics,HPVomics: An integrated resource for the human papillomavirus epitome and therapeutics.,HPVomics,HPVomics,HIGH,No explicit expansion in title
306,2,ABCkb,The Aliment to Bodily Condition knowledgebase (ABCkb): a database connecting plants and human health.,ABCkb,Aliment to Bodily Condition knowledgebase,HIGH,Explicit expansion: 'Aliment to Bodily Condition knowledgebase (ABCkb)'
307,2,PlantRegMap,PlantRegMap: charting functional regulatory maps in plants.,PlantRegMap,PlantRegMap,HIGH,No explicit expansion in title
308,2,miRTargetLink,miRTargetLink 2.0-interactive miRNA target gene and target pathway networks.,miRTargetLink,miRTargetLink,HIGH,No explicit expansion in title
309,2,IPSI,"Database of Italian present-day stress indicators, IPSI 1.4.",IPSI,IPSI,HIGH,No explicit expansion in title
310,2,TheCellMap.org,TheCellMap.org: A Web-Accessible Database for Visualizing and Mining the Global Yeast Genetic Interaction Network.,TheCellMap.org,TheCellMap.org,HIGH,No explicit expansion in title
311,2,THE-DB,THE-DB: a threading model database for comparative protein structure analysis of the E. coli K12 and human proteomes.,THE-DB,THE-DB,HIGH,No explicit expansion in title
312,2,Interactome INSIDER,Interactome INSIDER: a structural interactome browser for genomic studies.,Interactome INSIDER,Interactome INSIDER,HIGH,No explicit expansion in title
313,2,ISU FLUture,ISU FLUture: a veterinary diagnostic laboratory web-based platform to monitor the temporal genetic patterns of Influenza A virus in swine.,ISU FLUture,ISU FLUture,HIGH,No explicit expansion in title
314,2,PhyloFish,Gene evolution and gene expression after whole genome duplication in fish: the PhyloFish database.,PhyloFish,PhyloFish,HIGH,No explicit expansion in title
315,2,Kinase Atlas,Kinase Atlas: Druggability Analysis of Potential Allosteric Sites in Kinases.,Kinase Atlas,Kinase Atlas,HIGH,No explicit expansion in title
316,2,foodDB,"Nutrient composition databases in the age of big data: foodDB, a comprehensive, real-time database infrastructure.",foodDB,foodDB,HIGH,No explicit expansion in title
317,2,ReconMap,ReconMap: an interactive visualization of human metabolism.,ReconMap,ReconMap,HIGH,No explicit expansion in title
318,2,art.pics,art.pics Database: An Open Access Database for Art Stimuli for Experimental Research.,art.pics,art.pics,HIGH,No explicit expansion in title
319,2,molecular epidemiology database,A public HTLV-1 molecular epidemiology database for sequence management and data mining.,molecular epidemiology database,molecular epidemiology database,HIGH,No explicit expansion in title
320,2,CART-WHEEL.org,CART-WHEEL.org: An Ethically Approved Online Database for Patient-Entered Data to Facilitate Rare Cancer Research.,CART-WHEEL.org,CART-WHEEL.org,HIGH,No explicit expansion in title
321,2,BCommons,Knowledge Base Commons (KBCommons) v1.1: a universal framework for multi-omics data integration and biological discoveries.,BCommons,BCommons,HIGH,No explicit expansion in title
322,2,IMG,Improving microbial genome annotations in an integrated database context. | IMG/M 4 version of the integrated metagenome comparative analysis system.,IMG,IMG,HIGH,No explicit expansion in title
323,2,Plant PTM Viewer,"The Plant PTM Viewer, a central resource for exploring plant protein modifications.",Plant PTM Viewer,Plant PTM Viewer,HIGH,No explicit expansion in title
324,2,HExpoChem,HExpoChem: a systems biology resource to explore human exposure to chemicals.,HExpoChem,HExpoChem,HIGH,No explicit expansion in title
325,2,DREIMT,DREIMT: a drug repositioning database and prioritization tool for immunomodulation.,DREIMT,DREIMT,HIGH,No explicit expansion in title
326,2,NaPLeS,NaPLeS: a natural products likeness scorer-web application and database.,NaPLeS,NaPLeS,HIGH,No explicit expansion in title
327,2,OpenTrials,OpenTrials: towards a collaborative open database of all available information on all clinical trials.,OpenTrials,OpenTrials,HIGH,No explicit expansion in title
328,2,TOXiTAXi,TOXiTAXi: a web resource for toxicity of Bacillus thuringiensis protein compositions towards species of various taxonomic groups.,TOXiTAXi,TOXiTAXi,HIGH,No explicit expansion in title
329,2,Phi-Lex,Phi-square Lexical Competition Database (Phi-Lex): an online tool for quantifying auditory and visual lexical competition.,Phi-Lex,Phi-Lex,HIGH,No explicit expansion in title
330,2,VIRmiRNA,VIRmiRNA: a comprehensive resource for experimentally validated viral miRNAs and their targets.,VIRmiRNA,VIRmiRNA,HIGH,No explicit expansion in title
331,2,Pofatu,"Pofatu, a curated and open-access database for geochemical sourcing of archaeological materials.",Pofatu,Pofatu,HIGH,No explicit expansion in title
332,2,DALIA,DALIA- a comprehensive resource of Disease Alleles in Arab population.,DALIA,DALIA,HIGH,No explicit expansion in title
333,2,CELL5M,CELL5M: A geospatial database of agricultural indicators for Africa South of the Sahara.,CELL5M,CELL5M,HIGH,No explicit expansion in title
334,2,Gene2Function,Gene2Function: An Integrated Online Resource for Gene Function Discovery.,Gene2Function,Gene2Function,HIGH,No explicit expansion in title
335,2,OpenNeuro,The OpenNeuro resource for sharing of neuroscience data.,OpenNeuro,OpenNeuro,HIGH,No explicit expansion in title
336,2,LmSmdB,LmSmdB: an integrated database for metabolic and gene regulatory network in Leishmania major and Schistosoma mansoni.,LmSmdB,LmSmdB,HIGH,No explicit expansion in title
337,2,PlasmoView,PlasmoView: a web-based resource to visualise global Plasmodium falciparum genomic variation.,PlasmoView,PlasmoView,HIGH,No explicit expansion in title
338,2,ReCCaP,The Repository for Caribbean Cancer Publications (ReCCaP): Database Development and Publication Trends 2004-2019.,ReCCaP,ReCCaP,HIGH,No explicit expansion in title
339,2,ViralZone,ViralZone: recent updates to the virus knowledge resource.,ViralZone,ViralZone,HIGH,No explicit expansion in title
340,2,AmpuBase,AmpuBase: a transcriptome database for eight species of apple snails (Gastropoda: Ampullariidae).,AmpuBase,AmpuBase,HIGH,No explicit expansion in title
341,2,SilkOrganPDB,Proteomic Identification of <i>Bombyx mori</i> Organelles Using the Engineered Ascorbate Peroxidase APEX and Development of Silkworm Organelle Proteome Database (SilkOrganPDB).,SilkOrganPDB,SilkOrganPDB,HIGH,No explicit expansion in title
342,2,TGIF-DB,TGIF-DB: terse genomics interface for developing botany.,TGIF-DB,terse genomics interface,HIGH,Explicit expansion: 'TGIF-DB: terse genomics interface'
343,2,NeuroTransDB,NeuroTransDB: highly curated and structured transcriptomic metadata for neurodegenerative diseases.,NeuroTransDB,NeuroTransDB,HIGH,No explicit expansion in title
344,2,KCGS,The Kinase Chemogenomic Set (KCGS): An Open Science Resource for Kinase Vulnerability Identification.,KCGS,Kinase Chemogenomic Set,HIGH,Explicit expansion: 'Kinase Chemogenomic Set (KCGS)'
345,2,HEATSTER,HEATSTER: A Database and Web Server for Identification and Classification of Heat Stress Transcription Factors in Plants.,HEATSTER,HEATSTER,HIGH,No explicit expansion in title
346,2,MIMIC-III,"MIMIC-III, a freely accessible critical care database.",MIMIC-III,MIMIC-III,HIGH,No explicit expansion in title
347,2,Myo-REG,Myo-REG: A Portal for Signaling Interactions in Muscle Regeneration.,Myo-REG,Myo-REG,HIGH,No explicit expansion in title
348,2,PRED+CT,The Patient Repository for EEG Data + Computational Tools (PRED+CT).,PRED+CT,Patient Repository for EEG Data + Computational Tools,HIGH,Explicit expansion: 'Patient Repository for EEG Data + Computational Tools (PRED+CT)'
349,2,PRECISE,"The PRECISE (PREgnancy Care Integrating translational Science, Everywhere) database: open-access data collection in maternal and newborn health.",PRECISE,PRECISE,HIGH,No explicit expansion in title
350,2,UnoViS,UnoViS: the MedIT public unobtrusive vital signs database.,UnoViS,UnoViS,HIGH,No explicit expansion in title
351,2,ZikaVR,"ZikaVR: An Integrated Zika Virus Resource for Genomics, Proteomics, Phylogenetic and Therapeutic Analysis.",ZikaVR,ZikaVR,HIGH,No explicit expansion in title
352,2,SYNS,The Southampton-York Natural Scenes (SYNS) dataset: Statistics of surface attitude.,SYNS,Southampton-York Natural Scenes,HIGH,Explicit expansion: 'Southampton-York Natural Scenes (SYNS)'
353,2,MIMIC-CXR,"MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports.",MIMIC-CXR,MIMIC-CXR,HIGH,No explicit expansion in title
354,2,NeuroCirc,NeuroCirc: an integrative resource of circular RNA expression in the human brain.,NeuroCirc,NeuroCirc,HIGH,No explicit expansion in title
355,2,PolyprOnline,PolyprOnline: polyproline helix II and secondary structure assignment database.,PolyprOnline,PolyprOnline,HIGH,No explicit expansion in title
356,2,BioSWR,BioSWR--semantic web services registry for bioinformatics.,BioSWR,BioSWR,HIGH,No explicit expansion in title
357,2,MiTPeptideDB,MiTPeptideDB: a proteogenomic resource for the discovery of novel peptides.,MiTPeptideDB,MiTPeptideDB,HIGH,No explicit expansion in title
358,2,EcRBPome,EcRBPome: a comprehensive database of all known E. coli RNA-binding proteins.,EcRBPome,EcRBPome,HIGH,No explicit expansion in title
359,2,U-Limb,"U-Limb: A multi-modal, multi-center database on arm motion control in healthy and post-stroke conditions.",U-Limb,U-Limb,HIGH,No explicit expansion in title
360,2,BloodSpot,BloodSpot: a database of gene expression profiles and transcriptional programs for healthy and malignant haematopoiesis. | BloodSpot: a database of healthy and malignant haematopoiesis updated with purified and single cell mRNA sequencing profiles.,BloodSpot,BloodSpot,HIGH,No explicit expansion in title
361,2,MUSTARD,MUSTARD-a comprehensive resource of mutation-specific therapies in cancer.,MUSTARD,MUSTARD,HIGH,No explicit expansion in title
362,2,SpliceSeq,SpliceSeq: a resource for analysis and visualization of RNA-Seq data on alternative splicing and its functional impacts.,SpliceSeq,SpliceSeq,HIGH,No explicit expansion in title
363,2,REACHES,Construction of the REACHES climate database based on historical documents of China.,REACHES,REACHES,HIGH,No explicit expansion in title
364,2,NeuroVault,NeuroVault.org: a web-based repository for collecting and sharing unthresholded statistical maps of the human brain.,NeuroVault,NeuroVault,HIGH,No explicit expansion in title
365,2,GoMAP,The Geogenomic Mutational Atlas of Pathogens (GoMAP) web system.,GoMAP,GoMAP,HIGH,No explicit expansion in title
366,2,TransNewGuinea.org,TransNewGuinea.org: An Online Database of New Guinea Languages.,TransNewGuinea.org,TransNewGuinea.org,HIGH,No explicit expansion in title
367,2,PANGAEA,The PANGAEA mineralogical database.,PANGAEA,PANGAEA,HIGH,No explicit expansion in title
368,2,FORUM,FORUM: building a Knowledge Graph from public databases and scientific literature to extract associations between chemicals and diseases.,FORUM,FORUM,HIGH,No explicit expansion in title
369,2,TASUKE,TASUKE+: a web-based platform for exploring genome-wide association studies results and large-scale resequencing data.,TASUKE,TASUKE,HIGH,No explicit expansion in title
370,2,EFI,"The EFI Web Resource for Genomic Enzymology Tools: Leveraging Protein, Genome, and Metagenome Databases to Discover Novel Enzymes and Metabolic Pathways.",EFI,EFI,HIGH,No explicit expansion in title
371,2,SoyCSN,SoyCSN: Soybean context-specific network analysis and prediction based on tissue-specific transcriptome data.,SoyCSN,SoyCSN,HIGH,No explicit expansion in title
372,2,CHOmine,CHOmine: an integrated data warehouse for CHO systems biology and modeling.,CHOmine,CHOmine,HIGH,No explicit expansion in title
373,2,SRMAtlas,Human SRMAtlas: A Resource of Targeted Assays to Quantify the Complete Human Proteome.,SRMAtlas,SRMAtlas,HIGH,No explicit expansion in title
374,2,MGOB,The Methylotroph Gene Order Browser (MGOB) reveals conserved synteny and ancestral centromere locations in the yeast family Pichiaceae.,MGOB,Methylotroph Gene Order Browser,HIGH,Explicit expansion: 'Methylotroph Gene Order Browser (MGOB)'
375,2,HuPSON,HuPSON: the human physiology simulation ontology.,HuPSON,HuPSON,HIGH,No explicit expansion in title
376,2,HIT-COVID,"HIT-COVID, a global database tracking public health interventions to COVID-19.",HIT-COVID,HIT-COVID,HIGH,No explicit expansion in title
377,2,ProteomeTools,Building ProteomeTools based on a complete synthetic human proteome.,ProteomeTools,ProteomeTools,HIGH,No explicit expansion in title
378,2,PlateletWeb,PlateletWeb: a systems biologic analysis of signaling networks in human platelets.,PlateletWeb,PlateletWeb,HIGH,No explicit expansion in title
379,2,CPSYMAP,Computational Psychiatry Research Map (CPSYMAP): A New Database for Visualizing Research Papers.,CPSYMAP,CPSYMAP,HIGH,No explicit expansion in title
380,2,Mouse Intestinal Bacterial Collection,The Mouse Intestinal Bacterial Collection (miBC) provides host-specific insight into cultured diversity and functional potential of the gut microbiota.,Mouse Intestinal Bacterial Collection,Mouse Intestinal Bacterial Collection,HIGH,No explicit expansion in title
381,2,PICS,"Factor Xa subsite mapping by proteome-derived peptide libraries improved using WebPICS, a resource for proteomic identification of cleavage sites.",PICS,PICS,HIGH,No explicit expansion in title
382,2,UniBind,A map of direct TF-DNA interactions in the human genome. | UniBind: maps of high-confidence direct TF-DNA interactions across nine species.,UniBind,UniBind,HIGH,No explicit expansion in title
383,2,BaAMPs,BaAMPs: the database of biofilm-active antimicrobial peptides.,BaAMPs,BaAMPs,HIGH,No explicit expansion in title
384,2,Plant editosome database,Plant editosome database: a curated database of RNA editosome in plants.,Plant editosome database,Plant editosome database,HIGH,No explicit expansion in title
385,2,JCGA,JCGA: the Japanese version of the Cancer Genome Atlas and its contribution to the interpretation of gene alterations detected in clinical cancer genome sequencing.,JCGA,JCGA,HIGH,No explicit expansion in title
386,2,Veterans Affairs Precision Oncology Data Repository,"The Veterans Affairs Precision Oncology Data Repository, a Clinical, Genomic, and Imaging Research Database.",Veterans Affairs Precision Oncology Data Repository,Veterans Affairs Precision Oncology Data Repository,HIGH,No explicit expansion in title
387,2,Y-STR Poland,[Y-STR Poland--a database for evaluation of evidence value in forensic genetics].,Y-STR Poland,Y-STR Poland,HIGH,No explicit expansion in title
388,2,VianniaTopes,VianniaTopes: a database of predicted immunogenic peptides for Leishmania (Viannia) species.,VianniaTopes,VianniaTopes,HIGH,No explicit expansion in title
389,2,SFARI Gene,SFARI Gene 2.0: a community-driven knowledgebase for the autism spectrum disorders (ASDs).,SFARI Gene,SFARI Gene,HIGH,No explicit expansion in title
390,2,FORMIDABEL,FORMIDABEL: The Belgian Ants Database.,FORMIDABEL,FORMIDABEL,HIGH,No explicit expansion in title
391,2,miRSystem,miRSystem: an integrated system for characterizing enriched functions and pathways of microRNA targets.,miRSystem,miRSystem,HIGH,No explicit expansion in title
392,2,ClimCKmap,"ClimCKmap, a spatially, temporally and climatically explicit distribution database for the Italian fauna.",ClimCKmap,ClimCKmap,HIGH,No explicit expansion in title
393,2,ChemMaps.com,Exploring drug space with ChemMaps.com.,ChemMaps.com,ChemMaps.com,HIGH,No explicit expansion in title
394,2,DEST,Drosophila Evolution over Space and Time (DEST): A New Population Genomics Resource.,DEST,Drosophila Evolution over Space and Time,HIGH,Explicit expansion: 'Drosophila Evolution over Space and Time (DEST)'
395,2,ReproGenomics Viewer,The ReproGenomics Viewer: an integrative cross-species toolbox for the reproductive science community. | The ReproGenomics Viewer: a multi-omics and cross-species resource compatible with single-cell studies for the reproductive science community.,ReproGenomics Viewer,ReproGenomics Viewer,HIGH,No explicit expansion in title
396,2,Cam-CAN,"The Cambridge Centre for Ageing and Neuroscience (Cam-CAN) data repository: Structural and functional MRI, MEG, and cognitive data from a cross-sectional adult lifespan sample.",Cam-CAN,Cam-CAN,HIGH,No explicit expansion in title
397,2,AACT,The database for aggregate analysis of ClinicalTrials.gov (AACT) and subsequent regrouping by clinical specialty.,AACT,AACT,HIGH,No explicit expansion in title
398,2,BioAcoustica,BioAcoustica: a free and open repository and analysis platform for bioacoustics.,BioAcoustica,BioAcoustica,HIGH,No explicit expansion in title
399,2,Drug/Cell-line Browser,Drug/Cell-line Browser: interactive canvas visualization of cancer drug/cell-line viability assay datasets.,Drug/Cell-line Browser,Drug/Cell-line Browser,HIGH,No explicit expansion in title
400,2,SPDI,SPDI: data model for variants and applications at NCBI.,SPDI,SPDI,HIGH,No explicit expansion in title
401,2,NeuroGT,NeuroGT: A brain atlas of neurogenic tagging CreER drivers for birthdate-based classification and manipulation of mouse neurons.,NeuroGT,NeuroGT,HIGH,No explicit expansion in title
401,3,QuartataWeb,QuartataWeb: Integrated Chemical-Protein-Pathway Mapping for Polypharmacology and Chemogenomics.,QuartataWeb,QuartataWeb,HIGH,No explicit expansion found in title; using short name for both
402,3,CausalTAB,CausalTAB: the PSI-MITAB 2.8 updated format for signalling data representation and dissemination.,CausalTAB,CausalTAB,HIGH,No explicit expansion found in title; using short name for both
403,3,sAOP,sAOP: linking chemical stressors to adverse outcomes pathway networks.,sAOP,sAOP,HIGH,No explicit expansion found in title; using short name for both
404,3,Global Abortion Policies Database,"Global Abortion Policies Database: a new approach to strengthening knowledge on laws, policies, and human rights standards.",Global Abortion Policies Database,Global Abortion Policies Database,HIGH,No explicit expansion found in title; using short name for both
405,3,Protein Homeostasis Database,Protein Homeostasis Database: protein quality control in E.coli.,Protein Homeostasis Database,Protein Homeostasis Database,HIGH,No explicit expansion found in title; using short name for both
406,3,Phosphomatics,Phosphomatics: interactive interrogation of substrate-kinase networks in global phosphoproteomics datasets.,Phosphomatics,Phosphomatics,HIGH,No explicit expansion found in title; using short name for both
407,3,Disbiome,Disbiome database: linking the microbiome to disease.,Disbiome,Disbiome,HIGH,No explicit expansion found in title; using short name for both
408,3,Gut Virome Database,The Gut Virome Database Reveals Age-Dependent Patterns of Virome Diversity in the Human Gut.,Gut Virome Database,Gut Virome Database,HIGH,No explicit expansion found in title; using short name for both
409,3,Phenopolis,Phenopolis: an open platform for harmonization and analysis of genetic and phenotypic data.,Phenopolis,Phenopolis,HIGH,No explicit expansion found in title; using short name for both
410,3,SoilGrids1km,SoilGrids1km--global soil information based on automated mapping.,SoilGrids1km,SoilGrids1km,HIGH,No explicit expansion found in title; using short name for both
411,3,Virtual Metabolic Human,The Virtual Metabolic Human database: integrating human and gut microbiome metabolism with nutrition and disease.,Virtual Metabolic Human,Virtual Metabolic Human,HIGH,No explicit expansion found in title; using short name for both
412,3,MyoSegmenTUM,Thigh muscle segmentation of chemical shift encoding-based water-fat magnetic resonance images: The reference database MyoSegmenTUM.,MyoSegmenTUM,MyoSegmenTUM,HIGH,No explicit expansion found in title; using short name for both
413,3,DecNef,"The DecNef collection, fMRI data from closed-loop decoded neurofeedback experiments.",DecNef,DecNef,HIGH,No explicit expansion found in title; using short name for both
414,3,Greengenes,An improved Greengenes taxonomy with explicit ranks for ecological and evolutionary analyses of bacteria and archaea.,Greengenes,Greengenes,HIGH,No explicit expansion found in title; using short name for both
415,3,BRCA Challenge,BRCA Challenge: BRCA Exchange as a global resource for variants in BRCA1 and BRCA2.,BRCA Challenge,BRCA Challenge,HIGH,No explicit expansion found in title; using short name for both
416,3,MotifMap,MotifMap: integrative genome-wide maps of regulatory motif sites for model species.,MotifMap,MotifMap,HIGH,No explicit expansion found in title; using short name for both
417,3,SMAP-HydroBlocks,"SMAP-HydroBlocks, a 30-m satellite-based soil moisture dataset for the conterminous US.",SMAP-HydroBlocks,SMAP-HydroBlocks,HIGH,No explicit expansion found in title; using short name for both
418,3,ISB Cancer Genomics Cloud,The ISB Cancer Genomics Cloud: A Flexible Cloud-Based Platform for Cancer Genomics Research.,ISB Cancer Genomics Cloud,ISB Cancer Genomics Cloud,HIGH,No explicit expansion found in title; using short name for both
419,3,GenTree,"GenTree, an integrated resource for analyzing the evolution and function of primate-specific coding genes.",GenTree,GenTree,HIGH,No explicit expansion found in title; using short name for both
420,3,dBBQs,dBBQs: dataBase of Bacterial Quality scores.,dBBQs,dBBQs,HIGH,No explicit expansion found in title; using short name for both
421,3,Zebrafish Anatomy Portal,The Zebrafish Anatomy Portal: a novel integrated resource to facilitate zebrafish research.,Zebrafish Anatomy Portal,Zebrafish Anatomy Portal,HIGH,No explicit expansion found in title; using short name for both
422,3,Epistemonikos,Epistemonikos: a comprehensive database of systematic reviews for health decision-making.,Epistemonikos,Epistemonikos,HIGH,No explicit expansion found in title; using short name for both
423,3,COVIDome,The COVIDome Explorer researcher portal.,COVIDome,COVIDome,HIGH,No explicit expansion found in title; using short name for both
424,3,Portal of Juglandaceae,Portal of Juglandaceae: A comprehensive platform for Juglandaceae study.,Portal of Juglandaceae,Portal of Juglandaceae,HIGH,No explicit expansion found in title; using short name for both
425,3,Tianxia120,Tianxia120: A Multimodal Medical Data Collection Bioinformatic System for Proactive Health Management in Internet of Medical Things.,Tianxia120,Tianxia120,HIGH,No explicit expansion found in title; using short name for both
426,3,Proteogenomics Viewer,"A tool for integrating genetic and mass spectrometry-based peptide data: Proteogenomics Viewer: PV: A genome browser-like tool, which includes MS data visualization and peptide identification parameters.",Proteogenomics Viewer,Proteogenomics Viewer,HIGH,No explicit expansion found in title; using short name for both
427,3,Virtual Fly Brain,Virtual Fly Brain - Using OWL to support the mapping and genetic dissection of the &lt;i&gt;Drosophila&lt;/i&gt; brain.,Virtual Fly Brain,Virtual Fly Brain,HIGH,No explicit expansion found in title; using short name for both
428,3,MycoDiversity DataBase,Fungal metabarcoding data integration framework for the MycoDiversity DataBase (MDDB).,MycoDiversity DataBase,MycoDiversity DataBase,HIGH,No explicit expansion found in title; using short name for both
429,3,CapriDB,"A database for reproducible manipulation research: CapriDB - Capture, Print, Innovate.",CapriDB,CapriDB,HIGH,No explicit expansion found in title; using short name for both
430,3,GLOSSary,GLOSSary: the GLobal Ocean 16S subunit web accessible resource.,GLOSSary,GLOSSary,HIGH,No explicit expansion found in title; using short name for both
431,3,ExAC,The ExAC browser: displaying reference data information from over 60 000 exomes.,ExAC,ExAC,HIGH,No explicit expansion found in title; using short name for both
432,3,Atlas of Inflammation Resolution,The Atlas of Inflammation Resolution (AIR).,Atlas of Inflammation Resolution,Atlas of Inflammation Resolution,HIGH,No explicit expansion found in title; using short name for both
433,3,SYNBREED,The SYNBREED chicken diversity panel: a global resource to assess chicken diversity at high genomic resolution.,SYNBREED,SYNBREED,HIGH,No explicit expansion found in title; using short name for both
434,3,Leukemia gene atlas,Leukemia gene atlas--a public platform for integrative exploration of genome-wide molecular data.,Leukemia gene atlas,Leukemia gene atlas,HIGH,No explicit expansion found in title; using short name for both
435,3,Transcriptional Pharmacodynamics Workbench,The NCI Transcriptional Pharmacodynamics Workbench: A Tool to Examine Dynamic Expression Profiling of Therapeutic Response in the NCI-60 Cell Line Panel.,Transcriptional Pharmacodynamics Workbench,Transcriptional Pharmacodynamics Workbench,HIGH,No explicit expansion found in title; using short name for both
436,3,Islet Regulome Browser,The Pancreatic Islet Regulome Browser.,Islet Regulome Browser,Islet Regulome Browser,HIGH,No explicit expansion found in title; using short name for both
437,3,GMO-Matrix,JRC GMO-Matrix: a web application to support Genetically Modified Organisms detection strategies.,GMO-Matrix,GMO-Matrix,HIGH,No explicit expansion found in title; using short name for both
438,3,PLOS,The PLOS ONE synthetic biology collection: six years and counting.,PLOS,PLOS,HIGH,No explicit expansion found in title; using short name for both
439,3,Physiome Model Repository,The Physiome Model Repository 2.,Physiome Model Repository,Physiome Model Repository,HIGH,No explicit expansion found in title; using short name for both
440,3,Drosophila genome nexus,"The Drosophila genome nexus: a population genomic resource of 623 Drosophila melanogaster genomes, including 197 from a single ancestral range population.",Drosophila genome nexus,Drosophila genome nexus,HIGH,No explicit expansion found in title; using short name for both
441,3,Rhoton,The Rhoton Collection.,Rhoton,Rhoton,HIGH,No explicit expansion found in title; using short name for both
442,3,EURL ECVAM,EURL ECVAM Genotoxicity and Carcinogenicity Database of Substances Eliciting Negative Results in the Ames Test: Construction of the Database.,EURL ECVAM,EURL ECVAM,HIGH,No explicit expansion found in title; using short name for both
443,3,eContour,"Development and Usage of <i>eContour</i>, a Novel, Three-Dimensional, Image-Based Web Site to Facilitate Access to Contouring Guidelines at the Point of Care.",eContour,eContour,HIGH,No explicit expansion found in title; using short name for both
444,3,Microbiome Search Engine 2,Microbiome Search Engine 2: a Platform for Taxonomic and Functional Search of Global Microbiomes on the Whole-Microbiome Level.,Microbiome Search Engine 2,Microbiome Search Engine 2,HIGH,No explicit expansion found in title; using short name for both
445,3,org,long-read-tools.org: an interactive catalogue of analysis methods for long-read sequencing data.,org,org,HIGH,No explicit expansion found in title; using short name for both
446,3,Polish Genetic Database,The Polish Genetic Database of Victims of Totalitarianisms.,Polish Genetic Database,Polish Genetic Database,HIGH,No explicit expansion found in title; using short name for both
447,3,Human Brain Mapping Project,"The Cuban Human Brain Mapping Project, a young and middle age population-based EEG, MRI, and cognition dataset.",Human Brain Mapping Project,Human Brain Mapping Project,HIGH,No explicit expansion found in title; using short name for both
448,3,Rice SNP,"Rice SNP-seek database update: new SNPs, indels, and queries.",Rice SNP,Rice SNP,HIGH,No explicit expansion found in title; using short name for both
449,3,NBDC RDF,NBDC RDF portal: a comprehensive repository for semantic data in life sciences.,NBDC RDF,NBDC RDF,HIGH,No explicit expansion found in title; using short name for both
450,3,WeReview,WeReview: CRISPR Tools-Live Repository of Computational Tools for Assisting CRISPR/Cas Experiments.,WeReview,WeReview,HIGH,No explicit expansion found in title; using short name for both
451,3,Proteins API,The Proteins API: accessing key integrated protein and genome information.,Proteins API,Proteins API,HIGH,No explicit expansion found in title; using short name for both
452,3,The COVID-19 Data Portal,COVID19 Drug Repository: text-mining the literature in search of putative COVID19 therapeutics.,The COVID-19 Data Portal,The COVID-19 Data Portal,HIGH,No explicit expansion found in title; using short name for both
453,3,qtlXplorer,qtlXplorer: an online systems genetics browser in the Eucalyptus Genome Integrative Explorer (EucGenIE).,qtlXplorer,qtlXplorer,HIGH,No explicit expansion found in title; using short name for both
454,3,TMalphaDB,TMalphaDB and TMbetaDB: web servers to study the structural role of sequence motifs in α-helix and β-barrel domains of membrane proteins.,TMalphaDB,TMalphaDB,HIGH,No explicit expansion found in title; using short name for both
