pmid,title,primary_entity_short,category,reason
30825368,Aggrescan3D standalone package for structure-based prediction of protein aggregation properties.,a3d,prediction,Prediction/classification method applied to resource data
23815231,WEP: a high-performance analysis pipeline for whole-exome data.,wep,pipeline,Pipeline/workflow tool that uses resources as input
31106372,Yvis: antibody high-density alignment visualization and analysis platform with an integrated database.,yvis,integration,Data integration platform combining multiple resources
32140819,i6mA-Fuse: improved and robust prediction of DNA 6 mA sites in the Rosaceae genome by fusing multiple feature representation.,,prediction,Prediction/classification method applied to resource data
31511901,regBase: whole genome base-wise aggregation and functional prediction for human non-coding regulatory variants.,,prediction,Prediction/classification method applied to resource data
25426929,"ALLocator: an interactive web platform for the analysis of metabolomic LC-ESI-MS datasets, enabling semi-automated, user-revised compound annotation and mass isotopomer ratio analysis.",,platform,Analysis platform that uses resources
31373611,circMeta: a unified computational framework for genomic feature annotation and differential expression analysis of circular RNAs.,,pipeline,Pipeline/workflow tool that uses resources as input
30652574,"TQuest, A Web-Based Platform to Enable Precision Medicine by Linking a Tumor's Genetic Defects to Therapeutic Options.",tquest,web_tool,Web-based tool for analyzing resource data
27706202,PubMedPortable: A Framework for Supporting the Development of Text Mining Applications.,,pipeline,Pipeline/workflow tool that uses resources as input
34020551,TERL: classification of transposable elements by convolutional neural networks.,terl,prediction,Prediction/classification method applied to resource data
23311574,MAPI: a software framework for distributed biomedical applications.,mapi,pipeline,Pipeline/workflow tool that uses resources as input
34944842,Mapping the Melanoma Plasma Proteome (MPP) Using Single-Shot Proteomics Interfaced with the WiMT Database.,wimt,usage,Method that uses an existing database/resource
27153588,Ferret: a user-friendly Java tool to extract data from the 1000 Genomes Project.,ferret,usage,Method that uses an existing database/resource
30416498,PredT4SE-Stack: Prediction of Bacterial Type IV Secreted Effectors From Protein Sequences Using a Stacked Ensemble Method.,,prediction,Prediction/classification method applied to resource data
27071849,Fast and sensitive taxonomic classification for metagenomics with Kaiju.,kaiju,prediction,Prediction/classification method applied to resource data
34108470,R2DT is a framework for predicting and visualising RNA secondary structure using templates.,r2dt,pipeline,Pipeline/workflow tool that uses resources as input
23292636,TargetHunter: an in silico target identification tool for predicting therapeutic potential of small organic molecules based on chemogenomic database.,,usage,Method that uses an existing database/resource
22533540,XCMS Online: a web-based platform to process untargeted metabolomic data.,,web_tool,Web-based tool for analyzing resource data
23800136,MetaPathways: a modular pipeline for constructing pathway/genome databases from environmental sequence information.,,pipeline,Pipeline/workflow tool that uses resources as input
30825371,MetaMarker: a pipeline for de novo discovery of novel metagenomic biomarkers.,,pipeline,Pipeline/workflow tool that uses resources as input
28108657,RIsearch2: suffix array-based large-scale prediction of RNA-RNA interactions and siRNA off-targets.,,prediction,Prediction/classification method applied to resource data
25931457,"Follicle Online: an integrated database of follicle assembly, development and ovulation.",,integration,Data integration platform combining multiple resources
33993206,"ConsRM: collection and large-scale prediction of the evolutionarily conserved RNA methylation sites, with implications for the functional epitranscriptome.",consrm,prediction,Prediction/classification method applied to resource data
22953731,CTen: a web-based platform for identifying enriched cell types from heterogeneous microarray data.,cten,web_tool,Web-based tool for analyzing resource data
28028736,Fast H-DROP: A thirty times accelerated version of H-DROP for interactive SVM-based prediction of helical domain linkers.,rop,prediction,Prediction/classification method applied to resource data
30873536,phylostratr: a framework for phylostratigraphy.,,pipeline,Pipeline/workflow tool that uses resources as input
28904183,"The TB Portals: an Open-Access, Web-Based Platform for Global Drug-Resistant-Tuberculosis Data Sharing and Analysis.",,web_tool,Web-based tool for analyzing resource data
30295728,DIGREM: an integrated web-based platform for detecting effective multi-drug combinations.,digrem,web_tool,Web-based tool for analyzing resource data
34478499,Peptipedia: a user-friendly web application and a comprehensive database for peptide research supported by Machine Learning approach.,,ml,Machine learning method that uses resource data
31366358,HUPAN: a pan-genome analysis pipeline for human genomes.,hupan,pipeline,Pipeline/workflow tool that uses resources as input
23729504,CNVinspector: a web-based tool for the interactive evaluation of copy number variations in single patients and in cohorts.,,web_tool,Web-based tool for analyzing resource data
29718322,CoNekT: an open-source framework for comparative genomic and transcriptomic network analyses.,conekt,pipeline,Pipeline/workflow tool that uses resources as input
30789283,CuMiDa: An Extensively Curated Microarray Database for Benchmarking and Testing of Machine Learning Approaches in Cancer Research.,cumida,ml,Machine learning method that uses resource data
33045361,tRFTar: Prediction of tRF-target gene interactions via systemic re-analysis of Argonaute CLIP-seq datasets.,trftar,prediction,Prediction/classification method applied to resource data
26576653,JSpeciesWS: a web server for prokaryotic species circumscription based on pairwise genome comparison.,,usage,Method that uses an existing database/resource
32692571,DIA-DB: A Database and Web Server for the Prediction of Diabetes Drugs.,dia-db,prediction,Prediction/classification method applied to resource data
33216895,GPCR-PEnDB: a database of protein sequences and derived features to facilitate prediction and classification of G protein-coupled receptors.,,prediction,Prediction/classification method applied to resource data
27288497,RTFBSDB: an integrated framework for transcription factor binding site analysis.,,pipeline,Pipeline/workflow tool that uses resources as input
22545727,T3DB: an integrated database for bacterial type III secretion system.,t3db,integration,Data integration platform combining multiple resources
29942087,Pan4Draft: A Computational Tool to Improve the Accuracy of Pan-Genomic Analysis Using Draft Genomes.,,computational,Computational method applied to resource data
22319563,ECOMICS: a web-based toolkit for investigating the biomolecular web in ecosystems using a trans-omics approach.,ecomics,web_tool,Web-based tool for analyzing resource data
31839973,MGeND: an integrated database for Japanese clinical and genomic information.,mgend,integration,Data integration platform combining multiple resources
28764727,EMQIT: a machine learning approach for energy based PWM matrix quality improvement.,emqit,ml,Machine learning method that uses resource data
27303447,IDAAPM: integrated database of ADMET and adverse effects of predictive modeling based on FDA approved drug data.,idaapm,integration,Data integration platform combining multiple resources
27307005,HLAsupE: an integrated database of HLA supertype-specific epitopes to aid in the development of vaccines with broad coverage of the human population.,,integration,Data integration platform combining multiple resources
33776956,AMRmap: An Interactive Web Platform for Analysis of Antimicrobial Resistance Surveillance Data in Russia.,amrmap,platform,Analysis platform that uses resources
33175089,COVID-KOP: integrating emerging COVID-19 data with the ROBOKOP database.,covid-kop,usage,Method that uses an existing database/resource
26002883,pwOmics: an R package for pathway-based integration of time-series omics data using public database knowledge.,,usage,Method that uses an existing database/resource
25863133,PlantMirnaT: miRNA and mRNA integrated analysis fully utilizing characteristics of plant sequencing data.,,integration,Data integration platform combining multiple resources
29106667,"MicrobiomeDB: a systems biology platform for integrating, mining and analyzing microbiome experiments.",,platform,Analysis platform that uses resources
22576177,CPSS: a computational platform for the analysis of small RNA deep sequencing data.,cpss,platform,Analysis platform that uses resources
34048569,IUPred3: prediction of protein disorder enhanced with unambiguous experimental annotation and visualization of evolutionary conservation.,iupred,prediction,Prediction/classification method applied to resource data
26248465,BioWardrobe: an integrated platform for analysis of epigenomics and transcriptomics data.,,integration,Data integration platform combining multiple resources
28334977,sCLIP-an integrated platform to study RNA-protein interactomes in biomedical research: identification of CSTF2tau in alternative processing of small nuclear RNAs.,sclip,integration,Data integration platform combining multiple resources
33581338,rePROBE: Workflow for Revised Probe Assignment and Updated Probe-set Annotation in Microarrays.,,pipeline,Pipeline/workflow tool that uses resources as input
24037212,CruzDB: software for annotation of genomic intervals with UCSC genome-browser database.,cruzdb,usage,Method that uses an existing database/resource
26571275,"CentiServer: A Comprehensive Resource, Web-Based Application and R Package for Centrality Analysis.",,web_tool,Web-based tool for analyzing resource data
33691770,gapseq: informed prediction of bacterial metabolic pathways and reconstruction of accurate metabolic models.,gapseq,prediction,Prediction/classification method applied to resource data
34388468,ChAlPred: A web server for prediction of allergenicity of chemical compounds.,,prediction,Prediction/classification method applied to resource data
34019646,OmicsAnalyst: a comprehensive web-based platform for visual analytics of multi-omics data.,,web_tool,Web-based tool for analyzing resource data
33576798,OpenContami: a web-based application for detecting microbial contaminants in next-generation sequencing data.,,web_tool,Web-based tool for analyzing resource data
32683454,GeoBoost2: a natural languageprocessing pipeline for GenBank metadata enrichment for virus phylogeography.,,pipeline,Pipeline/workflow tool that uses resources as input
30445432,gmRAD: an integrated SNP calling pipeline for genetic mapping with RADseq across a hybrid population.,gmrad,pipeline,Pipeline/workflow tool that uses resources as input
24573480,Prediction of intrinsic disorder in proteins using MFDp2.,mfdp2,prediction,Prediction/classification method applied to resource data
25316677,SNPsnap: a Web-based tool for identification and annotation of matched SNPs.,,web_tool,Web-based tool for analyzing resource data
26490503,Web-based Gene Pathogenicity Analysis (WGPA): a web platform to interpret gene pathogenicity from personal genome data.,wgpa,usage,Method that uses an existing database/resource
26139635,LDlink: a web-based application for exploring population-specific haplotype structure and linking correlated alleles of possible functional variants.,ldlink,web_tool,Web-based tool for analyzing resource data
25294921,FungiFun2: a comprehensive online resource for systematic analysis of gene lists from fungal species.,,systematic,Systematic analysis using resource data
28004786,GPS-PAIL: prediction of lysine acetyltransferase-specific modification sites from protein sequences.,gps-pail,prediction,Prediction/classification method applied to resource data
30562930,miRNAmotif-A Tool for the Prediction of Pre-miRNA⁻Protein Interactions.,,prediction,Prediction/classification method applied to resource data
32600310,NASQAR: a web-based platform for high-throughput sequencing data analysis and visualization.,nasqar,web_tool,Web-based tool for analyzing resource data
32638008,ProVision: a web-based platform for rapid analysis of proteomics data processed by MaxQuant.,,web_tool,Web-based tool for analyzing resource data
29562347,"GraftM: a tool for scalable, phylogenetically informed classification of genes within metagenomes.",graftm,prediction,Prediction/classification method applied to resource data
22893372,omniBiomarker: A Web-Based Application for Knowledge-Driven Biomarker Identification.,,web_tool,Web-based tool for analyzing resource data
27907142,IBiSA_Tools: A Computational Toolkit for Ion-Binding State Analysis in Molecular Dynamics Trajectories of Ion Channels.,,computational,Computational method applied to resource data
33067876,HDAC3i-Finder: A Machine Learning-based Computational Tool to Screen for HDAC3 Inhibitors.,,computational,Computational method applied to resource data
28873253,"TomExpress, a unified tomato RNA-Seq platform for visualization of expression data, clustering and correlation networks.",,platform,Analysis platform that uses resources
27577860,3D-Lab: a collaborative web-based platform for molecular modeling.,3d-lab,web_tool,Web-based tool for analyzing resource data
21636893,X-CHIP: an integrated platform for high-throughput protein crystallization and on-the-chip X-ray diffraction data collection.,x-chip,integration,Data integration platform combining multiple resources
26333163,Classification of Amino Acid Substitutions in Mismatch Repair Proteins Using PON-MMR2.,pon-mmr2,prediction,Prediction/classification method applied to resource data
"22684505, 25969450","IMP: a multi-species functional genomics portal for integration, visualization and prediction of protein functions and networks.",imp,prediction,Prediction/classification method applied to resource data
23661305,NanoPad: an integrated platform for bacterial production of camel nanobodies aimed at detecting environmental biomarkers.,,integration,Data integration platform combining multiple resources
23896518,PepBind: a comprehensive database and computational tool for analysis of protein-peptide interactions.,,computational,Computational method applied to resource data
24330401,iMir: an integrated pipeline for high-throughput analysis of small non-coding RNA data obtained by smallRNA-Seq.,imir,pipeline,Pipeline/workflow tool that uses resources as input
21777475,GPS-Prot: a web-based visualization platform for integrating host-pathogen interaction data.,,platform,Analysis platform that uses resources
31513641,uORF-Tools-Workflow for the determination of translation-regulatory upstream open reading frames.,,pipeline,Pipeline/workflow tool that uses resources as input
32743661,Gliome database: a comprehensive web-based tool to access and analyze glia secretome data.,gliome,web_tool,Web-based tool for analyzing resource data
31510921,CytoConverter: a web-based tool to convert karyotypes to genomic coordinates.,,web_tool,Web-based tool for analyzing resource data
34208327,"Deep-Framework: A Distributed, Scalable, and Edge-Oriented Framework for Real-Time Analysis of Video Streams.",,pipeline,Pipeline/workflow tool that uses resources as input
32399567,FastTargetPred: a program enabling the fast prediction of putative protein targets for input chemical databases.,,prediction,Prediction/classification method applied to resource data
22335941,BLANNOTATOR: enhanced homology-based function prediction of bacterial proteins.,blannotator,prediction,Prediction/classification method applied to resource data
30864317,PLATYPUS: A Multiple-View Learning Predictive Framework for Cancer Drug Sensitivity Prediction.,platypus,pipeline,Pipeline/workflow tool that uses resources as input
23761453,The FunFOLD2 server for the prediction of protein-ligand interactions.,,prediction,Prediction/classification method applied to resource data
29688376,GEOMetaCuration: a web-based application for accurate manual curation of Gene Expression Omnibus metadata.,,web_tool,Web-based tool for analyzing resource data
32427338,RiboToolkit: an integrated platform for analysis and annotation of ribosome profiling data to decode mRNA translation at codon resolution.,,integration,Data integration platform combining multiple resources
33856212,DiagnoTop: A Computational Pipeline for Discriminating Bacterial Pathogens without Database Search.,,pipeline,Pipeline/workflow tool that uses resources as input
32226594,NanoSolveIT Project: Driving nanoinformatics research to develop innovative and integrated tools for <i>in silico</i> nanosafety assessment.,,integration,Data integration platform combining multiple resources
28187412,Omics Fusion - A Platform for Integrative Analysis of Omics Data.,,platform,Analysis platform that uses resources
32117417,NG-Tax 2.0: A Semantic Framework for High-Throughput Amplicon Analysis.,ng-tax,pipeline,Pipeline/workflow tool that uses resources as input
21421552,SplamiR--prediction of spliced miRNAs in plants.,,prediction,Prediction/classification method applied to resource data
34384353,Comprior: facilitating the implementation and automated benchmarking of prior knowledge-based feature selection approaches on gene expression data sets.,,benchmark,Benchmarking study evaluating resource performance
30382842,ISU FLUture: a veterinary diagnostic laboratory web-based platform to monitor the temporal genetic patterns of Influenza A virus in swine.,,web_tool,Web-based tool for analyzing resource data
30717659,BioReader: a text mining tool for performing classification of biomedical literature.,,prediction,Prediction/classification method applied to resource data
28807046,A comprehensive evaluation of the sl1p pipeline for 16S rRNA gene sequencing analysis.,sl1p,pipeline,Pipeline/workflow tool that uses resources as input
27910954,Mal-Lys: prediction of lysine malonylation sites in proteins integrated sequence-based features with mRMR feature selection.,,prediction,Prediction/classification method applied to resource data
22689388,synbreed: a framework for the analysis of genomic prediction data using R.,,pipeline,Pipeline/workflow tool that uses resources as input
31116383,C-InterSecture-a computational tool for interspecies comparison of genome architecture.,,computational,Computational method applied to resource data
28921375,Convex-PL: a novel knowledge-based potential for protein-ligand interactions deduced from structural databases using convex optimization.,,usage,Method that uses an existing database/resource
31929521,VAMPr: VAriant Mapping and Prediction of antibiotic resistance via explainable features and machine learning.,vampr,prediction,Prediction/classification method applied to resource data
24771560,WebProtégé: a collaborative Web-based platform for editing biomedical ontologies.,,web_tool,Web-based tool for analyzing resource data
33335023,CanRisk Tool-A Web Interface for the Prediction of Breast and Ovarian Cancer Risk and the Likelihood of Carrying Genetic Pathogenic Variants.,,prediction,Prediction/classification method applied to resource data
30993345,WHISTLE: a high-accuracy map of the human N6-methyladenosine (m6A) epitranscriptome predicted using a machine learning approach.,whistle,ml,Machine learning method that uses resource data
28719658,OptisampleTM: Open web-based application to optimize sampling strategies for active surveillance activities at the herd level illustrated using Porcine Respiratory Reproductive Syndrome (PRRS).,,web_tool,Web-based tool for analyzing resource data
34037798,CPA: a web-based platform for consensus pathway analysis and interactive visualization.,cpa,web_tool,Web-based tool for analyzing resource data
33972022,RiPPMiner-Genome: A Web Resource for Automated Prediction of Crosslinked Chemical Structures of RiPPs by Genome Mining.,,prediction,Prediction/classification method applied to resource data
21586583,Taxonomic classification of metagenomic shotgun sequences with CARMA3.,carma3,prediction,Prediction/classification method applied to resource data
33027502,LipidFinder 2.0: advanced informatics pipeline for lipidomics discovery applications.,,pipeline,Pipeline/workflow tool that uses resources as input
28975713,PepSweetener: A Web-Based Tool to Support Manual Annotation of Intact Glycopeptide MS Spectra.,,web_tool,Web-based tool for analyzing resource data
31856718,Knowledge Base Commons (KBCommons) v1.1: a universal framework for multi-omics data integration and biological discoveries.,,pipeline,Pipeline/workflow tool that uses resources as input
32756566,A high-throughput imaging and quantification pipeline for the EVOS imaging platform.,evos,pipeline,Pipeline/workflow tool that uses resources as input
25319962,GeneNet Toolbox for MATLAB: a flexible platform for the analysis of gene connectivity in biological networks.,,platform,Analysis platform that uses resources
"23424620, 24136997",Improving microbial genome annotations in an integrated database context.,img,integration,Data integration platform combining multiple resources
28155670,ESAP plus: a web-based server for EST-SSR marker development.,esap,web_tool,Web-based tool for analyzing resource data
27061206,Exploring novel candidate genes from the Mouse Genome Informatics database: Potential implications for avian migration research.,,usage,Method that uses an existing database/resource
28561835,vhfRNAi: a web-platform for analysis of host genes involved in viral infections discovered by genome wide RNAi screens.,,platform,Analysis platform that uses resources
27013077,HNdb: an integrated database of gene and protein information on head and neck squamous cell carcinoma.,hndb,integration,Data integration platform combining multiple resources
31529041,PPNID: a reference database and molecular identification pipeline for plant-parasitic nematodes.,ppnid,pipeline,Pipeline/workflow tool that uses resources as input
23930810,NGSPE: A pipeline for end-to-end analysis of DNA sequencing data and comparison between different platforms.,ngspe,pipeline,Pipeline/workflow tool that uses resources as input
24799431,PredictProtein--an open resource for online prediction of protein structural and functional features.,,prediction,Prediction/classification method applied to resource data
26981382,LmSmdB: an integrated database for metabolic and gene regulatory network in Leishmania major and Schistosoma mansoni.,lmsmdb,integration,Data integration platform combining multiple resources
"28525607, 33835435",RNA-MoIP: prediction of RNA secondary structure and local 3D motifs from sequence data.,,prediction,Prediction/classification method applied to resource data
30306900,Enhancing Nationwide Medico-Administrative Databases Analysis with SAF4SUHAD: A Statistical Analysis Framework for Secondary Use of Healthcare Administrative Databases.,saf4suhad,pipeline,Pipeline/workflow tool that uses resources as input
30670918,HEATSTER: A Database and Web Server for Identification and Classification of Heat Stress Transcription Factors in Plants.,heatster,prediction,Prediction/classification method applied to resource data
29209195,The Patient Repository for EEG Data + Computational Tools (PRED+CT).,pred+ct,computational,Computational method applied to resource data
25029978,"RD-Connect: an integrated platform connecting databases, registries, biobanks and clinical bioinformatics for rare disease research.",,integration,Data integration platform combining multiple resources
30419809,WebNetCoffee: a web-based application to identify functionally conserved proteins from Multiple PPI networks.,,web_tool,Web-based tool for analyzing resource data
24453961,PredictSNP: robust and accurate consensus classifier for prediction of disease-related mutations.,,prediction,Prediction/classification method applied to resource data
33239857,vcfView: An Extensible Data Visualization and Quality Assurance Platform for Integrated Somatic Variant Analysis.,,platform,Analysis platform that uses resources
27284060,InteractoMIX: a suite of computational tools to exploit interactomes in biological and clinical research.,,computational,Computational method applied to resource data
29092947,"An Image Analysis Resource for Cancer Research: PIIP-Pathology Image Informatics Platform for Visualization, Analysis, and Management.",piip,platform,Analysis platform that uses resources
22689387,SAAP-RRBS: streamlined analysis and annotation pipeline for reduced representation bisulfite sequencing.,saap-rrbs,pipeline,Pipeline/workflow tool that uses resources as input
22583976,miRFANs: an integrated database for Arabidopsis thaliana microRNA function annotations.,,integration,Data integration platform combining multiple resources
21324190,Meta-analysis of muscle transcriptome data using the MADMuscle database reveals biologically relevant gene patterns.,,meta_analysis,Meta-analysis study using multiple resources
23812847,HERMES: towards an integrated toolbox to characterize functional and effective brain connectivity.,hermes,integration,Data integration platform combining multiple resources
23740741,DIGEP-Pred: web service for in silico prediction of drug-induced gene expression profiles based on structural formula.,,prediction,Prediction/classification method applied to resource data
34478489,FORUM: building a Knowledge Graph from public databases and scientific literature to extract associations between chemicals and diseases.,forum,usage,Method that uses an existing database/resource
31539030,TASUKE+: a web-based platform for exploring genome-wide association studies results and large-scale resequencing data.,tasuke,web_tool,Web-based tool for analyzing resource data
27153674,PhamDB: a web-based application for building Phamerator databases.,phamdb,web_tool,Web-based tool for analyzing resource data
34352070,NetControl4BioMed: a web-based platform for controllability analysis of protein-protein interaction networks.,,web_tool,Web-based tool for analyzing resource data
23720488,"COPRED: prediction of fold, GO molecular function and functional residues at the domain level.",copred,prediction,Prediction/classification method applied to resource data
30066633,NetControl4BioMed: a pipeline for biomedical data acquisition and analysis of network controllability.,,pipeline,Pipeline/workflow tool that uses resources as input
30953525,GNE: a deep learning framework for gene network inference by aggregating biological information.,gne,pipeline,Pipeline/workflow tool that uses resources as input
29186333,"FUn: a framework for interactive visualizations of large, high-dimensional datasets on the web.",fun,pipeline,Pipeline/workflow tool that uses resources as input
24993579,Polar profile of antiviral peptides from AVPpred Database.,,usage,Method that uses an existing database/resource
33833745,Forensic Microbiome Database: A Tool for Forensic Geolocation Meta-Analysis Using Publicly Available 16S rRNA Microbiome Sequencing.,,meta_analysis,Meta-analysis study using multiple resources
25220945,nuMap: a web platform for accurate prediction of nucleosome positioning.,numap,prediction,Prediction/classification method applied to resource data
34706638,ANAT 3.0: a framework for elucidating functional protein subnetworks using graph-theoretic and machine learning approaches.,anat,pipeline,Pipeline/workflow tool that uses resources as input
27904975,RayPlus: a Web-Based Platform for Medical Image Processing.,,web_tool,Web-based tool for analyzing resource data
31885041,DTI-CDF: a cascade deep forest model towards the prediction of drug-target interactions based on hybrid features.,dti-cdf,prediction,Prediction/classification method applied to resource data
22070195,"PESCADOR, a web-based tool to assist text-mining of biointeractions extracted from PubMed queries.",pescador,web_tool,Web-based tool for analyzing resource data
29579071,HMMER Cut-off Threshold Tool (HMMERCTTER): Supervised classification of superfamily protein sequences with a reliable cut-off threshold.,hmmerctter,prediction,Prediction/classification method applied to resource data
31778148,Struo: a pipeline for building custom databases for common metagenome profilers.,struo,pipeline,Pipeline/workflow tool that uses resources as input
33909569,PAN: Personalized Annotation-Based Networks for the Prediction of Breast Cancer Relapse.,pan,prediction,Prediction/classification method applied to resource data
22199388,Artemis: an integrated platform for visualization and analysis of high-throughput sequence-based experimental data.,,integration,Data integration platform combining multiple resources
29036289,VICTOR: genome-based phylogeny and classification of prokaryotic viruses.,victor,prediction,Prediction/classification method applied to resource data
28505334,DIRECTION: a machine learning framework for predicting and characterizing DNA methylation and hydroxymethylation in mammalian genomes.,direction,pipeline,Pipeline/workflow tool that uses resources as input
32375409,EffHunter: A Tool for Prediction of Effector Protein Candidates in Fungal Proteomic Databases.,,prediction,Prediction/classification method applied to resource data
24573880,TSLP signaling pathway map: a platform for analysis of TSLP-mediated signaling.,tslp,platform,Analysis platform that uses resources
27153664,Combenefit: an interactive platform for the analysis and visualization of drug combinations.,,platform,Analysis platform that uses resources
33904719,Cheetah: A Computational Toolkit for Cybergenetic Control.,,computational,Computational method applied to resource data
22768229,MetaboSearch: tool for mass-based metabolite identification using multiple databases.,,usage,Method that uses an existing database/resource
29037173,"TaxMapper: an analysis tool, reference database and workflow for metatranscriptome analysis of eukaryotic microorganisms.",,pipeline,Pipeline/workflow tool that uses resources as input
21635747,"ngs_backbone: a pipeline for read cleaning, mapping and SNP calling using next generation sequence.",,pipeline,Pipeline/workflow tool that uses resources as input
25701574,Annocript: a flexible pipeline for the annotation of transcriptomes able to identify putative long noncoding RNAs.,,pipeline,Pipeline/workflow tool that uses resources as input
22693437,"Exploring massive, genome scale datasets with the GenometriCorr package.",,usage,Method that uses an existing database/resource
29344888,Perseus: A Bioinformatics Platform for Integrative Analysis of Proteomics Data in Cancer Research.,,platform,Analysis platform that uses resources
33320180,Novel methods included in SpolLineages tool for fast and precise prediction of Mycobacterium tuberculosis complex spoligotype families.,,prediction,Prediction/classification method applied to resource data
32241255,EpiMOLAS: an intuitive web-based framework for genome-wide DNA methylation analysis.,,pipeline,Pipeline/workflow tool that uses resources as input
32871007,SARS2020: an integrated platform for identification of novel coronavirus by a consensus sequence-function model.,sars2020,integration,Data integration platform combining multiple resources
30963208,Mapping the diversity of microbial lignin catabolism: experiences from the eLignin database.,,usage,Method that uses an existing database/resource
33227814,GP4: an integrated Gram-Positive Protein Prediction Pipeline for subcellular localization mimicking bacterial sorting.,gp4,pipeline,Pipeline/workflow tool that uses resources as input
31219564,"AmyloWiki: an integrated database for Bacillus velezensis FZB42, the model strain for plant growth-promoting Bacilli.",,integration,Data integration platform combining multiple resources
27384127,aMAP is a validated pipeline for registration and segmentation of high-resolution mouse brain data.,amap,pipeline,Pipeline/workflow tool that uses resources as input
30219839,Drug Target Commons 2.0: a community platform for systematic analysis of drug-target interaction profiles.,,systematic,Systematic analysis using resource data
22555647,AMS 4.0: consensus prediction of post-translational modifications in protein sequences.,ams,prediction,Prediction/classification method applied to resource data
32155235,Modeling Infectious Diseases in Healthcare Network (MInD-Healthcare) Framework for Describing and Reporting Multidrug-resistant Organism and Healthcare-Associated Infections Agent-based Modeling Methods.,,pipeline,Pipeline/workflow tool that uses resources as input
28476106,Geminivirus data warehouse: a database enriched with machine learning approaches.,,ml,Machine learning method that uses resource data
24475928,geneCommittee: a web-based tool for extensively testing the discriminatory power of biologically relevant gene sets in microarray data classification.,,web_tool,Web-based tool for analyzing resource data
32463383,Fungal metabarcoding data integration framework for the MycoDiversity DataBase (MDDB).,,pipeline,Pipeline/workflow tool that uses resources as input
21775309,coMOTIF: a mixture framework for identifying transcription factor and a coregulator motif in ChIP-seq data.,,pipeline,Pipeline/workflow tool that uses resources as input
34641400,"MetaClass, a Comprehensive Classification System for Predicting the Occurrence of Metabolic Reactions Based on the MetaQSAR Database.",,usage,Method that uses an existing database/resource
22720055,Leukemia gene atlas--a public platform for integrative exploration of genome-wide molecular data.,,platform,Analysis platform that uses resources
25495537,solGS: a web-based tool for genomic selection.,solgs,web_tool,Web-based tool for analyzing resource data
33926379,GPrimer: a fast GPU-based pipeline for primer design for qPCR experiments.,,pipeline,Pipeline/workflow tool that uses resources as input
30059974,DiscoverSL: an R package for multi-omic data driven prediction of synthetic lethality in cancers.,,prediction,Prediction/classification method applied to resource data
25512690,SNPAAMapperT2K: A genome-wide SNP downstream analysis and annotation pipeline for species annotated with NCBI.tbl data files.,,pipeline,Pipeline/workflow tool that uses resources as input
30165587,RepeatCraft: a meta-pipeline for repetitive element de-fragmentation and annotation.,,pipeline,Pipeline/workflow tool that uses resources as input
32726559,"Xcellerate Investigator Portal: A New Web-Based Tool for Online Delivery of Central Laboratory Data, Reports, and Communications to Clinical Sites.",,web_tool,Web-based tool for analyzing resource data
31060512,BacTag - a pipeline for fast and accurate gene and allele typing in bacterial sequencing data based on database preprocessing.,,pipeline,Pipeline/workflow tool that uses resources as input
32034905,HAMAP as SPARQL rules-A portable annotation pipeline for genomes and proteomes.,hamap,pipeline,Pipeline/workflow tool that uses resources as input
23978768,Community-analyzer: a platform for visualizing and comparing microbial community structure across microbiomes.,,platform,Analysis platform that uses resources
25270639,BioVLAB-MMIA-NGS: microRNA-mRNA integrated analysis using high-throughput sequencing data.,,integration,Data integration platform combining multiple resources
33072049,T4SE-XGB: Interpretable Sequence-Based Prediction of Type IV Secreted Effectors Using eXtreme Gradient Boosting Algorithm.,se-xgb,prediction,Prediction/classification method applied to resource data
30216353,Improving classification of pollen grain images of the POLEN23E dataset through three different applications of deep learning convolutional neural networks.,polen23e,prediction,Prediction/classification method applied to resource data
31349743,WeReview: CRISPR Tools-Live Repository of Computational Tools for Assisting CRISPR/Cas Experiments.,,computational,Computational method applied to resource data
32401021,GalaxySagittarius: Structure- and Similarity-Based Prediction of Protein Targets for Druglike Compounds.,,prediction,Prediction/classification method applied to resource data
34086933,catRAPID omics v2.0: going deeper and wider in the prediction of protein-RNA interactions.,,prediction,Prediction/classification method applied to resource data
22437851,MDWeb and MDMoby: an integrated web-based platform for molecular dynamics simulations.,mdmoby,web_tool,Web-based tool for analyzing resource data
28902397,Using SQL Databases for Sequence Similarity Searching and Analysis.,search,usage,Method that uses an existing database/resource
27153579,ARGs-OAP: online analysis pipeline for antibiotic resistance genes detection from metagenomic data using an integrated structured ARG-database.,oap,pipeline,Pipeline/workflow tool that uses resources as input
33784300,Orchestrating privacy-protected big data analyses of data from different resources with R and DataSHIELD.,,usage,Method that uses an existing database/resource
27301453,ProInflam: a webserver for the prediction of proinflammatory antigenicity of peptides and proteins.,,prediction,Prediction/classification method applied to resource data
24532370,Cystic fibrosis database (CFDB): a new web-based tool for cystic fibrosis specialists.,cfdb,web_tool,Web-based tool for analyzing resource data
29220456,RampDB: a web application and database for the exploration and prediction of receptor activity modifying protein interactions.,rampdb,prediction,Prediction/classification method applied to resource data
22638580,AVPpred: collection and prediction of highly effective antiviral peptides.,,prediction,Prediction/classification method applied to resource data
23196990,PLI: a web-based tool for the comparison of protein-ligand interactions observed on PDB structures.,pli,web_tool,Web-based tool for analyzing resource data
29688361,"TransAtlasDB: an integrated database connecting expression data, metadata and variants.",,integration,Data integration platform combining multiple resources
