pmid,title,entity,false_positive_reason,pattern_categories,num_patterns
30959271,Discovery of perturbation gene targets via free text metadata mining in Gene Expression Omnibus.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
29220449,RegulatorDB: a resource for the analysis of yeast transcriptional regulation.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
23481679,The CHROMEVALOA database: a resource for the evaluation of Okadaic Acid contamination in the marine environment based on the chromatin-associated transcriptome of the mussel Mytilus galloprovincialis.,chromevaloa,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
29360930,"ADEPTUS: a discovery tool for disease prediction, enrichment and network analysis based on profiles from many diseases.",deptus,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
31623304,"IoMT Platform for Pervasive Healthcare Data Aggregation, Processing, and Sharing Based on OneM2M and OpenEHR.",iomt,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
31233141,Interactive exploration of heterogeneous biological networks with Biomine Explorer.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
28446463,The National Cancer Institute ALMANAC: A Comprehensive Screening Resource for the Detection of Anticancer Drug Pairs with Enhanced Therapeutic Activity.,almanac,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
21480662,GlycoFly: a database of Drosophila N-linked glycoproteins identified using SPEG--MS techniques.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
28972978,EWET: Data collection and interface for the genetic analysis of Echinococcus multilocularis based on EmsB microsatellite.,ewet,Focuses on analysis/study using data from resource; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"analysis_study, based_approach",2
21609966,Data mining using the Catalogue of Somatic Mutations in Cancer BioMart.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
30165579,Large-scale comparative analysis of microbial pan-genomes using PanOCT.,panoct,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
24643548,Galaxy as a platform for identifying candidate pathogen effectors.,galaxy,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
25572717,Pantograph: A template-based method for genome-scale metabolic model reconstruction.,,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
25127889,SPARQLGraph: a web-based platform for graphically querying biological Semantic Web databases.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
24348509,"Blobology: exploring raw genome data for contaminants, symbionts and parasites using taxon-annotated GC-coverage plots.",,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
25407802,Using phylogenetically-informed annotation (PIA) to search for light-interacting genes in transcriptomes from non-model organisms.,h,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
29410200,A web platform for the network analysis of high-throughput data in melanoma and its use to investigate mechanisms of resistance to anti-PD1 immunotherapy.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
34514504,Contraceptive and Infertility Target DataBase: a contraceptive drug development tool for targeting and analysis of human reproductive specific tissues†.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
32628719,OSS-DBS: Open-source simulation platform for deep brain stimulation with a comprehensive automated modeling.,oss-dbs,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
22217156,BuildSummary: using a group-based approach to improve the sensitivity of peptide/protein identification in shotgun proteomics.,,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"using_with, based_approach",2
25534952,"NMR spectroscopic search module for Spektraris, an online resource for plant natural product identification--Taxane diterpenoids from Taxus × media cell suspension cultures as a case study.",,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
21217121,R/mpMap: a computational platform for the genetic analysis of multiparent recombinant inbred lines.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
22923294,The GlycomeAtlas tool for visualizing and querying glycome data.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31649739,CircCode: A Powerful Tool for Identifying circRNA Coding Ability.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
"28988138, 29195008",MouseTox: An online toxicity assessment tool for small molecules through Enalos Cloud platform.,enalos,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
29092945,"The Digital Slide Archive: A Software Platform for Management, Integration, and Analysis of Histology for Cancer Research.",,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
26956673,CoeViz: a web-based tool for coevolution analysis of protein residues.,coeviz,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
30219839,Drug Target Commons 2.0: a community platform for systematic analysis of drug-target interaction profiles.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
23842809,nhmmer: DNA homology search with profile HMMs.,nhmmer,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
29782006,Neurovascular Network Explorer 2.0: A Simple Tool for Exploring and Sharing a Database of Optogenetically-evoked Vasomotion in Mouse Cortex In Vivo.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
34885724,SugarDrawer: A Web-Based Database Search Tool with Editing Glycan Structures.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
33072049,T4SE-XGB: Interpretable Sequence-Based Prediction of Type IV Secreted Effectors Using eXtreme Gradient Boosting Algorithm.,se-xgb,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"using_with, based_approach",2
32155140,Hybrid Automata Library: A flexible platform for hybrid modeling with real-time visualization.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
34364002,An angiosperm NLR Atlas reveals that NLR gene reduction is associated with ecological specialization and signal transduction component deletion.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
22720055,Leukemia gene atlas--a public platform for integrative exploration of genome-wide molecular data.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
32651388,Searching large-scale scRNA-seq databases via unbiased cell embedding with Cell BLAST.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
26624790,SpinCouple: Development of a Web Tool for Analyzing Metabolite Mixtures via Two-Dimensional J-Resolved NMR Database.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
22730434,gSearch: a fast and flexible general search tool for whole-genome sequencing.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
28451968,GHOSTX: A Fast Sequence Homology Search Tool for Functional Annotation of Metagenomic Data.,ghostx,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
33468706,Microbiome Search Engine 2: a Platform for Taxonomic and Functional Search of Global Microbiomes on the Whole-Microbiome Level.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
22588877,The cBio cancer genomics portal: an open platform for exploring multidimensional cancer genomics data.,cbio,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
25270639,BioVLAB-MMIA-NGS: microRNA-mRNA integrated analysis using high-throughput sequencing data.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
26258816,Mining for Murder-Suicide: An Approach to Identifying Cases of Murder-Suicide in the National Violent Death Reporting System Restricted Access Database.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"reveals_identifies, mining_data",2
26224020,A peptide resource for the analysis of Staphylococcus aureus in host-pathogen interaction studies.,s,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
31452088,Bolt: a New Age Peptide Search Engine for Comprehensive MS/MS Sequencing Through Vast Protein Databases in Minutes.,bolt,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
31270326,Energy refinement and analysis of structures in the QM9 database via a highly accurate quantum chemical method.,qm9,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
33315308,Protein Sequence Analysis Using the MPI Bioinformatics Toolkit.,mpi,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
23427990,"Motif discovery with data mining in 3D protein structure databases: discovery, validation and prediction of the U-shape zinc binding (""Huf-Zinc"") motif.",,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
29850891,"Motif scraper: a cross-platform, open-source tool for identifying degenerate nucleotide motif matches in FASTA files.",,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
32209622,"Severe Asthma Toolkit: an online resource for multidisciplinary health professionals-needs assessment, development process and user analytics with survey feedback.",,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
25316676,Novel function discovery with GeneMANIA: a new integrated resource for gene function prediction in Escherichia coli.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
32570509,Text-Mining Services of the Swiss Variant Interpretation Platform for Oncology.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23174036,Core Hunter II: fast core subset selection based on multiple genetic diversity measures using Mixed Replica search.,,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"using_with, based_approach",2
21749710,Algal Functional Annotation Tool: a web-based analysis suite to functionally interpret large gene lists using integrated annotation and expression data.,,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"using_with, based_approach",2
31290936,MemBlob database and server for identifying transmembrane regions using cryo-EM maps.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
24325762,Molecule database framework: a framework for creating database applications with chemical structure search capability.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
26867747,Using the CPTAC Assay Portal to Identify and Implement Highly Characterized Targeted Proteomics Assays.,ptac,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
27795739,The Open Spectral Database: an open platform for sharing and searching spectral data.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
30566623,"Interactive visual analysis of drug-target interaction networks using Drug Target Profiler, with applications to precision medicine and drug repurposing.",,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
22355226,A protein short motif search tool using amino acid sequence and their secondary structure assignment.,motif,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
23327565,Mining collections of compounds with Screening Assistant 2.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
21450716,A novel network-based method for measuring the functional relationship between gene sets.,c,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
32869137,Automating creativity assessment with SemDis: An open platform for computing semantic distance.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
27401965,New BAR tools for mining expression data and exploring Cis-elements in Arabidopsis thaliana.,bar,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
27993519,Quo vadis G protein-coupled receptor ligands? A tool for analysis of the emergence of new groups of compounds over time.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
34260132,BnTIR: an online transcriptome platform for exploring RNA-seq libraries for oil crop Brassica napus.,bntir,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
34783225,Tartary buckwheat database (TBD): an integrative platform for gene analysis of and biological information on Tartary buckwheat.,tbd,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
31416858,"gndDb, a Database of Partial <i>gnd</i> Sequences To Assist with Analysis of Escherichia coli Communities Using High-Throughput Sequencing.",gnddb,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
26475472,A space-time analysis of the WikiLeaks Afghan War Diary: a resource for analyzing the conflict-health nexus.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
28053117,GB3.0: a platform for plant bio-design that connects functional DNA elements with associated biological data.,gb3,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
21834535,Identifying compound-target associations by combining bioactivity profile similarity search and public databases mining.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"reveals_identifies, mining_data",2
23619973,Models with discrete latent variables for analysis of categorical data: a framework and a MATLAB MDLV toolbox.,mdlv,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
22144199,MicroRNA expression analysis using the Illumina microRNA-Seq Platform.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
34037777,Preselector.uni-jena.de: optimize your cloning-a resource for identifying restriction enzymes for preselection reactions.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
34389730,"The World Checklist of Vascular Plants, a continuously updated resource for exploring global plant diversity.",,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23218953,A curated public database for multilocus sequence typing (MLST) and analysis of Haemophilus parasuis based on an optimized typing scheme.,mlst,Focuses on analysis/study using data from resource; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"analysis_study, based_approach",2
26415723,ScreenBEAM: a novel meta-analysis algorithm for functional genomics screens via Bayesian hierarchical modeling.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
21926122,MapReduce implementation of a hybrid spectral library-database search method for large-scale peptide identification.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23918250,Scaffold network generator: a tool for mining molecular structures.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
28973466,"Genome contact map explorer: a platform for the comparison, interactive visualization and analysis of genome contact maps.",,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
25935118,Gene network coherence based on prior knowledge using direct and indirect relationships.,g,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"using_with, based_approach",2
24792048,A protocol for visual analysis of alternative splicing in RNA-Seq data using integrated genome browser.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
33438699,Microliter ultrafast centrifuge platform for size-based particle and cell separation and extraction using novel omnidirectional spiral surface acoustic waves.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
31917401,contamDE-lm: linear model-based differential gene expression analysis using next-generation RNA-seq data from contaminated tumor samples.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
33592504,TAP 1.0: A robust immunoinformatic tool for the prediction of tumor T-cell antigens based on AAindex properties.,tap 1,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
25826379,UK biobank: an open access resource for identifying the causes of a wide range of complex diseases of middle and old age.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
26473729,Gene-Set Local Hierarchical Clustering (GSLHC)--A Gene Set-Based Approach for Characterizing Bioactive Compounds in Terms of Biological Functional Groups.,gslhc,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
22464351,A platform for dynamic simulation and control of movement based on OpenSim and MATLAB.,,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
30066656,Query-constraint-based mining of association rules for exploratory analysis of clinical datasets in the National Sleep Research Resource.,,Focuses on analysis/study using data from resource; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"analysis_study, mining_data",2
29297283,R3D-BLAST2: an improved search tool for similar RNA 3D substructures.,r3d,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31504171,New insights on human essential genes based on integrated analysis and the construction of the HEGIAP web-based platform.,hegiap,Focuses on analysis/study using data from resource; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"analysis_study, based_approach",2
23751181,Using Genome Query Language to uncover genetic variation.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
31212742,Systematic Analysis of a Military Wearable Device Based on a Multi-Level Fusion Framework: Research Directions.,,Focuses on analysis/study using data from resource; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"analysis_study, based_approach",2
34213323,pdCSM-cancer: Using Graph-Based Signatures to Identify Small Molecules with Anticancer Properties.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
33750297,Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
22369237,INDUS - a composition-based approach for rapid and accurate taxonomic classification of metagenomic sequences.,indus,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
23330685,BioSM: metabolomics tool for identifying endogenous mammalian biochemical structures in chemical structure space.,biosm,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
31790389,CDSeq: A novel complete deconvolution method for dissecting heterogeneous samples using gene expression data.,cdseq,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
28542466,ToNER: A tool for identifying nucleotide enrichment signals in feature-enriched RNA-seq data.,toner,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
26784691,iMet-Q: A User-Friendly Tool for Label-Free Metabolomics Quantitation Using Dynamic Peak-Width Determination.,imet-q,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
33335686,ProdMX: Rapid query and analysis of protein functional domain based on compressed sparse matrices.,prodmx,Focuses on analysis/study using data from resource; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"analysis_study, based_approach",2
26671801,BMExpert: Mining MEDLINE for Finding Experts in Biomedical Domains Based on Language Model.,,Describes method/approach based on resource data; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"based_approach, mining_data",2
24503543,DRUGSURV: a resource for repositioning of approved and experimental drugs in oncology based on patient survival information.,drugsurv,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
32449936,CVCDAP: an integrated platform for molecular and clinical analysis of cancer virtual cohorts.,cvcdap,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
29237557,eRepo-ORP: Exploring the Opportunity Space to Combat Orphan Diseases with Existing Drugs.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
28970546,TM-Aligner: Multiple sequence alignment tool for transmembrane proteins with reduced time and improved accuracy.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
29028907,OncomiR: an online resource for exploring pan-cancer microRNA dysregulation.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31114925,ImmuneRegulation: a web-based tool for identifying human immune regulatory elements.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"reveals_identifies, tool_for",2
30821318,SW-Tandem: a highly efficient tool for large-scale peptide identification with parallel spectrum dot product on Sunway TaihuLight.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
32397982,TAMA: improved metagenomic sequence classification through meta-analysis.,tama,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
24135450,ReVeaLD: a user-driven domain-specific interactive search platform for biomedical research.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
28529081,"SysFinder: A customized platform for search, comparison and assisted design of appropriate animal models based on systematic similarity.",,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
25040013,Identifying mouse models for skin cancer using the Mouse Tumor Biology Database.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
27348712,The Perseus computational platform for comprehensive analysis of (prote)omics data.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
30624692,PopCluster: an algorithm to identify genetic variants with ethnicity-dependent effects.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
24699831,"MetalS(3), a database-mining tool for the identification of structurally similar metal sites.",,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23819467,BioBin: a bioinformatics tool for automating the binning of rare variants using publicly available biological knowledge.,biobin,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
27608726,COME: a robust coding potential calculation tool for lncRNA identification and characterization based on multiple features.,come,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
27573070,gFinder: A Web-Based Bioinformatics Tool for the Analysis of N-Glycopeptides.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
33186463,Exploring functionally annotated transcriptional consensus regulatory elements with CONREL.,conrel,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
30217829,Observed Antibody Space: A Resource for Data Mining Next-Generation Sequencing of Antibody Repertoires.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
26590258,"MitoAge: a database for comparative analysis of mitochondrial DNA, with a special focus on animal longevity.",,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
21410990,AnyExpress: integrated toolkit for analysis of cross-platform gene expression data using a fast interval matching algorithm.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
25506822,VAAPA: a web platform for visualization and analysis of alternative polyadenylation.,vaapa,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
34883995,COLAEVA: Visual Analytics and Data Mining Web-Based Tool for Virtual Coaching of Older Adult Populations.,colaeva,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
31504165,COMBAT-TB-NeoDB: fostering tuberculosis research through integrative analysis using graph database technologies.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
32738892,RiboMiner: a toolset for mining multi-dimensional features of the translatome with ribosome profiling data.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
32960944,MMAP: a cloud computing platform for mining the maximum accuracy of predicting phenotypes from genotypes.,mmap,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23593247,DomHR: accurately identifying domain boundaries in proteins using a hinge region strategy.,domhr,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
33212503,DeepBL: a deep learning-based approach for in silico discovery of beta-lactamases.,deepbl,Describes method/approach based on resource data; Multiple usage indicators (2 categories),"based_approach, tool_for",2
"22064862, 24185697",The Candida genome database incorporates multiple Candida species: multispecies search and analysis tools with curated gene and protein information for Candida albicans and Candida glabrata.,,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
29944754,iReceptor: A platform for querying and analyzing antibody/B-cell and T-cell receptor repertoire data across federated repositories.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
23766290,INMEX--a web-based tool for integrative meta-analysis of expression data.,inmex,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
30201843,Geppetto: a reusable modular open platform for exploring neuroscience data and models.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
25122463,RLIMS-P: an online text-mining tool for literature-based extraction of protein phosphorylation information.,rlims-p,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
32212654,CIRFESS: An Interactive Resource for Querying the Set of Theoretically Detectable Peptides for Cell Surface and Extracellular Enrichment Proteomic Studies.,cirfess,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
24330842,TRAPID: an efficient online tool for the functional and comparative analysis of de novo RNA-Seq transcriptomes.,trapid,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
25420108,Synergy: a web resource for exploring gene regulation in Synechocystis sp. PCC6803.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
25173349,"Economic evaluation of a brief education, self-management and upper limb exercise training in people with rheumatoid arthritis (EXTRA) programme: a trial-based analysis.",extra,Uses resource as analysis tool; Describes method/approach based on resource data; Multiple usage indicators (2 categories),"using_with, based_approach",2
25100685,BioTextQuest(+): a knowledge integration platform for literature mining and concept discovery.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
21602264,miRvestigator: web application to identify miRNAs responsible for co-regulated gene expression patterns discovered through transcriptome profiling.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, reveals_identifies",2
30944313,Metascape provides a biologist-oriented resource for the analysis of systems-level datasets.,,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
24312246,"PIIKA 2: an expanded, web-based platform for analysis of kinome microarray data.",piika 2,Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"analysis_study, tool_for",2
28150236,Bioinformatics Analysis of Protein Phosphorylation in Plant Systems Biology Using P3DB.,p3db,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
28158419,NSSRF: global network similarity search with subgraph signatures and its applications.,nssrf,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
28982288,MPTM: A tool for mining protein post-translational modifications from literature.,mptm,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
32353048,Nutrimedia: A novel web-based resource for the general public that evaluates the veracity of nutrition claims using the GRADE approach.,,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
24705205,HPVdb: a data mining system for knowledge discovery in human papillomavirus with applications in T cell immunology and vaccinology.,hpvdb,Uses resource as analysis tool; Data mining/querying of existing resource; Multiple usage indicators (2 categories),"using_with, mining_data",2
30517749,ORTHOSCOPE: An Automatic Web Tool for Phylogenetically Inferring Bilaterian Orthogroups with User-Selected Taxa.,orthoscope,Uses resource as analysis tool; Multiple usage indicators (2 categories),"using_with, tool_for",2
22856375,EnigmaVis: online interactive visualization of genome-wide association studies of the Enhancing NeuroImaging Genetics through Meta-Analysis (ENIGMA) consortium.,,Uses resource as analysis tool; Focuses on analysis/study using data from resource; Multiple usage indicators (2 categories),"using_with, analysis_study",2
28100700,PBrowse: a web-based platform for real-time collaborative exploration of genomic data.,,Data mining/querying of existing resource; Multiple usage indicators (2 categories),"mining_data, tool_for",2
