pmid,title,primary_entity_short,matched_categories,pattern_count
33592504,TAP 1.0: A robust immunoinformatic tool for the prediction of tumor T-cell antigens based on AAindex properties.,tap 1,"workflow_pipeline, computational_ml, using_phrases",3
29226381,A robust and powerful two-step testing procedure for local ancestry adjusted allelic association analysis in admixed populations.,c,"comparison_benchmark, using_phrases, validation_study",3
31313535,Co-occurring defect analysis: A platform for analyzing birth defect co-occurrence in registries.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
28011777,Expanding the toolkit for membrane protein modeling in Rosetta.,h,"workflow_pipeline, computational_ml, using_phrases",3
23619973,Models with discrete latent variables for analysis of categorical data: a framework and a MATLAB MDLV toolbox.,mdlv,"workflow_pipeline, comparison_benchmark, using_phrases",3
25753708,Analyzing glycan structure synthesis with the Glycan Pathway Predictor (GPP) Tool.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
27542845,"The Markyt visualisation, prediction and benchmark platform for chemical and gene entity recognition at BioCreative/CHEMDNER challenge.",markyt,"workflow_pipeline, comparison_benchmark, computational_ml",3
33315308,Protein Sequence Analysis Using the MPI Bioinformatics Toolkit.,mpi,"workflow_pipeline, comparison_benchmark, using_phrases",3
28179544,Long-term tracking of budding yeast cells in brightfield microscopy: CellStar and the Evaluation Platform.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
32209622,"Severe Asthma Toolkit: an online resource for multidisciplinary health professionals-needs assessment, development process and user analytics with survey feedback.",,"workflow_pipeline, comparison_benchmark, using_phrases",3
25316676,Novel function discovery with GeneMANIA: a new integrated resource for gene function prediction in Escherichia coli.,,"computational_ml, data_integration, using_phrases",3
23289674,Development of an integrated transcript sequence database and a gene expression atlas for gene discovery and analysis in switchgrass (Panicum virgatum L.).,,"comparison_benchmark, data_integration, using_phrases",3
31270326,Energy refinement and analysis of structures in the QM9 database via a highly accurate quantum chemical method.,qm9,"workflow_pipeline, comparison_benchmark, using_phrases",3
28960548,Integrative structure modeling with the Integrative Modeling Platform.,,"workflow_pipeline, computational_ml, using_phrases",3
29862759,[Development and Application of the Kinematic Database Software of Lower Limbs Based on Internet].,,"workflow_pipeline, using_phrases, validation_study",3
31584973,Joint emulation of Earth System Model temperature-precipitation realizations with internal variability and space-time and cross-variable correlation: fldgen v2.0 software description.,fldgen,"workflow_pipeline, computational_ml, using_phrases",3
27417734,An ultrahigh-accuracy Miniature Dew Point Sensor based on an Integrated Photonics Platform.,point,"workflow_pipeline, data_integration, using_phrases",3
31064191,Encyclopedia of CLL Subsets - a Unique Bioinformatics Tool and Database for Analysis of Subsets of Stereotypical B-Cell Receptors in CLL.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
32202424,A Triple Knockout Isobaric-Labeling Quality Control Platform with an Integrated Online Database Search.,,"workflow_pipeline, data_integration, using_phrases",3
21575200,Semantic Web integration of Cheminformatics resources with the SADI framework.,sadi,"workflow_pipeline, data_integration, using_phrases",3
31693075,Multi-kernel linear mixed model with adaptive lasso for prediction analysis on high-dimensional multi-omics data.,,"comparison_benchmark, computational_ml, using_phrases",3
34320027,A secondary structure-based position-specific scoring matrix applied to the improvement in protein secondary structure prediction.,s,"computational_ml, using_phrases, database_update",3
32869137,Automating creativity assessment with SemDis: An open platform for computing semantic distance.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
29098713,Large-scale automated function prediction of protein sequences and an experimental case study validation on PTEN transcript variants.,,"computational_ml, using_phrases, validation_study",3
31865908,Interpretable deep neural network for cancer survival analysis by integrating genomic and clinical data.,asnet,"comparison_benchmark, computational_ml, data_integration",3
28873962,A recurrence-based approach for validating structural variation using long-read sequencing technology.,vapor,"workflow_pipeline, using_phrases, validation_study",3
34783225,Tartary buckwheat database (TBD): an integrative platform for gene analysis of and biological information on Tartary buckwheat.,tbd,"workflow_pipeline, comparison_benchmark, using_phrases",3
33206960,OCCAM: prediction of small ORFs in bacterial genomes by means of a target-decoy database approach and machine learning techniques.,occam,"workflow_pipeline, computational_ml, using_phrases",3
28800878,Developing PreDICT - a fully integrated data platform for preclinical in vivo data: learning from experience.,,"workflow_pipeline, data_integration, using_phrases",3
28356340,"Analysis of Cardiac Myocyte Maturation Using CASAAV, a Platform for Rapid Dissection of Cardiac Myocyte Gene Function In Vivo.",casaav,"workflow_pipeline, comparison_benchmark, using_phrases",3
28316655,ExCAPE-DB: an integrated large scale dataset facilitating Big Data analysis in chemogenomics.,,"comparison_benchmark, data_integration, using_phrases",3
22068921,MEG-SIM: a web portal for testing MEG analysis methods using realistic simulated and empirical data.,meg-sim,"comparison_benchmark, using_phrases, validation_study",3
32054949,CLIP: Carbon Dioxide testing suitable for Low power microelectronics and IOT interfaces using Room temperature Ionic Liquid Platform.,clip,"workflow_pipeline, using_phrases, validation_study",3
25991176,EpiHosp: A web-based visualization tool enabling the exploratory analysis of complications of implantable medical devices from a nationwide hospital database.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
34270057,Computational Phosphorylation Network Reconstruction: An Update on Methods and Resources.,,"computational_ml, using_phrases, database_update",3
30368842,Quantal Risk Assessment Database: A Database for Exploring Patterns in Quantal Dose-Response Data in Risk Assessment and its Application to Develop Priors for Bayesian Dose-Response Analysis.,,"comparison_benchmark, using_phrases, validation_study",3
23536820,Comparative GO: a web application for comparative gene ontology and gene ontology-based gene selection in bacteria.,,"comparison_benchmark, using_phrases, validation_study",3
27443354,SubsMatch 2.0: Scanpath comparison and classification based on subsequence frequencies.,,"comparison_benchmark, computational_ml, using_phrases",3
28508371,Efficient and Accurate Algorithm for Cleaved Fragments Prediction (CFPA) in Protein Sequences Dataset Based on Consensus and Its Variants: A Novel Degradomics Prediction Application.,cfpa,"computational_ml, using_phrases, validation_study",3
27987163,PGSB/MIPS PlantsDB Database Framework for the Integration and Analysis of Plant Genome Data.,,"workflow_pipeline, comparison_benchmark, data_integration",3
33395407,Alignment-free method for functional annotation of amino acid substitutions: Application on epigenetic factors involved in hematologic malignancies.,epimut,"workflow_pipeline, using_phrases, validation_study",3
22759612,Genome-wide search for miRNA-target interactions in Arabidopsis thaliana with an integrated approach.,imirtp,"workflow_pipeline, data_integration, using_phrases",3
25824651,Comprehensive data resources and analytical tools for pathological association of aminoacyl tRNA synthetases with cancer.,ida,"workflow_pipeline, data_integration, using_phrases",3
34876593,A computational approach for the discovery of significant cancer genes by weighted mutation and asymmetric spreading strength in networks.,,"workflow_pipeline, computational_ml, using_phrases",3
29092944,Platform for Quantitative Evaluation of Spatial Intratumoral Heterogeneity in Multiplexed Fluorescence Images.,thrive,"workflow_pipeline, comparison_benchmark, using_phrases",3
31299914,Viral coinfection analysis using a MinHash toolkit.,rkmh,"workflow_pipeline, comparison_benchmark, using_phrases",3
25480373,Graphical algorithm for integration of genetic and biological data: proof of principle using psoriasis as a model.,meaga,"computational_ml, data_integration, using_phrases",3
26185615,A framework for ontology-based question answering with application to parasite immunology.,,"workflow_pipeline, using_phrases, validation_study",3
27275538,Post-transcriptional knowledge in pathway analysis increases the accuracy of phenotypes classification.,,"comparison_benchmark, computational_ml, using_phrases",3
30931570,A Network Module for the Perseus Software for Computational Proteomics Facilitates Proteome Interaction Graph Analysis.,,"workflow_pipeline, comparison_benchmark, computational_ml",3
22343432,Meta-analysis of untargeted metabolomic data from multiple profiling experiments.,,"comparison_benchmark, data_integration, using_phrases",3
28968630,Pathway enrichment analysis approach based on topological structure and updated annotation of pathway.,tpea,"workflow_pipeline, comparison_benchmark, using_phrases",3
25170899,Cell surface profiling using high-throughput flow cytometry: a platform for biomarker discovery and analysis of cellular heterogeneity.,ht-fc,"workflow_pipeline, comparison_benchmark, using_phrases",3
25440773,Automatic validation of computational models using pseudo-3D spatio-temporal model checking.,mudi,"computational_ml, using_phrases, validation_study",3
22496884,Computational comparative study of tuberculosis proteomes using a model learned from signal peptide structures.,,"comparison_benchmark, computational_ml, using_phrases",3
29699476,An improved approach to infer protein-protein interaction based on a hierarchical vector space model.,hvsm,"workflow_pipeline, computational_ml, using_phrases",3
30107399,Monitoring changes in the Gene Ontology and their impact on genomic data analysis.,,"comparison_benchmark, data_integration, using_phrases",3
30337678,Integrating standardized whole genome sequence analysis with a global Mycobacterium tuberculosis antibiotic resistance knowledgebase.,,"comparison_benchmark, data_integration, using_phrases",3
23840574,"In silico platform for prediction of N-, O- and C-glycosites in eukaryotic protein sequences.",,"workflow_pipeline, computational_ml, using_phrases",3
32065211,A computational platform to identify origins of replication sites in eukaryotes.,,"workflow_pipeline, computational_ml, using_phrases",3
29983384,Development of nutritional risk assessment platform in Korea.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
28784477,An automated ranking platform for machine learning regression models for meat spoilage prediction using multi-spectral imaging and metabolic profiling.,,"workflow_pipeline, computational_ml, using_phrases",3
27378301,Recognizing metal and acid radical ion-binding sites by integrating ab initio modeling with template-based transferals.,ioncom,"computational_ml, data_integration, using_phrases",3
22689763,Towards 3D structure prediction of large RNA molecules: an integer programming framework to insert local 3D motifs in RNA secondary structure.,,"workflow_pipeline, computational_ml, using_phrases",3
24808811,"Giving raw data a chance to talk: a demonstration of exploratory visual analytics with a pediatric research database using Microsoft Live Labs Pivot to promote cohort discovery, research, and quality assessment.",,"comparison_benchmark, using_phrases, validation_study",3
30872350,A virome-wide clonal integration analysis platform for discovering cancer viral etiology.,,"workflow_pipeline, comparison_benchmark, data_integration",3
28103917,A fast and robust protocol for metataxonomic analysis using RNAseq data.,imsa+a,"workflow_pipeline, comparison_benchmark, using_phrases",3
31468964,Method for Systematic Analogue Search Using the Mega SAR Matrix Database.,,"workflow_pipeline, data_integration, using_phrases",3
32162067,Isolation and mutational assessment of pancreatic cancer extracellular vesicles using a microfluidic platform.,mitev,"workflow_pipeline, comparison_benchmark, using_phrases",3
32066737,A computational platform for high-throughput analysis of RNA sequences and modifications by mass spectrometry.,nase,"workflow_pipeline, comparison_benchmark, computational_ml",3
27604473,Assessing morphology and function of the semicircular duct system: introducing new in-situ visualization and software toolbox.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
21729923,In silico analysis of transcription factor repertoires and prediction of stress-responsive transcription factors from six major gramineae plants.,,"comparison_benchmark, computational_ml, using_phrases",3
23132350,Long non-coding RNAs function annotation: a global prediction method based on bi-colored networks.,,"workflow_pipeline, computational_ml, using_phrases",3
26851400,Software tools for simultaneous data visualization and T cell epitopes and disorder prediction in proteins.,,"workflow_pipeline, computational_ml, using_phrases",3
32324802,Advancing clinical cohort selection with genomics analysis on a distributed platform.,oda,"workflow_pipeline, comparison_benchmark, using_phrases",3
30010718,A parallel computational framework for ultra-large-scale sequence clustering analysis.,slad,"workflow_pipeline, comparison_benchmark, computational_ml",3
34390577,A cross-level information transmission network for hierarchical omics data integration and phenotype prediction from a new genotype.,cleit,"computational_ml, data_integration, using_phrases",3
26205660,The gastrin and cholecystokinin receptors mediated signaling network: a scaffold for data analysis and new hypotheses on regulatory mechanisms.,cckr,"comparison_benchmark, data_integration, using_phrases",3
34531510,Translating synthetic natural language to database queries with a polyglot deep learning framework.,,"workflow_pipeline, computational_ml, using_phrases",3
30698777,One tool to find them all: a case of data integration and querying in a distributed LIMS platform.,mddm,"workflow_pipeline, data_integration, using_phrases",3
33568045,Detecting differentially methylated regions using a fast wavelet-based approach to functional association analysis.,ffw,"workflow_pipeline, comparison_benchmark, using_phrases",3
25468600,Cell-based computational modeling of vascular morphogenesis using Tissue Simulation Toolkit.,tst,"workflow_pipeline, computational_ml, using_phrases",3
29985971,Computational analysis of kinase inhibitor selectivity using structural knowledge.,,"comparison_benchmark, computational_ml, using_phrases",3
26412485,Leveraging long read sequencing from a single individual to provide a comprehensive resource for benchmarking variant calling methods.,huref,"comparison_benchmark, data_integration, using_phrases",3
32032503,An Open-Source Mesh Generation Platform for Biophysical Modeling Using Realistic Cellular Geometries.,mesher,"workflow_pipeline, computational_ml, using_phrases",3
33920474,A Productive Expression Platform Derived from Host-Restricted Eilat Virus: Its Extensive Validation and Novel Strategy.,eilv,"workflow_pipeline, using_phrases, validation_study",3
32374172,Sensitive Top-Down Proteomics Analysis of a Low Number of Mammalian Cells Using a Nanodroplet Sample Processing Platform.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
24489370,Integrative gene set analysis of multi-platform data with sample heterogeneity.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
28486927,A Bayesian taxonomic classification method for 16S rRNA gene sequences with improved species-level accuracy.,blca,"workflow_pipeline, computational_ml, using_phrases",3
32913254,A gene prioritization method based on a swine multi-omics knowledgebase and a deep learning model.,iswine,"workflow_pipeline, computational_ml, using_phrases",3
26232118,Genome wide comprehensive analysis and web resource development on cell wall degrading enzymes from phyto-parasitic nematodes.,ncwde,"comparison_benchmark, data_integration, using_phrases",3
21641561,Computational analysis of drought stress-associated miRNAs and miRNA co-regulation network in Physcomitrella patens.,,"comparison_benchmark, computational_ml, using_phrases",3
34167460,A comprehensive database for integrated analysis of omics data in autoimmune diseases.,,"comparison_benchmark, data_integration, using_phrases",3
27115651,Big Data in Plant Science: Resources and Data Mining Tools for Plant Genomics and Proteomics.,iplant,"workflow_pipeline, data_integration, using_phrases",3
34719891,An Open Medical Platform to Share Source Code and Various Pre-Trained Weights for Models to Use in Deep Learning Research.,,"workflow_pipeline, computational_ml, using_phrases",3
21755952,Construction and test of ligand decoy sets using MDock: community structure-activity resource benchmarks for binding mode prediction.,,"computational_ml, using_phrases, validation_study",3
27835030,A MAD-Bayes Algorithm for State-Space Inference and Clustering with Application to Querying Large Collections of ChIP-Seq Data Sets.,mbasic,"computational_ml, using_phrases, validation_study",3
31872009,"A database for evaluating the InMAP, APEEP, and EASIUR reduced complexity air-quality modeling tools.",,"workflow_pipeline, comparison_benchmark, computational_ml",3
24721472,Construction and analysis of a human hepatotoxicity database suitable for QSAR modeling using post-market safety data.,dili,"comparison_benchmark, computational_ml, using_phrases",3
33257503,Prediction and Validation of Mouse Meiosis-Essential Genes Based on Spermatogenesis Proteome Dynamics.,,"computational_ml, using_phrases, validation_study",3
23742129,Computational framework to support integration of biomolecular and clinical data within a translational approach.,,"workflow_pipeline, computational_ml, data_integration",3
23281624,A computational tool for the design of live attenuated virus vaccine based on microRNA-mediated gene silencing.,,"workflow_pipeline, computational_ml, using_phrases",3
27829360,Disease gene prioritization by integrating tissue-specific molecular networks using a robust multi-network model.,,"computational_ml, data_integration, using_phrases",3
26913838,Adding In Silico Assessment of Potential Splice Aberration to the Integrated Evaluation of BRCA Gene Unclassified Variants.,,"comparison_benchmark, data_integration, using_phrases",3
33339864,Dynamic data-driven meta-analysis for prioritisation of host genes implicated in COVID-19.,fyco1,"comparison_benchmark, data_integration, using_phrases",3
30851093,Interoperable and scalable data analysis with microservices: applications in metabolomics.,,"comparison_benchmark, data_integration, using_phrases",3
28212397,A targeted gene expression platform allows for rapid analysis of chemical-induced antioxidant mRNA expression in zebrafish larvae.,qgp,"workflow_pipeline, comparison_benchmark, using_phrases",3
29754224,Transformation of an Exotic Yeast Species into a Platform Organism: A Case Study for Engineering Glycolipid Production in the Yeast Starmerella bombicola.,,"workflow_pipeline, using_phrases, validation_study",3
33413089,"Modeling drug mechanism of action with large scale gene-expression profiles using GPAR, an artificial intelligence platform.",,"workflow_pipeline, computational_ml, using_phrases",3
23812986,A context-sensitive framework for the analysis of human signalling pathways in molecular interaction networks.,,"workflow_pipeline, comparison_benchmark, using_phrases",3
28448553,A computational toxicogenomics approach identifies a list of highly hepatotoxic compounds from a large microarray database.,,"workflow_pipeline, computational_ml, using_phrases",3
24201223,A case study: semantic integration of gene-disease associations for type 2 diabetes mellitus from literature and biomedical data resources.,,"data_integration, using_phrases, validation_study",3
29360996,Feature specific quantile normalization enables cross-platform classification of molecular subtypes using gene expression data.,fsqn,"workflow_pipeline, computational_ml, using_phrases",3
31262303,Genomic data analysis workflows for tumors from patient-derived xenografts (PDXs): challenges and guidelines.,jax,"comparison_benchmark, data_integration, using_phrases",3
30389920,Improved estimation of cancer dependencies from large-scale RNAi screens using model-based normalization and data integration.,demeter2,"computational_ml, data_integration, using_phrases",3
33080230,A Platform for Brain-wide Volumetric Functional Ultrasound Imaging and Analysis of Circuit Dynamics in Awake Mice.,vfusi,"workflow_pipeline, comparison_benchmark, using_phrases",3
22396485,Bioinformatics tools and database resources for systems genetics analysis in mice--a short review and an evaluation of future needs.,sysgenet,"workflow_pipeline, comparison_benchmark, using_phrases",3
34136100,"Making fundamental scientific discoveries by combining information from literature, databases, and computational tools - An example.",samd1,"workflow_pipeline, computational_ml, using_phrases",3
21855594,Interrogating health-related public databases from a food toxicology perspective: computational analysis of scoring data.,hsdb,"comparison_benchmark, computational_ml, using_phrases",3
32564278,An automated and high-throughput-screening compatible pluripotent stem cell-based test platform for developmental and reproductive toxicity assessment of small molecule compounds.,,"workflow_pipeline, comparison_benchmark, validation_study",3
27370123,A GPU-accelerated Monte Carlo dose calculation platform and its application toward validating an MRI-guided radiation therapy beam model.,,"workflow_pipeline, computational_ml, validation_study",3
30649495,An Integrated Approach Using Publicly Available Resources for Identifying and Characterizing Chemicals of Potential Toxicity Concern: Proof-of-Concept With Chemicals That Affect Cancer Pathways.,,"workflow_pipeline, data_integration, using_phrases",3
26158728,Heterogeneous Network Edge Prediction: A Data Integration Approach to Prioritize Disease-Associated Genes.,,"workflow_pipeline, computational_ml, data_integration",3
25431329,Tissue-aware data integration approach for the inference of pathway interactions in metazoan organisms.,,"workflow_pipeline, data_integration, using_phrases",3
27342196,Systematic identification and analysis of frequent gene fusion events in metabolic pathways.,,"comparison_benchmark, data_integration, using_phrases",3
30530337,Intra-Cluster Distance Minimization in DNA Methylation Analysis Using an Advanced Tabu-Based Iterative k-Medoids Clustering Algorithm (T-CLUST).,,"comparison_benchmark, computational_ml, using_phrases",3
21737420,Conceptual framework and pilot study to benchmark phylogenomic databases based on reference gene trees.,eggnog | oma,"workflow_pipeline, comparison_benchmark, using_phrases",3
"28873092, 28934265, 33663077",Effect of cervical cancer education and provider recommendation for screening on screening rates: A systematic review and meta-analysis.,,"comparison_benchmark, data_integration, using_phrases",3
25236462,Proteomic analysis and prediction of human phosphorylation sites in subcellular level reveal subcellular specificity.,,"comparison_benchmark, computational_ml, using_phrases",3
25273102,"A Python package for parsing, validating, mapping and formatting sequence variants using HGVS nomenclature.",,"workflow_pipeline, using_phrases, validation_study",3
25273111,PFP/ESG: automated protein function prediction servers enhanced with Gene Ontology visualization tool.,,"workflow_pipeline, computational_ml, using_phrases",3
26755347,Systematic Analysis of Sex-Linked Molecular Alterations and Therapies in Cancer.,,"comparison_benchmark, data_integration, using_phrases",3
25544807,Prediction of Gene Activity in Early B Cell Development Based on an Integrative Multi-Omics Analysis.,,"comparison_benchmark, computational_ml, using_phrases",3
30102367,Review and comparative assessment of similarity-based methods for prediction of drug-protein interactions in the druggable human proteome.,,"comparison_benchmark, computational_ml, using_phrases",3
28827280,Systematic and Quantitative Assessment of Hydrogen Peroxide Reactivity With Cysteines Across Human Proteomes.,,"comparison_benchmark, data_integration, using_phrases",3
29680449,Modeling tumor growth inhibition and toxicity outcome after administration of anticancer agents in xenograft mice: A Dynamic Energy Budget (DEB) approach.,,"workflow_pipeline, computational_ml, using_phrases",3
23949335,An informatics approach to integrating genetic and neurological data in speech and language neuroscience.,,"workflow_pipeline, data_integration, using_phrases",3
30541929,A Statistical Procedure for Genome-Wide Detection of QTL Hotspots Using Public Databases with Application to Rice.,,"computational_ml, using_phrases, validation_study",3
33656437,Validation strategy of a bioinformatics whole genome sequencing workflow for Shiga toxin-producing <i>Escherichia coli</i> using a reference collection extensively characterized with conventional methods.,,"workflow_pipeline, using_phrases, validation_study",3
33560568,"Update of the Pompe variant database for the prediction of clinical phenotypes: Novel disease-associated variants, common sequence variants, and results from newborn screening.",,"computational_ml, using_phrases, database_update",3
24738154,Update of the WHO/IUIS Allergen Nomenclature Database based on analysis of allergen sequences.,,"comparison_benchmark, using_phrases, database_update",3
"26481361, 29761461, 31647100",Bovine Genome Database: new tools for gleaning function from the Bos taurus genome.,,"workflow_pipeline, using_phrases",2
"27794045, 33211864, 30407557",Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals.,fantom,"using_phrases, database_update",2
"23093600, 23144783, 23613709, 25326323, 27651457, 29351546, 30247620, 23221299, 27171405, 34458863",The Comparative Toxicogenomics Database: update 2013.,,"comparison_benchmark, database_update",2
"30926570, 31294057",Genome Annotator Light (GAL): A Docker-based package for genome analysis and visualization.,gal,"workflow_pipeline, comparison_benchmark",2
"22385986, 22385986",CpGPAP: CpG island predictor analysis platform.,cpgpap,"workflow_pipeline, comparison_benchmark",2
"23321019, 28857516",Modeling of non-additive mixture properties using the Online CHEmical database and Modeling environment (OCHEM).,ochem,"computational_ml, using_phrases",2
"21471015, 21471015",DIME: R-package for identifying differential ChIP-seq based on an ensemble of mixture models.,dime,"workflow_pipeline, using_phrases",2
"31372645, 31372645",Malaria.tools-comparative genomic and transcriptomic database for Plasmodium species.,,"workflow_pipeline, comparison_benchmark",2
"23220694, 26519402",The plant ontology as a tool for comparative plant anatomy and genomic analyses.,,"workflow_pipeline, comparison_benchmark",2
32191543,CIViCpy: A Python Software Development and Analysis Toolkit for the CIViC Knowledgebase.,civic,"workflow_pipeline, comparison_benchmark",2
"23180763, 25392407, 31740968",The Standard European Vector Architecture (SEVA): a coherent platform for the analysis and deployment of complex prokaryotic phenotypes.,seva,"workflow_pipeline, comparison_benchmark",2
31620162,MPIC: Molecular Prognostic Indicators in Cirrhosis Database for Clinical Context-Specific &lt;i&gt;in Silico&lt;/i&gt; Prognostic Biomarker Validation.,mpic,"using_phrases, validation_study",2
25735289,IBEX: an open infrastructure software platform to facilitate collaborative work in radiomics.,ibex,"workflow_pipeline, using_phrases",2
25283306,IUTA: a tool for effectively detecting differential isoform usage from RNA-Seq data.,iuta,"workflow_pipeline, using_phrases",2
28499008,RiPPMiner: a bioinformatics resource for deciphering chemical structures of RiPPs based on prediction of cleavage and cross-links.,,"computational_ml, using_phrases",2
30854455,ePAD: An Image Annotation and Analysis Platform for Quantitative Imaging.,epad,"workflow_pipeline, comparison_benchmark",2
32778891,MolAICal: a soft tool for 3D drug design of protein targets by artificial intelligence and classical algorithm.,,"workflow_pipeline, computational_ml",2
33757430,ATAV: a comprehensive platform for population-scale genomic analyses.,atav,"workflow_pipeline, data_integration",2
25970601,"PAPST, a User Friendly and Powerful Java Platform for ChIP-Seq Peak Co-Localization Analysis and Beyond.",papst,"workflow_pipeline, comparison_benchmark",2
31337975,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,sarotup,"workflow_pipeline, using_phrases",2
33067342,OpenPepXL: An Open-Source Tool for Sensitive Identification of Cross-Linked Peptides in XL-MS.,,"workflow_pipeline, using_phrases",2
30820573,PASS2 version 6: a database of structure-based sequence alignments of protein domain superfamilies in accordance with SCOPe.,pass2,"using_phrases, database_update",2
26678566,YAGM: a web tool for mining associated genes in yeast based on diverse biological associations.,yagm,"workflow_pipeline, using_phrases",2
25993562,"RulNet: A Web-Oriented Platform for Regulatory Network Inference, Application to Wheat -Omics Data.",rulnet,"workflow_pipeline, validation_study",2
28797229,"ODG: Omics database generator - a tool for generating, querying, and analyzing multi-omics comparative databases to facilitate biological understanding.",odg,"workflow_pipeline, comparison_benchmark",2
29854170,Initializing and Growing a Database of Health Information Technology (HIT) Events by Using TF-IDF and Biterm Topic Modeling.,hit,"computational_ml, using_phrases",2
29472600,PANDA: Protein function prediction using domain architecture and affinity propagation.,panda,"computational_ml, using_phrases",2
32983048,KmerGO: A Tool to Identify Group-Specific Sequences With <i>k</i>-mers.,kmergo,"workflow_pipeline, using_phrases",2
33401349,Introduction to the LIVECAT web-based computerized adaptive testing platform.,livecat,"workflow_pipeline, validation_study",2
25114903,miRSeq: a user-friendly standalone toolkit for sequencing quality evaluation and miRNA profiling.,mirseq,"workflow_pipeline, comparison_benchmark",2
29309429,ShinyGPA: An interactive visualization toolkit for investigating pleiotropic architecture using GWAS datasets.,,"workflow_pipeline, using_phrases",2
27955641,Microbial phenomics information extractor (MicroPIE): a natural language processing tool for the automated acquisition of prokaryotic phenotypic characters from text sources.,,"workflow_pipeline, using_phrases",2
30733714,"SqueezeMeta, A Highly Portable, Fully Automatic Metagenomic Analysis Pipeline.",,"workflow_pipeline, comparison_benchmark",2
25647319,PON-P2: prediction method for fast and reliable identification of harmful variants.,pon-p2,"workflow_pipeline, computational_ml",2
28274758,GFD-Net: A novel semantic similarity methodology for the analysis of gene networks.,,"workflow_pipeline, comparison_benchmark",2
22913485,NetiNeti: discovery of scientific names from text using machine learning methods.,,"computational_ml, using_phrases",2
22761559,ProteinHistorian: tools for the comparative analysis of eukaryote protein origin.,,"workflow_pipeline, comparison_benchmark",2
21496247,CDAO-store: ontology-driven data integration for phylogenetic analysis.,,"comparison_benchmark, data_integration",2
33372147,DeepTFactor: A deep learning-based tool for the prediction of transcription factors.,,"workflow_pipeline, computational_ml",2
32611389,Proteus: An algorithm for proposing stabilizing mutation pairs based on interactions observed in known protein 3D structures.,,"computational_ml, using_phrases",2
31372542,FeptideDB: A web application for new bioactive peptides from food protein.,,"using_phrases, validation_study",2
26280450,JMS: An Open Source Workflow Management System and Web-Based Cluster Front-End for High Performance Computing.,jms,"workflow_pipeline, comparison_benchmark",2
21982513,Snat: a SNP annotation tool for bovine by integrating various sources of genomic information.,snat,"workflow_pipeline, data_integration",2
"31218353, 32938368",DeepMito: accurate prediction of protein sub-mitochondrial localization using convolutional neural networks.,,"computational_ml, using_phrases",2
23051646,CloudMap: a cloud-based pipeline for analysis of mutant genome sequences.,,"workflow_pipeline, comparison_benchmark",2
31974805,Speeding up the detection of non-iconic and iconic gestures (SPUDNIG): A toolkit for the automatic detection of hand movements and gestures in video data.,spudnig,"workflow_pipeline, using_phrases",2
34669691,RefPlantNLR is a comprehensive collection of experimentally validated plant disease resistance proteins from the NLR family.,,"data_integration, using_phrases",2
30843052,PhenoPro: a novel toolkit for assisting in the diagnosis of Mendelian disease.,,"workflow_pipeline, using_phrases",2
28402545,ORIO (Online Resource for Integrative Omics): a web-based platform for rapid integration of next generation sequencing data.,orio,"workflow_pipeline, data_integration",2
33631799,ConnecTF: A platform to integrate transcription factor-gene interactions and validate regulatory networks.,,"workflow_pipeline, validation_study",2
31762961,MaizeSNPDB: A comprehensive database for efficient retrieve and analysis of SNPs among 1210 maize lines.,,"comparison_benchmark, data_integration",2
22448897,WAVOS: a MATLAB toolkit for wavelet analysis and visualization of oscillatory systems.,wavos,"workflow_pipeline, comparison_benchmark",2
28150236,Bioinformatics Analysis of Protein Phosphorylation in Plant Systems Biology Using P3DB.,p3db,"comparison_benchmark, using_phrases",2
27530307,"C-DEVA: Detection, evaluation, visualization and annotation of clusters from biological networks.",c-deva,"comparison_benchmark, using_phrases",2
25921073,FunRich: An open access standalone functional enrichment and interaction network analysis tool.,,"workflow_pipeline, comparison_benchmark",2
33247936,VarStack: a web tool for data retrieval to interpret somatic variants in cancer.,,"workflow_pipeline, using_phrases",2
27560970,hEIDI: An Intuitive Application Tool To Organize and Treat Large-Scale Proteomics Data.,heidi,"workflow_pipeline, validation_study",2
26403370,Vaxvec: The first web-based recombinant vaccine vector database and its data analysis.,vaxvec,"comparison_benchmark, data_integration",2
33008309,PALMER: improving pathway annotation based on the biomedical literature mining with a constrained latent block model.,palmer,"computational_ml, using_phrases",2
33430993,kGCN: a graph-based deep learning framework for chemical structures.,kgcn,"workflow_pipeline, computational_ml",2
23209700,PROSPER: an integrated feature-based tool for predicting protease substrate cleavage sites.,prosper,"workflow_pipeline, data_integration",2
27446120,PlantAPA: A Portal for Visualization and Analysis of Alternative Polyadenylation in Plants.,,"comparison_benchmark, using_phrases",2
