pmid,title,primary_entity_short,primary_entity_long,setfit_confidence,matched_categories,num_categories
28472372,ProteinsPlus: a web portal for structure analysis of macromolecules.,,proteinsplus,,analysis_studies,1
32468536,Drugena: A Fully Automated Immunoinformatics Platform for the Design of Antibody-Drug Conjugates Against Neurodegenerative Diseases.,,drugena,0.7135537,drug_compound,1
25632109,"PhenoMiner: a quantitative phenotype database for the laboratory rat, Rattus norvegicus. Application in hypertension and renal disease.",,phenominer,0.63600457,clinical_disease,1
23390370,SurfaceomeDB: a cancer-orientated database for genes encoding cell surface proteins.,,surfaceomedb,0.7128815,clinical_disease,1
30767086,Dimorphite-DL: an open-source program for enumerating the ionization states of drug-like small molecules.,,dimorphite-dl,,drug_compound,1
32966035,Pain Chemogenomics Knowledgebase (Pain-CKB) for Systems Pharmacology Target Mapping and Physiologically Based Pharmacokinetic Modeling Investigation of Opioid Drug-Drug Interactions.,,pain-ckb,0.6806876,drug_compound,1
28824589,Fast and Simple Analysis of MiSeq Amplicon Sequencing Data with MetaAmp.,,metaamp,,analysis_studies,1
24894505,SMaSH: a benchmarking toolkit for human genome variant calling.,smash,,0.7193158,variants_mutations,1
32117445,CHG: A Systematically Integrated Database of Cancer Hallmark Genes.,chg,,0.6419358,clinical_disease,1
21513519,MI-GWAS: a SAS platform for the analysis of inherited and maternal genetic effects in genome-wide association studies using log-linear models.,mi-gwas,,,analysis_studies,1
29369293,CardioClassifier: disease- and gene-specific computational decision support for clinical genome interpretation.,,cardioclassifier,,clinical_disease,1
25938432,Tn-seq explorer: a tool for analysis of high-throughput sequencing data of transposon mutant libraries.,,tn-seq explorer,,analysis_studies,1
29106441,"Orchid: a novel management, annotation and machine learning framework for analyzing cancer mutations.",orchid,,,clinical_disease,1
31092193,PathMe: merging and exploring mechanistic pathway knowledge.,pathme,,,pathway_mechanism,1
30535239,PDX Finder: A portal for patient-derived tumor xenograft model discovery.,,pdx finder,0.7067176,clinical_disease,1
27153724,Cas-Database: web-based genome-wide guide RNA library design for gene knockout screens using CRISPR-Cas9.,,cas-database,,analysis_studies,1
26801957,ELASPIC web-server: proteome-wide structure-based prediction of mutation effects on protein stability and binding affinity.,elaspic,,,"analysis_studies, variants_mutations",2
31626280,CSMD: a computational subtraction-based microbiome discovery pipeline for species-level characterization of clinical metagenomic samples.,csmd,,,"gene_function, clinical_disease",2
31091262,Mutplot: An easy-to-use online tool for plotting complex mutation data with flexibility.,,mutplot,,variants_mutations,1
32315327,"Dataflow programming for the analysis of molecular dynamics with AViS, an analysis and visualization software application.",avis,,,analysis_studies,1
22531214,NuST: analysis of the interplay between nucleoid organization and gene expression.,nust,,,analysis_studies,1
30908262,SNeCT: Scalable Network Constrained Tucker Decomposition for Multi-Platform Data Profiling.,snect,,,analysis_studies,1
29425325,Selenzyme: enzyme selection tool for pathway design.,,selenzyme,,pathway_mechanism,1
25659145,UFSRAT: Ultra-fast Shape Recognition with Atom Types--the discovery of novel bioactive small molecular scaffolds for FKBP12 and 11βHSD1.,ufsrat,,,discovery_findings,1
25697908,CapsidMaps: protein-protein interaction pattern discovery platform for the structural analysis of virus capsids using Google Maps.,,capsidmaps,,analysis_studies,1
31070723,Graphical data mining of cancer mechanisms with SEMA.,sema,,,clinical_disease,1
30304355,LION LBD: a literature-based discovery system for cancer biology.,lion lbd,,,clinical_disease,1
32393170,methCancer-gen: a DNA methylome dataset generator for user-specified cancer type based on conditional variational autoencoder.,,methcancer-gen,,clinical_disease,1
34710512,Development of a database and standardized approach for rpoB sequence-based subtyping and identification of aerobic spore-forming Bacillales.,rpob,,0.70269376,gene_function,1
28410421,phylo-node: A molecular phylogenetic toolkit using Node.js.,,phylo-node,,analysis_studies,1
34339812,PharmDE: A new expert system for drug-excipient compatibility evaluation.,,pharmde,,drug_compound,1
25426929,"ALLocator: an interactive web platform for the analysis of metabolomic LC-ESI-MS datasets, enabling semi-automated, user-revised compound annotation and mass isotopomer ratio analysis.",,allocator,,"analysis_studies, drug_compound",2
34581565,Rapid Automated Annotation and Analysis of N-Glycan Mass Spectrometry Imaging Data Sets Using NGlycDB in METASPACE.,,nglycdb,0.6967662,analysis_studies,1
31373611,circMeta: a unified computational framework for genomic feature annotation and differential expression analysis of circular RNAs.,,circmeta,,analysis_studies,1
30652574,"TQuest, A Web-Based Platform to Enable Precision Medicine by Linking a Tumor's Genetic Defects to Therapeutic Options.",tquest,,0.68618417,"clinical_disease, drug_compound",2
24709941,TraV: a genome context sensitive transcriptome browser.,trav,,,analysis_studies,1
33175872,High density genotype storage for plant breeding in the Chado schema of Breedbase.,,breedbase,,variants_mutations,1
33363710,FangNet: Mining herb hidden knowledge from TCM clinical effective formulas using structure network algorithm.,,fangnet,,clinical_disease,1
23630321,The RNAsnp web server: predicting SNP effects on local RNA secondary structure.,rnasnp,,,variants_mutations,1
26708333,simDEF: definition-based semantic similarity measure of gene ontology terms for functional similarity analysis of genes.,simdef,,,analysis_studies,1
34944842,Mapping the Melanoma Plasma Proteome (MPP) Using Single-Shot Proteomics Interfaced with the WiMT Database.,wimt,,0.6583216,analysis_studies,1
25881165,SNPchiMp v.3: integrating and standardizing single nucleotide polymorphism data for livestock species.,,snpchimp,,variants_mutations,1
25887597,ColoWeb: a resource for analysis of colocalization of genomic features.,,coloweb,,analysis_studies,1
24955134,iDrug: a web-accessible and interactive drug discovery and design platform.,idrug,,,drug_compound,1
22892045,Web-based GIS: the vector-borne disease airline importation risk (VBD-AIR) tool.,vbd-air,,,clinical_disease,1
30824909,DECO: decompose heterogeneous population cohorts for patient stratification and discovery of sample biomarkers using omic data profiling.,deco,,,"analysis_studies, discovery_findings",2
31147687,Path2Surv: Pathway/gene set-based survival analysis using multiple kernel learning.,,path2surv,0.6335991,pathway_mechanism,1
34113009,GenomeDiver: a platform for phenotype-guided medical genomic diagnosis.,,genomediver,,clinical_disease,1
30102335,CharGer: clinical Characterization of Germline variants.,,charger,,"gene_function, clinical_disease",2
22253821,Armadillo 1.1: an original workflow platform for designing and conducting phylogenetic analysis and simulations.,,armadillo,,analysis_studies,1
23292636,TargetHunter: an in silico target identification tool for predicting therapeutic potential of small organic molecules based on chemogenomic database.,,targethunter,0.7225483,drug_compound,1
27480116,"Gene, Environment and Methylation (GEM): a tool suite to efficiently navigate large scale epigenome wide association studies and integrate genotype and interaction between genotype and environment.",gem,,0.70950705,variants_mutations,1
24890856,"aglgenes, A curated and searchable database of archaeal N-glycosylation pathway components.",,aglgenes,0.72020507,pathway_mechanism,1
23800136,MetaPathways: a modular pipeline for constructing pathway/genome databases from environmental sequence information.,,metapathways,,pathway_mechanism,1
29036533,gVolante for standardizing completeness assessment of genome and transcriptome assemblies.,,gvolante,,analysis_studies,1
26722765,Introduction of the Python script STRinNGS for analysis of STR regions in FASTQ or BAM files and expansion of the Danish STR sequence database to 11 STRs.,,strinngs,0.6070359,analysis_studies,1
33200776,kTWAS: integrating kernel machine with transcriptome-wide association studies improves statistical power and reveals novel genes.,ktwas,,,"analysis_studies, discovery_findings",2
28686798,multiplierz v2.0: A Python-based ecosystem for shared access and analysis of native mass spectrometry data.,,multiplierz,,analysis_studies,1
28155723,LocExpress: a web server for efficiently estimating expression of novel transcripts.,,locexpress,,gene_function,1
33543124,ConsHMM Atlas: conservation state annotations for major genomes and human genetic variation.,,conshmm,0.72519076,variants_mutations,1
32267142,"iNrich, Rapid and Robust Method to Enrich N-Terminal Proteome in a Highly Multiplexed Platform.",inrich,,0.6385412,analysis_studies,1
30825371,MetaMarker: a pipeline for de novo discovery of novel metagenomic biomarkers.,,metamarker,,discovery_findings,1
34589189,Cancer DEIso: An integrative analysis platform for investigating differentially expressed gene-level and isoform-level human cancer markers.,,cancer deiso,,clinical_disease,1
27399597,Development of a Korean Fracture Risk Score (KFRS) for Predicting Osteoporotic Fracture Risk: Analysis of Data from the Korean National Health Insurance Service.,kfrs,,,analysis_studies,1
21253603,TCM Database@Taiwan: the world's largest traditional Chinese medicine database for drug screening in silico.,,tcm database@taiwan,,drug_compound,1
30574164,VarQ: A Tool for the Structural and Functional Analysis of Human Protein Variants.,varq,,0.6938244,analysis_studies,1
27084946,DanQ: a hybrid convolutional and recurrent deep neural network for quantifying the function of DNA sequences.,danq,,,gene_function,1
26410841,CustusX: an open-source research platform for image-guided therapy.,,custusx,,clinical_disease,1
28472422,PharmMapper 2017 update: a web server for potential drug target identification with a comprehensive target pharmacophore database.,,pharmmapper,,drug_compound,1
31116390,deepDR: a network-based deep learning approach to in silico drug repositioning.,deepdr,,,drug_compound,1
21542931,The PathOlogist: an automated tool for pathway-centric analysis.,,pathologist,,pathway_mechanism,1
25455337,"A toolbox for residue iteration decomposition (RIDE)--A method for the decomposition, reconstruction, and single trial analysis of event related potentials.",ride,,0.6929318,analysis_studies,1
30977807,Lipid Mini-On: mining and ontology tool for enrichment analysis of lipidomic data.,,lipid mini-on,,analysis_studies,1
"21784873, 25979264",Genome-scale phylogenetic function annotation of large and diverse protein families.,sifter,,,analysis_studies,1
26072498,FERAL: network-based classifier with application to breast cancer outcome prediction.,feral,,,clinical_disease,1
22374845,Integration of the OpenIGTLink network protocol for image-guided therapy with the medical platform MeVisLab.,,openigtlink,0.64962524,clinical_disease,1
33002005,"RNAthor - fast, accurate normalization, visualization and statistical analysis of RNA probing data resolved by capillary electrophoresis.",,rnathor,,analysis_studies,1
22500001,"optiCall: a robust genotype-calling algorithm for rare, low-frequency and common variants.",,opticall,,variants_mutations,1
31326853,Disorder Atlas: Web-based software for the proteome-based interpretation of intrinsic disorder predictions.,,disorder atlas,,analysis_studies,1
31829207,Genepanel.iobio - an easy to use web tool for generating disease- and phenotype-associated gene lists.,,genepanel.iobio,,clinical_disease,1
30764760,ADS-HCSpark: A scalable HaplotypeCaller leveraging adaptive data segmentation to accelerate variant calling on Spark.,cspark,,,variants_mutations,1
28904183,"The TB Portals: an Open-Access, Web-Based Platform for Global Drug-Resistant-Tuberculosis Data Sharing and Analysis.",,portals,,drug_compound,1
31813964,Pathway Tools version 23.0 update: software for pathway/genome informatics and systems biology.,,pathway tools,,pathway_mechanism,1
26162614,EMDLAB: A toolbox for analysis of single-trial EEG dynamics using empirical mode decomposition.,mdlab,,0.6697967,analysis_studies,1
29888049,"CDISC SHARE, a Global, Cloud-based Resource of Machine-Readable CDISC Standards for Clinical and Translational Research.",cdisc,,,clinical_disease,1
25352728,Seed Pro-Nutra Care: A tool for characterization of seed storage proteins and database of bioactive peptides having potential health benefits.,,bioactive peptides,,gene_function,1
23856246,The exomes of the NCI-60 panel: a genomic resource for cancer biology and systems pharmacology.,nci-60,,0.69178694,clinical_disease,1
23618375,SNVDis: a proteome-wide analysis service for evaluating nsSNVs in protein functional sites and pathways.,snvdis,,,analysis_studies,1
28079125,Establishment of a integrative multi-omics expression database CKDdb in the context of chronic kidney disease (CKD).,ckddb,,0.698395,clinical_disease,1
30295728,DIGREM: an integrated web-based platform for detecting effective multi-drug combinations.,digrem,,,drug_compound,1
31602484,VDJbase: an adaptive immune receptor genotype and haplotype database.,,vdjbase,,variants_mutations,1
28093075,GAVIN: Gene-Aware Variant INterpretation for medical sequencing.,gavin,,,variants_mutations,1
30376049,RTPDB: a database providing associations between genetic variation or expression and cancer prognosis with radiotherapy-based treatment.,rtpdb,,,"clinical_disease, variants_mutations",2
30105186,ADNCD: a compendious database on anti-diabetic natural compounds focusing on mechanism of action.,adncd,,0.6384744,pathway_mechanism,1
26549805,CSIOVDB: a microarray gene expression database of epithelial ovarian cancer subtype.,csiovdb,,0.6192166,clinical_disease,1
32661425,GPCRmd uncovers the dynamics of the 3D-GPCRome.,gpcrmd,,,discovery_findings,1
33125057,ConjuPepDB: a database of peptide-drug conjugates.,,conjupepdb,,drug_compound,1
30053271,PharmacoDB: an integrative database for mining in vitro anticancer drug screening studies.,,pharmacodb,0.7124065,drug_compound,1
30581775,MDAD: A Special Resource for Microbe-Drug Associations.,mdad,,0.7150538,drug_compound,1
30789283,CuMiDa: An Extensively Curated Microarray Database for Benchmarking and Testing of Machine Learning Approaches in Cancer Research.,cumida,,,clinical_disease,1
25298093,OncoCis: annotation of cis-regulatory mutations in  cancer.,,oncocis,,clinical_disease,1
30717653,MIGREW: database on molecular identification of genes for resistance in wheat.,migrew,,0.69670254,"gene_function, species_specific",2
34898255,ProCanBio: A Database of Manually Curated Biomarkers for Prostate Cancer.,,procanbio,,clinical_disease,1
33045361,tRFTar: Prediction of tRF-target gene interactions via systemic re-analysis of Argonaute CLIP-seq datasets.,trftar,,,analysis_studies,1
23946503,omiRas: a Web server for differential expression analysis of miRNAs derived from small RNA-Seq data.,omiras,,,analysis_studies,1
27589965,PeptiCKDdb-peptide- and protein-centric database for the investigation of genesis and progression of chronic kidney disease.,,peptickddb,0.6926768,clinical_disease,1
32479601,CReSCENT: CanceR Single Cell ExpressioN Toolkit.,,crescent,0.68580467,clinical_disease,1
34278269,SISTEMA: A large and standardized collection of transcriptome data sets for human pluripotent stem cell research.,sistema,,0.71498483,analysis_studies,1
26289428,FlyVar: a database for genetic variation in Drosophila melanogaster.,flyvar,,,"variants_mutations, species_specific",2
21383910,SeqMaT: A sequence manipulation tool for phylogenetic analysis.,seqmat,,,analysis_studies,1
25833954,CHOPIN: a web resource for the structural and functional proteome of Mycobacterium tuberculosis.,chopin,,0.72230643,analysis_studies,1
32619700,CORDITE: The Curated CORona Drug InTERactions Database for SARS-CoV-2.,cordite,,0.711135,drug_compound,1
29206167,scRNASeqDB: A Database for RNA-Seq Based Gene Expression Profiles in Human Single Cells.,,scrnaseqdb,,clinical_disease,1
27623536,SPNsim: A database of simulated solitary pulmonary nodule PET/CT images facilitating computer aided diagnosis.,spnsim,,0.6508312,clinical_disease,1
31588775,"ELIMU-MDx: a web-based, open-source platform for storage, management and analysis of diagnostic qPCR data.",,elimu-mdx,0.6675617,analysis_studies,1
32770988,OncoPDSS: an evidence-based clinical decision support system for oncology pharmacotherapy at the individual level.,,oncopdss,,clinical_disease,1
33245626,"EffectorK, a comprehensive resource to mine for Ralstonia, Xanthomonas, and other published effector interactors in the Arabidopsis proteome.",,effectork,0.6951376,analysis_studies,1
33836063,MendelVar: gene prioritization at GWAS loci using phenotypic enrichment of Mendelian disease genes.,,mendelvar,,clinical_disease,1
26861821,TRONCO: an R package for the inference of cancer progression models from heterogeneous genomic data.,tronco,,,clinical_disease,1
"33432321, 33735949",Bioinformatics resources facilitate understanding and harnessing clinical research of SARS-CoV-2.,,overcovid,0.6924878,clinical_disease,1
32142370,OncoMX: A Knowledgebase for Exploring Cancer Biomarkers in the Context of Related Cancer and Healthy Data.,oncomx,,0.70772755,clinical_disease,1
24395755,FamAnn: an automated variant annotation pipeline to facilitate target discovery for family-based sequencing studies.,famann,,,variants_mutations,1
23695286,Phenotype-Genotype Integrator (PheGenI): synthesizing genome-wide association study (GWAS) data with existing genomic resources.,,phegeni,,"analysis_studies, variants_mutations",2
32838931,OvirusTdb: A database of oncolytic viruses for the advancement of therapeutics in cancer.,,ovirustdb,0.70402426,clinical_disease,1
33758194,"WOODIV, a database of occurrences, functional traits, and phylogenetic data for all Euro-Mediterranean trees.",woodiv,,0.7184301,analysis_studies,1
26130661,Drug-Path: a database for drug-induced pathways.,,drug-path,,drug_compound,1
33241989,"SCAN360: A Resource for a 360-Degree View of Cancer Prevention, Risk, and Survival.",scan360,,0.6644082,clinical_disease,1
26092861,"IBiSS, a versatile and interactive tool for integrated sequence and 3D structure analysis of large macromolecular complexes.",ibiss,,,analysis_studies,1
32916316,iGMDR: Integrated Pharmacogenetic Resource Guide to Cancer Therapy and Research.,igmdr,,,clinical_disease,1
31495872,VARIDT 1.0: variability of drug transporter database.,varidt,,,drug_compound,1
31839973,MGeND: an integrated database for Japanese clinical and genomic information.,mgend,,,clinical_disease,1
28114729,Mutantelec: An In Silico mutation simulation platform for comparative electrostatic potential profiling of proteins.,,mutantelec,0.7215832,"analysis_studies, variants_mutations",2
25883137,FAF-Drugs3: a web server for compound property calculation and chemical library design.,,faf-drugs3,,drug_compound,1
34955819,Comprehensive Analysis of Chemical Structures That Have Been Tested as CFTR Activating Substances in a Publicly Available Database CandActCFTR.,,candactcftr,0.7097214,analysis_studies,1
32282909,"TREND: a platform for exploring protein function in prokaryotes based on phylogenetic, domain architecture and gene neighborhood analyses.",trend,,,analysis_studies,1
27303447,IDAAPM: integrated database of ADMET and adverse effects of predictive modeling based on FDA approved drug data.,idaapm,,,drug_compound,1
26590406,"CancerResource--updated database of cancer-relevant proteins, mutations and interacting drugs.",,cancerresource,,clinical_disease,1
31461461,COSPLAY: An expandable toolbox for combinatorial and swift generation of expression plasmids in yeast.,cosplay,,0.7202138,species_specific,1
30903160,TISIDB: an integrated repository portal for tumor-immune system interactions.,tisidb,,,clinical_disease,1
24330140,NEMATIC: a simple and versatile tool for the in silico analysis of plant-nematode interactions.,nematic,,,analysis_studies,1
24574113,CanSNPer: a hierarchical genotype classifier of clonal pathogens.,,cansnper,,variants_mutations,1
30242919,PlantFAdb: a resource for exploring hundreds of plant fatty acid structures synthesized by thousands of plants and their phylogenetic relationships.,,plantfadb,,analysis_studies,1
33776956,AMRmap: An Interactive Web Platform for Analysis of Antimicrobial Resistance Surveillance Data in Russia.,amrmap,,,analysis_studies,1
23686313,PPISURV: a novel bioinformatics tool for uncovering the hidden role of specific genes in cancer survival outcome.,ppisurv,,0.6969553,"gene_function, clinical_disease",2
26002883,pwOmics: an R package for pathway-based integration of time-series omics data using public database knowledge.,,pwomics,,pathway_mechanism,1
32251504,MaveQuest: a web resource for planning experimental tests of human variant effects.,,mavequest,,variants_mutations,1
21959865,NetSlim: high-confidence curated signaling maps.,,netslim,,pathway_mechanism,1
27055828,The drug-minded protein interaction database (DrumPID) for efficient target analysis and drug development.,,drumpid,0.71966666,drug_compound,1
31295871,TGStools: A Bioinformatics Suit to Facilitate Transcriptome Analysis of Long Reads from Third Generation Sequencing Platform.,,tgstools,0.70652986,analysis_studies,1
26803163,"BISQUE: locus- and variant-specific conversion of genomic, transcriptomic and proteomic database identifiers.",bisque,,,variants_mutations,1
32415965,Palantir: a springboard for the analysis of secondary metabolite gene clusters in large-scale genome mining projects.,,palantir,,analysis_studies,1
28333216,"BuddySuite: Command-Line Toolkits for Manipulating Sequences, Alignments, and Phylogenetic Trees.",,buddysuite,,analysis_studies,1
30963287,TeachOpenCADD: a teaching platform for computer-aided drug design using open source packages and data.,,teachopencadd,,drug_compound,1
21622656,CoMet--a web server for comparative functional profiling of metagenomes.,comet,,,analysis_studies,1
23344264,DNA-Mutation Inventory to Refine and Enhance Cancer Treatment (DIRECT): a catalog of clinically relevant cancer mutations to enable genome-directed anticancer therapy.,direct,,,"clinical_disease, variants_mutations",2
30753479,RiceMetaSysB: a database of blast and bacterial blight responsive genes in rice and its utilization in identifying key blast-resistant WRKY genes.,,ricemetasysb,,species_specific,1
22584067,AncestrySNPminer: a bioinformatics tool to retrieve and develop ancestry informative SNP panels.,,ancestrysnpminer,,variants_mutations,1
32313959,Zebra2: advanced and easy-to-use web-server for bioinformatic analysis of subfamily-specific and conserved positions in diverse protein superfamilies.,zebra2,,0.7244091,analysis_studies,1
22576177,CPSS: a computational platform for the analysis of small RNA deep sequencing data.,cpss,,,analysis_studies,1
30789126,SNP-IT Tool for Identifying Subspecies and Associated Lineages of Mycobacterium tuberculosis Complex.,snp-it,,0.6002647,variants_mutations,1
24895436,DiseaseConnect: a comprehensive web server for mechanism-based disease-disease connections.,,diseaseconnect,,"clinical_disease, pathway_mechanism",2
31624841,MBKbase for rice: an integrated omics knowledgebase for molecular breeding in rice.,,mbkbase,0.7251198,species_specific,1
32047888,RBPTD: a database of cancer-related RNA-binding proteins in humans.,rbptd,,0.62154174,clinical_disease,1
34132767,VoroContacts: a tool for the analysis of interatomic contacts in macromolecular structures.,,vorocontacts,,analysis_studies,1
21967760,ProfileChaser: searching microarray repositories based on genome-wide patterns of differential expression.,,profilechaser,,analysis_studies,1
26248465,BioWardrobe: an integrated platform for analysis of epigenomics and transcriptomics data.,,biowardrobe,,analysis_studies,1
28334977,sCLIP-an integrated platform to study RNA-protein interactomes in biomedical research: identification of CSTF2tau in alternative processing of small nuclear RNAs.,sclip,,,gene_function,1
34278324,University of Hawai'i Cancer Center Connection: Pacific Tracker (PacTrac) Version 3.1 Diet and Physical Activity Assessment Tool for the Pacific Region.,,pactrac,,clinical_disease,1
26803155,MuCor: mutation aggregation and correlation.,mucor,,,variants_mutations,1
32697844,PEWO: a collection of workflows to benchmark phylogenetic placement.,pewo,,,analysis_studies,1
24700812,3PFDB+: improved search protocol and update for the identification of representatives of protein sequence domain families.,3pfdb,,0.70529544,gene_function,1
34260589,COVIDomic: A multi-modal cloud-based platform for identification of risk factors associated with COVID-19 severity.,,covidomic,0.70752144,"gene_function, clinical_disease",2
28187156,KrillDB: A de novo transcriptome database for the Antarctic krill (Euphausia superba).,,krilldb,0.71803653,analysis_studies,1
33876217,CanDriS: posterior profiling of cancer-driving sites based on two-component evolutionary model.,,candris,,"clinical_disease, analysis_studies",2
33241205,scREAD: A Single-Cell RNA-Seq Database for Alzheimer's Disease.,scread,,0.68358546,clinical_disease,1
34882760,OCTAVA: An open-source toolbox for quantitative analysis of optical coherence tomography angiography images.,octava,,0.6768591,analysis_studies,1
26925206,KENeV: A web-application for the automated reconstruction and visualization of the enriched metabolic and signaling super-pathways deriving from genomic experiments.,kenev,,,pathway_mechanism,1
23375020,FANTOM: Functional and taxonomic analysis of metagenomes.,fantom,,,analysis_studies,1
31972373,MMPdb and MitoPredictor: Tools for facilitating comparative analysis of animal mitochondrial proteomes.,mmpdb,,,analysis_studies,1
33137091,netboxr: Automated discovery of biological process modules by network analysis in R.,,netboxr,,discovery_findings,1
26882227,MENGA: A New Comprehensive Tool for the Integration of Neuroimaging Data and the Allen Human Brain Transcriptome Atlas.,menga,,0.7143262,analysis_studies,1
30445432,gmRAD: an integrated SNP calling pipeline for genetic mapping with RADseq across a hybrid population.,gmrad,,,variants_mutations,1
31475827,Common Repository of FBS Proteins (cRFP) To Be Added to a Search Database for Mass Spectrometric Analysis of Cell Secretome.,crfp,,0.61196417,analysis_studies,1
24574115,BioPlat: a software for human cancer biomarker discovery.,,bioplat,,clinical_disease,1
27114494,CoReCG: a comprehensive database of genes associated with colon-rectal cancer.,corecg,,0.67308074,clinical_disease,1
26671609,DANIO-CODE: Toward an Encyclopedia of DNA Elements in Zebrafish.,danio-code,,0.68345565,species_specific,1
29790943,"Mutalisk: a web-based somatic MUTation AnaLyIS toolKit for genomic, transcriptional and epigenomic signatures.",,mutalisk,,variants_mutations,1
25294921,FungiFun2: a comprehensive online resource for systematic analysis of gene lists from fungal species.,,fungifun2,,analysis_studies,1
34397420,HDinHD: A Rich Data Portal for Huntington's Disease Research.,hdinhd,,0.6835609,clinical_disease,1
30689722,Varanto: variant enrichment analysis and annotation.,,varanto,,variants_mutations,1
21976864,VSDK: Virtual screening of small molecules using AutoDock Vina on Windows platform.,vsdk,,,drug_compound,1
23395672,OralCard: a bioinformatic tool for the study of oral proteome.,,oralcard,,analysis_studies,1
22697361,The barley EST DNA Replication and Repair Database (bEST-DRRD) as a tool for the identification of the genes involved in DNA replication and repair.,,best-drrd,0.69726217,gene_function,1
31694550,WheatCRISPR: a web-based guide RNA design tool for CRISPR/Cas9-mediated genome editing in wheat.,,wheatcrispr,0.69934875,species_specific,1
29574976,Database for High Throughput Screening Hits (dHITS): a simple tool to retrieve gene specific phenotypes from systematic screens done in yeast.,dhits,,0.72260433,species_specific,1
25568279,"GlycoMine: a machine learning-based approach for predicting N-, C- and O-linked glycosylation in the human proteome.",,glycomine,,analysis_studies,1
21804150,OPCRIT+: an electronic system for psychiatric diagnosis and data collection in clinical and research settings.,opcrit,,,clinical_disease,1
23193297,"MiRGator v3.0: a microRNA portal for deep sequencing, expression profiling and mRNA targeting.",,mirgator,,analysis_studies,1
21257609,OrthoNets: simultaneous visual analysis of orthologs and their interaction neighborhoods across different organisms.,,orthonets,,analysis_studies,1
30066655,OC-2-KB: integrating crowdsourcing into an obesity and cancer knowledge base curation system.,oc-2-kb,,0.69850624,clinical_disease,1
25881043,GraphSAW: a web-based system for graphical analysis of drug interactions and side effects using pharmaceutical and molecular data.,,graphsaw,,"analysis_studies, drug_compound",2
32638008,ProVision: a web-based platform for rapid analysis of proteomics data processed by MaxQuant.,,provision,,analysis_studies,1
29228271,LitPathExplorer: a confidence-based visual text analytics tool for exploring literature-enriched pathway models.,,litpathexplorer,,pathway_mechanism,1
33281870,DRIM: A Web-Based System for Investigating Drug Response at the Molecular Level by Condition-Specific Multi-Omics Data Integration.,drim,,,drug_compound,1
23369106,SNPranker 2.0: a gene-centric data mining tool for diseases associated SNP prioritization in GWAS.,,snpranker,,variants_mutations,1
24371156,ALEA: a toolbox for allele-specific epigenomics analysis.,alea,,,variants_mutations,1
22929026,WikiGWA: an open platform for collecting and using genome-wide association results.,,wikigwa,,analysis_studies,1
25873244,The CPTAC Data Portal: A Resource for Cancer Proteomics Research.,cptac,,0.68907315,clinical_disease,1
34475414,"Cydrasil 3, a curated 16S rRNA gene reference package and web app for cyanobacterial phylogenetic placement.",,cydrasil 3,,analysis_studies,1
30229363,ImFEATbox: a toolbox for extraction and analysis of medical image features.,,imfeatbox,0.7006628,analysis_studies,1
28397319,DaMold: A data-mining platform for variant annotation and visualization in molecular diagnostics research.,damold,,,variants_mutations,1
29278730,CM-viewer: Visualizing interaction network of co-mutated and mutually exclusively mutated cancer genes.,,cm-viewer,,clinical_disease,1
25063298,The multiMiR R package and database: integration of microRNA-target interactions along with their disease and drug associations.,,multimir,0.6992081,"clinical_disease, drug_compound",2
27078110,"Immuno-Navigator, a batch-corrected coexpression database, reveals cell type-specific gene networks in the immune system.",,immuno-navigator,0.6905875,discovery_findings,1
30321303,ParGenes: a tool for massively parallel model selection and phylogenetic tree inference on thousands of genes.,,pargenes,,analysis_studies,1
27603265,bcgTree: automatized phylogenetic tree building from bacterial core genomes.,,bcgtree,,analysis_studies,1
24299301,OneBac: platform for scalable and high-titer production of adeno-associated virus serotype 1-12 vectors for gene therapy.,onebac,,0.6231752,clinical_disease,1
25377177,"The Global Consortium for Drug-resistant Tuberculosis Diagnostics (GCDD): design of a multi-site, head-to-head study of three rapid tests to detect extensively drug-resistant tuberculosis.",gcdd,,,drug_compound,1
30401579,mQC: A post-mapping data exploration tool for ribosome profiling.,mqc,,,analysis_studies,1
25708243,SCMPSP: Prediction and characterization of photosynthetic proteins based on a scoring card method.,scmpsp,,,gene_function,1
23667459,The PARIGA server for real time filtering and analysis of reciprocal BLAST results.,pariga,,,analysis_studies,1
29590301,"GENEASE: real time bioinformatics tool for multi-omics and disease ontology exploration, analysis and visualization.",genease,,,clinical_disease,1
"27095192, 33885785",Interactive tree of life (iTOL) v3: an online tool for the display and annotation of phylogenetic and other trees.,itol,,,analysis_studies,1
28187516,Collaborating to Compete: Blood Profiling Atlas in Cancer (BloodPAC) Consortium.,,bloodpac,0.6500739,"clinical_disease, analysis_studies",2
25613183,Being PRO-ACTive: What can a Clinical Trial Database Reveal About ALS?,pro-act,,0.6277636,clinical_disease,1
24206562,CellFateScout - a bioinformatics tool for elucidating small molecule signaling pathways that drive cells in a specific direction.,,cellfatescout,,pathway_mechanism,1
31581246,"KETOS: Clinical decision support and machine learning as a service - A training and deployment platform based on Docker, OMOP-CDM, and FHIR Web Services.",ketos,,,clinical_disease,1
23896518,PepBind: a comprehensive database and computational tool for analysis of protein-peptide interactions.,,pepbind,0.7234507,analysis_studies,1
28451970,An Agile Functional Analysis of Metagenomic Data Using SUPER-FOCUS.,super-focus,,,analysis_studies,1
